topic	tweet_id	text	claim
WTP	0	It is much longer and omits the steps taken by the church to prevent future abuse . 	0
WTP	1	How about whitelisting a link to the " Encyclopedia Thelemica " , which is at www . lashtal . com / wiki / and which can ' t conceivably be considered a " social networking site " ? 	0
WTP	2	The initial quote by the Iranian translator was " wiped off the map " and that is what resulted in the notable outcry from world leaders . 	0
WTP	3	In the controversies article we devote a large section to the back-and-forth as to whether MA misspoke , was misquoted , or is backpedaling . 	0
WTP	4	Incorrect , Aonana . 	1
WTP	5	If it was a misquote or not was the subject of years of debate afterwards . 	0
WTP	6	- - 	0
WTP	7	In this article , however , we state simply : He also been accused in much of the West over a comment he made in against the " Zionist entity " to be " wiped off the map . " 	0
WTP	8	In the West this was coupled with accusation of describing the Holocaust as a myth and of making statements influenced by classic anti-Semitic ideas , which has led to accusations of anti-Semitism , though he has denied these accusations , saying that he " respects Jews very much " and that he was not " passing judgment " on the Holocaust . which brings the reliably cited accusations and refutations simply ; not imposing one reliable sources view over the other , and leave further discussion to the child article per summary style . 	0
WTP	9	- - 	0
WTP	10	There are still unresolved POV issues , issues with the writing and non-encyclopedic tone , reference and sourcing issues , and notable controversies glossed over and / or ignored . 	0
WTP	11	Another peer review might be a good idea . 	1
WTP	12	I still do not believe it is even close to being ready for FAC again . 	0
WTP	13	If there ' s no constructive discussion forthcoming I ' ll go ahead and close this thread . 	0
WTP	14	- 	0
WTP	15	That ' s not worth a response . 	0
WTP	16	You can explore the policies and guidelines for contributing to Wikipedia at WP : WELCOME . 	0
WTP	17	Lesson # 1 , please remember to sign your posts - four tildes . 	0
WTP	18	( ~~~~ ) . 	0
WTP	19	Some of the cites are broken but a fix is in process . 	0
WTP	20	Hopefully this will remove this tulmutous chapter of Church history from the POV dispute . 	0
WTP	21	It is NPOV and cited . 	0
WTP	22	A section on the English reformation has been summarised from a GA article and inserted here . 	0
WTP	23	But anyway , this is not the place to discuss the merits of various news outlets . 	0
WTP	24	That ' s pretty funny . 	0
WTP	25	Even at the WP : RS / N-related pages , they generally don ' t paint any particular publication in black or white terms according to how accurate or how partisan it is . 	0
WTP	26	We consider citations here one at a time . 	0
WTP	27	Hi , I ' m quite happy with 	0
WTP	28	The list ' s title and inclusion criteria make it clear that this is NOT solely a list of WP : PSCI ' s " obvious pseudosciences " and " generally considered pseudosciences " . 	1
WTP	29	We can and do include " questionable science " , as well as " alternative theoretical formulations " , and even majority views , if sourced properly . 	0
WTP	30	Consensus is usually sufficient to remove the tag , but consensus isn ' t necessary to put it there in the first place ; indeed , it ' s usually a lack of consensus that leads editors to tag an article . 	0
WTP	31	It is uncollaborative to remove a tag without discussion [ 2 ] and for invalid reasons ( like " no consensus to include " ) [ 3 ] . 	0
WTP	32	Yes , of course it should . 	0
WTP	33	That ' s the whole purpose of tags : to flag articles so that fresh input can be obtained . 	0
WTP	34	Obviously , a tag need not be kept if it ' s clearly frivolous , but that ' s not the case here . 	0
WTP	35	While I think the tag should remain until agreement is reached , I personally don ' t share Levine2112 ' s concerns about NPOV in this case . 	1
WTP	36	If some editors don ' t think there are NPOV problems , then the venue for expressing that is to use this talk page , not to remove the tag . 	0
WTP	37	The same logic applies for , e . g , article RfC ' s or noticeboard postings : we don ' t just delete them because we disagree with them . 	0
WTP	38	Only the controversy over whether or not Wiki considers System of a Down nu metal , I think . 	0
WTP	39	Personally , I don ' t really consider them nu metal at this point , and our article on them lists them as alternative metal . 	0
WTP	40	Then you haven ' t viewed the latest UN report that asserts that Israeli soldiers deliberately attacked civilian targets in Gaza war . 	0
WTP	41	And even if those soldiers did not act upon supervisors ' instructions ( which I doubt ) ; those soldiers were not tried or punished to prevent similar incidents in the future . 	0
WTP	42	But again , this is all irrelevant to our dispute here . 	0
WTP	43	The point is here , WP : TERRORIST policy is clear , because usually there is in the story more than " someone is a terrorist " . 	0
WTP	44	And I don ' t see difference between calling someone a terrorist or saying that he uses terrorist tactics . 	0
WTP	45	It is already mentioned in the lead that many countries consider Hamas to be a terrorist organization and no one has objected to that , I don ' t understand why you are pushing now for this statement in the first lines of the article . 	0
WTP	46	- 	0
WTP	47	Also I cleaned up the format so its less of a mess . 	0
WTP	48	Earlier Irish history such as its older kingdoms are directly pertinent to the subject . 	0
WTP	49	Of this . 	0
WTP	50	Can you explain your random revert ? 	0
WTP	51	Are you serious ? 	0
WTP	52	What the guitarist thinks doesn ' t matter much here . 	0
WTP	53	As you probably know , Wiki is based on reliable sources , and journalists are very important in that . 	0
WTP	54	Following that , yet another editor added an " update " tag to the section . 	0
WTP	55	Please visit the Snopes link I posted just above for the real story . 	0
WTP	56	- - 	0
WTP	57	Pip had one feature episodes please point us to where he has even been in the background in the last five years . 	0
WTP	58	Get a grip . 	0
WTP	59	In response to other nonsense about personal attacks please report them to the appropriate section of wikipedia . 	0
WTP	60	Butters has had numerous examples and he has had the sourced comments from the makers of the show about his importance . 	0
WTP	61	Since you never once responded to the way that article was at the time of your posts it will be interesting to hear other opinions about this thread . 	0
WTP	62	Since there are divisions in both , especially more recently ( ? ) with the complex Sunni and Shi ' ite situation . 	0
WTP	63	- 	0
WTP	64	I agree with the sentiment of most of what Richard , Nancy , TSP , etc have said . 	0
WTP	65	A better and more accurate comparison could be made between the whole of Christianity and the whole of Islam . 	1
WTP	66	And I am answering that question . 	0
WTP	67	But phone calls , unrelated estate claims and biographies of other people will not work either ( unless its the biography of a regular freemason who initiated Crowley , or the estate has information not previously published , but is now publishing ) . 	0
WTP	68	Lets try this and see if it works : I think this accurately depicts what is being disputed , who is disputing , and why they have the authority to dispute in the first place . 	0
WTP	69	We can ' t use words like some , as they ' re weasel words . 	0
WTP	70	We need to phrase it so that it accurately depicts who is saying what , and why , without going too far . 	0
WTP	71	On the topic of citations : a good counter citation would be one that discredits the current disppute of his connections with the UGLE or regular freemasonry . 	0
WTP	72	If you have these , then when can create a new section in the article that delves deeper into the matter and explores his connections with freemasonry . 	0
