topic	tweet_id	text	claim
MT	0	US series are preferred over “ Tatort ” , and online magazines are turned to instead of the “ Tagesthemen ” . 	0
MT	1	The TV & radio licence enables economically independent journalism . 	0
MT	2	Not everyone should be obliged to pay the TV & radio licence . 	1
MT	3	Particularly the younger generations are no longer dependent on the programming of public broadcasters . 	0
MT	4	But as long as the licence payers have no say in the distribution of the funds , the fee quite rightly annoys them . 	0
MT	5	There should be much higher fines for dog dirt left on pavements . 	1
MT	6	Stepping in dog dirt is gross and absolutely ruins your day due to the dirt , the stench and the often considerable effort to get rid of it . 	0
MT	7	Besides , the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement , which is disproportionate . 	0
MT	8	Some dog owners assume that paying a dog licence fee covers the removal of such waste , but according to this logic one could hardly make the taxpayer accountable for almost any offense . 	0
MT	9	Since the impact of the morning-after pill is so massive , particularly due to its abortive effect , dispensing it without medical advice would be inappropriate . 	1
MT	10	Easy access to the morning-after pill could also result in its appearing to be an easier method than other forms of contraception that , however , have fewer health effects . 	0
MT	11	The state ought not to restrict medical products or medical treatments for moral reasons as long as they don ' t do damage to others . 	0
MT	12	But without a prescription requirement there ' s also no medical advice given before intake . 	0
MT	13	For instance the morning-after pill could result in a decrease in the use of condoms and thus lead to an increase in new infections with Aids . 	0
MT	14	Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins . 	0
MT	15	Yes , it ' s annoying and cumbersome to separate your rubbish properly all the time . 	0
MT	16	We Berliners should take the chance and become pioneers in waste separation ! 	1
MT	17	But still Germany produces way too much rubbish and too many resources are lost when what actually should be separated and recycled is burnt . 	0
MT	18	Moreover it turns out time and again that innocent people are also convicted and executed . 	0
MT	19	From a Christian and humanistic perspective it is not allowed to kill someone . 	0
MT	20	The death penalty should be abandoned everywhere . 	1
MT	21	However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime . 	0
MT	22	Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat . 	0
MT	23	Throughout the six or seven semesters , however , topics are covered that likewise ought to carry weight . 	0
MT	24	Usually you only have eight weeks to complete a bachelor thesis in linguistics degrees . 	0
MT	25	Adjusting the portion of the total grade upwards anyway would not be commensurate to other study assignments and examinations . 	0
MT	26	Current regulations for the calculation of the total grade should therefore be maintained . 	1
MT	27	Indeed the preparation of such a scientific work is a fundamental competency that must be acquired in philological degrees . 	0
MT	28	In individual cases they may indeed act as a deterrent , in general , however , a clean environment and the role model effect of others is more likely to motivate the dog owner to pick up the droppings than a potential fine . 	0
MT	29	Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them . 	1
MT	30	That ' s why intelligence services must be regulated in the framework of parliamentary oversight committees . 	1
MT	31	Of course a certain level of secrecy is the basis for the work of intelligence services . 	0
MT	32	The unregulated work of the secret services , however , carries the danger of misuse of their authority . 	0
MT	33	Intelligence services apparently enjoy indiscriminate liberties . 	0
MT	34	No one can follow their activities in detail . 	0
MT	35	Higher fines may not be ideal , particularly for financially weaker individuals , but cleaning up after their dogs does happen to be the obligation of the owners . 	0
MT	36	If there were higher fines for leaving dog dirt on pavements , there would presumably be less dog dirt , which in turn would result in generally clean pavements . 	1
MT	37	Every German citizen has a right to education . 	0
MT	38	Quality at universities has its price , which is why students also ought to be involved in this cost factor . 	0
MT	39	But education must not be a question of money in a wealthy society such as Germany . 	0
MT	40	Therefore universities should not charge tuition fees in Germany . 	1
MT	41	And funding-wise it ought to be considered how costs incurred by students from other ( federal ) states can be reimbursed . 	0
MT	42	The anticipated objectives of tuition fees can be achieved by other means . 	0
MT	43	There are other instruments to motivate tighter discipline while studying . 	0
MT	44	The universities in Germany should not under any circumstances charge tuition fees . 	1
MT	45	This would impede or prevent access to those who are financially weaker . 	0
MT	46	Considering what ' s on television these days , it would be appropriate to only have those people pay who actually ( want to ) follow the programming . 	1
MT	47	In some cases there are only shows for older generations on at prime times , so why then should everyone pay for this ? 	0
MT	48	By now you have advertising on all channels , so there ' s no advantage for the current paying viewers of the public broadcasters . 	0
