topic	tweet_id	text	claim
MT	82	US series are preferred over “ Tatort ” , and online magazines are turned to instead of the “ Tagesthemen ” . 	0
MT	83	The TV & radio licence enables economically independent journalism . 	0
MT	84	Not everyone should be obliged to pay the TV & radio licence . 	1
MT	85	Particularly the younger generations are no longer dependent on the programming of public broadcasters . 	0
MT	86	But as long as the licence payers have no say in the distribution of the funds , the fee quite rightly annoys them . 	0
MT	87	There should be much higher fines for dog dirt left on pavements . 	1
MT	88	Stepping in dog dirt is gross and absolutely ruins your day due to the dirt , the stench and the often considerable effort to get rid of it . 	0
MT	89	Besides , the fines for public urination by a human are higher than for leaving behind dog dirt on the pavement , which is disproportionate . 	0
MT	90	Some dog owners assume that paying a dog licence fee covers the removal of such waste , but according to this logic one could hardly make the taxpayer accountable for almost any offense . 	0
MT	91	Since the impact of the morning-after pill is so massive , particularly due to its abortive effect , dispensing it without medical advice would be inappropriate . 	1
MT	92	Easy access to the morning-after pill could also result in its appearing to be an easier method than other forms of contraception that , however , have fewer health effects . 	0
MT	93	The state ought not to restrict medical products or medical treatments for moral reasons as long as they don ' t do damage to others . 	0
MT	94	But without a prescription requirement there ' s also no medical advice given before intake . 	0
MT	95	For instance the morning-after pill could result in a decrease in the use of condoms and thus lead to an increase in new infections with Aids . 	0
MT	96	Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins . 	0
MT	97	Yes , it ' s annoying and cumbersome to separate your rubbish properly all the time . 	0
MT	98	We Berliners should take the chance and become pioneers in waste separation ! 	1
MT	99	But still Germany produces way too much rubbish and too many resources are lost when what actually should be separated and recycled is burnt . 	0
MT	100	Moreover it turns out time and again that innocent people are also convicted and executed . 	0
MT	101	From a Christian and humanistic perspective it is not allowed to kill someone . 	0
MT	102	The death penalty should be abandoned everywhere . 	1
MT	103	However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime . 	0
MT	104	Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat . 	0
MT	105	Throughout the six or seven semesters , however , topics are covered that likewise ought to carry weight . 	0
MT	106	Usually you only have eight weeks to complete a bachelor thesis in linguistics degrees . 	0
MT	107	Adjusting the portion of the total grade upwards anyway would not be commensurate to other study assignments and examinations . 	0
MT	108	Current regulations for the calculation of the total grade should therefore be maintained . 	1
MT	109	Indeed the preparation of such a scientific work is a fundamental competency that must be acquired in philological degrees . 	0
MT	110	In individual cases they may indeed act as a deterrent , in general , however , a clean environment and the role model effect of others is more likely to motivate the dog owner to pick up the droppings than a potential fine . 	0
MT	111	Higher penalties for dog dirt are pointless as long as there is not enough personnel to enforce them . 	1
MT	112	That ' s why intelligence services must be regulated in the framework of parliamentary oversight committees . 	1
MT	113	Of course a certain level of secrecy is the basis for the work of intelligence services . 	0
MT	114	The unregulated work of the secret services , however , carries the danger of misuse of their authority . 	0
MT	115	Intelligence services apparently enjoy indiscriminate liberties . 	0
MT	116	No one can follow their activities in detail . 	0
MT	117	Higher fines may not be ideal , particularly for financially weaker individuals , but cleaning up after their dogs does happen to be the obligation of the owners . 	0
MT	118	If there were higher fines for leaving dog dirt on pavements , there would presumably be less dog dirt , which in turn would result in generally clean pavements . 	1
MT	119	Every German citizen has a right to education . 	0
MT	120	Quality at universities has its price , which is why students also ought to be involved in this cost factor . 	0
MT	121	But education must not be a question of money in a wealthy society such as Germany . 	0
MT	122	Therefore universities should not charge tuition fees in Germany . 	1
MT	123	And funding-wise it ought to be considered how costs incurred by students from other ( federal ) states can be reimbursed . 	0
MT	124	The anticipated objectives of tuition fees can be achieved by other means . 	0
MT	125	There are other instruments to motivate tighter discipline while studying . 	0
MT	126	The universities in Germany should not under any circumstances charge tuition fees . 	1
MT	127	This would impede or prevent access to those who are financially weaker . 	0
MT	128	Considering what ' s on television these days , it would be appropriate to only have those people pay who actually ( want to ) follow the programming . 	1
MT	129	In some cases there are only shows for older generations on at prime times , so why then should everyone pay for this ? 	0
MT	130	By now you have advertising on all channels , so there ' s no advantage for the current paying viewers of the public broadcasters . 	0
MT	131	Nevertheless one has to point out that there ' d probably be way fewer stations if it weren ’ t the whole of Germany that ’ s obliged to pay . 	0
MT	132	The steering system may still need a bit of tweaking , as the car jack-knifes at higher speeds , and surely you ' ll want to be speeding a lot with that beauty . 	0
MT	133	Plus everyone has to move approx . 3-10 times in his or her life , because the size of the desired accommodation changes over the course of a lifetime . 	0
MT	134	For affordable living space is scarce . 	0
MT	135	Pricing pressures are just too high , and his pool of customers is shrinking constantly . 	0
MT	136	Peter should close his snack bar as soon as possible . 	1
MT	137	Of course he could do another big ad campaign , but that won ' t do the trick if the whole neighbourhood is going down the drain in the end . 	0
MT	138	Higher fines are therefore the right measure against negligent , lazy or simply thoughtless dog owners . 	1
MT	139	Of course , first they ' d actually need to be caught in the act by public order officers , but once they have to dig into their pockets , their laziness will sure vanish ! 	0
MT	140	One can hardly move in Friedrichshain or Neukölln these days without permanently scanning the ground for dog dirt . 	0
MT	141	And when bad luck does strike and you step into one of the many ' land mines ' you have to painstakingly scrape the remains off your soles . 	0
MT	142	Even if many people think that a murderer has already decided on the life or death of another person , this is precisely the crime that we should not repay with the same . 	0
MT	143	The death penalty is a legal means that as such is not practicable in Germany . 	1
MT	144	For one thing , inviolable human dignity is anchored in our constitution , and furthermore no one may have the right to adjudicate upon the death of another human being . 	0
MT	145	But once a safeguard has been found against a new virus , everyone gets it in no time through the automatic update . 	0
MT	146	Admittedly they do not generally prevent you from catching a virus , since they can only react to publicly known threats . 	0
MT	147	That ' s why everyone should have an anti-virus programme on his or her Windows machine . 	1
MT	148	Anti-virus software protects the users of a computer from dangers from the internet . 	0
MT	149	These areas will be upgraded economically due to these factors ( housing health and employment ) . 	0
MT	150	After the new BER Airport has been commissioned , Tegel should definitely be closed . 	1
MT	151	Also , Berlin urgently needs inner-city areas for business and industry , and for housing . 	0
MT	152	Closing down Tegel will have health benefits for hundreds of thousands in the approach path . 	0
MT	153	I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades . 	0
MT	154	For safety reasons alone I find continued operation wrong . 	0
MT	155	The danger here is that experienced junior staff is not available in sufficient numbers . 	0
MT	156	By purchasing illegally acquired tax data of citizens , the state is not only turning itself into a felon , but it is paying criminals , too . 	0
MT	157	It is indisputable , however , that by purchasing such data the state increases the pressure on tax evaders to turn themselves in . 	0
MT	158	Acquiring CDs with tax data of tax delinquents is therefore out of the question . 	1
MT	159	I am not of the opinion that the retirement age should be set at 63 years . 	1
MT	160	This would mean that organizations would be lacking a great deal of manpower in the future . 	0
MT	161	The introductory phase of retirement at 63 would also be a particular challenge as upon introduction many current employees of advanced age would immediately be eligible to retire . 	0
MT	162	This is detrimental for Germany as a business location and leaves employers without a transition period . 	0
MT	163	The morning-after pill should only be prescribed after counselling by a physician or pharmacist . 	1
MT	164	However these are clearly stated on the package insert , and a request for an early termination of a pregnancy is the right of every woman . 	0
MT	165	A differentiated analysis of its side effects is not achievable for a layperson without medical advice . 	0
MT	166	The morning-after pill has a number of side effects . 	0
MT	167	Opening on Sundays and holidays would therefore help both customers and shops . 	1
MT	168	Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays , then again supermarkets and large shopping centres dominate the market today already . 	0
MT	169	Thus smaller shops could benefit from the additional freedom , as customers are on average more laid-back on Sunday . 	0
