topic	tweet_id	text	claim
ClaimBuster	0	Four years ago, in similar circumstances to this, I asked you, the American people, a question.	0
ClaimBuster	1	If you make $200,000 a year or less, your taxes will go down.	1
ClaimBuster	2	And I worked with Democrats and Republicans to cut a trillion dollars out of our discretionary domestic budget.	1
ClaimBuster	3	We'll negotiate with the drug companies for the cheapest available price on drugs.	0
ClaimBuster	4	If you don't know what you're supposed to know, we'll make sure you do early before it's too late.	0
ClaimBuster	5	Now, as long as we put up with that, that's what you're going to get.	0
ClaimBuster	6	That's what I'm going to do as president of the United States.	0
ClaimBuster	7	The meaning of this election is the future and whether we're going to grow and provide the jobs and the opportunities for all Americans and that they need.	0
ClaimBuster	8	And the other thing is part of AIDS -- it's one of the few diseases where behavior matters.	0
ClaimBuster	9	I'm for doing something both on the supply side and production side and on the consumption side.	0
ClaimBuster	10	Don't forget that, that happened in 1993.	1
ClaimBuster	11	I simply don't want to see the ratings on movies.	0
ClaimBuster	12	And that's why independent studies looking at this said the only way to meet Governor Romney's pledge of not reducing the deficit or -- or -- or not adding to the deficit is by burdening middle-class families.	1
ClaimBuster	13	It's ad hoc, it's sort of we get up in the morning and read the papers, what country's in trouble, we'll have a meeting.	0
ClaimBuster	14	The President is still going to be president for the next four months and he, of course, is the only one who could commit this country in this period.	1
ClaimBuster	15	And I think that racial profiling is part of a larger issue of how we deal with race in America.	0
ClaimBuster	16	What bothers me is this growing tendency to try to use one's own personal interpretation of faith politically, to question others' faith, and to try to use the instrumentalities of government to impose those views on others.	0
ClaimBuster	17	Senator Obama has opposed that.	1
ClaimBuster	18	The government's bigger than it was when President Kennedy was around, even though he says it's not.	1
ClaimBuster	19	One of the more important things we're doing in this administration is transformation.	0
ClaimBuster	20	I remember working with Senator Ribicoff from Connecticut on the Hospice program.	1
ClaimBuster	21	That is not the kind of leadership that you need, but you should expect that those are promises he's going to keep.	0
ClaimBuster	22	Well, it's not only my opinion.	0
ClaimBuster	23	Honor, duty, and country, that's what America is all about.	0
ClaimBuster	24	"I've even scaled back some of my favorite programs already, like the child-care program I wanted to fund and the national service program, because the president's deficit keeps growing and I've said as a pledge, ""I'm going to cut the deficit in half in four years."""	0
ClaimBuster	25	The security aspect of cyber is very, very tough.	0
