step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,356,4,0.018181176030580472,1.0,1.0,0.016481509291553467,1.0,1.0,,,,,,
2,648,8,0.022116292499896217,1.0,1.0,,,,,,,,,
3,1036,12,0.012521920696787883,1.0,1.0,,,,,,,,,
4,1424,16,0.015506684188595013,1.0,1.0,,,,,,,,,
5,1844,20,0.0180472864311812,1.0,1.0,,,,,,,,,
6,2168,24,0.01677524020725381,1.0,1.0,,,,,,,,,
7,2492,28,0.021575888900239974,1.0,1.0,,,,,,,,,
8,2880,32,0.017615333802047196,1.0,1.0,,,,,,,,,
9,3204,36,0.01663885596385966,1.0,1.0,0.019405898737354557,1.0,1.0,,,,,,
10,3528,40,0.023470931311138022,1.0,1.0,,,,,,,,,
11,3948,44,0.01874755818828445,0.75,0.75,,,,,,,,,
12,4272,48,0.01916907558136145,1.0,1.0,,,,,,,,,
13,4596,52,0.017530173537405935,1.0,1.0,,,,,,,,,
14,4952,56,0.019410701316936663,1.0,1.0,,,,,,,,,
15,5308,60,0.022937249675024286,1.0,1.0,,,,,,,,,
16,5760,64,0.018075795235843486,0.75,0.75,,,,,,,,,
17,6148,68,0.015385438984775008,1.0,1.0,0.02766962768341313,0.75,0.75,,,,,,
18,6504,72,0.019488926363828953,1.0,1.0,,,,,,,,,
19,6828,76,0.020204120855118364,1.0,1.0,,,,,,,,,
20,7184,80,0.01911952993001005,1.0,1.0,,,,,,,,,
21,7540,84,0.021657316563208958,1.0,1.0,,,,,,,,,
22,7928,88,0.020418881825868183,1.0,1.0,,,,,,,,,
23,8252,92,0.019287919135450488,1.0,1.0,,,,,,,,,
24,8608,96,0.019625101193675203,1.0,1.0,,,,,,,,,
25,8964,100,0.022595998444314227,1.0,1.0,0.06003039747889986,0.5,0.5,,,,,,
26,9320,104,0.01700555003526869,1.0,1.0,,,,,,,,,
27,9580,108,0.018819656053718117,1.0,1.0,,,,,,,,,
28,9904,112,0.023188610968768397,1.0,1.0,,,,,,,,,
29,10196,116,0.017203976242234367,1.0,1.0,,,,,,,,,
30,10616,120,0.020774149054494255,1.0,1.0,,,,,,,,,
31,11004,124,0.01728951793347247,1.0,1.0,,,,,,,,,
32,11328,128,0.022289462760668406,1.0,1.0,,,,,,,,,
33,11684,132,0.020569771030319747,1.0,1.0,0.061476407678640634,0.75,0.75,,,,,,
34,12136,136,0.017112417257785846,1.0,1.0,,,,,,,,,
35,12460,140,0.020248456165762808,1.0,1.0,,,,,,,,,
36,12784,144,0.01831684673531805,1.0,1.0,,,,,,,,,
37,13172,148,0.019886669876536357,1.0,1.0,,,,,,,,,
38,13528,152,0.021280294759138847,1.0,1.0,,,,,,,,,
39,13884,156,0.018990814112406697,1.0,1.0,,,,,,,,,
40,14208,160,0.022307888582867676,1.0,1.0,,,,,,,,,
41,14564,164,0.02069020443361764,1.0,1.0,0.020226638006078285,1.0,1.0,,,,,,
42,14920,168,0.02075056166543948,1.0,1.0,,,,,,,,,
