step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,356,4,0.12244489837815804,0.0,0.0,0.10435222043910511,0.0,0.0,,,,,,
2,744,8,0.11173958123782464,0.0,0.0,,,,,,,,,
3,1100,12,0.09596988537334959,0.0,0.0,,,,,,,,,
4,1392,16,0.07728067699901235,0.0,0.0,,,,,,,,,
5,1716,20,0.05733257571778949,0.5,0.5,,,,,,,,,
6,2072,24,0.03417329913936515,0.75,0.75,,,,,,,,,
7,2396,28,0.03271552897560287,1.0,1.0,,,,,,,,,
8,2752,32,0.04487182338941114,0.75,0.75,,,,,,,,,
9,3108,36,0.038170192509216515,0.75,0.75,0.036827439689347444,0.5,0.5,,,,,,
10,3464,40,0.040130916527680256,1.0,1.0,,,,,,,,,
11,3852,44,0.03261713798432197,0.75,0.75,,,,,,,,,
12,4208,48,0.03566775774367732,1.0,1.0,,,,,,,,,
13,4596,52,0.03212649565006331,0.75,0.75,,,,,,,,,
14,4952,56,0.038106080066448327,1.0,1.0,,,,,,,,,
15,5404,60,0.03883073233751085,0.75,0.75,,,,,,,,,
16,5760,64,0.03174810222036089,1.0,1.0,,,,,,,,,
17,6052,68,0.03396123304549974,1.0,1.0,0.056416401663907684,0.5,0.5,,,,,,
18,6440,72,0.028167392517282886,1.0,1.0,,,,,,,,,
19,6764,76,0.04827901852049036,0.75,0.75,,,,,,,,,
20,7088,80,0.04212902474875364,0.75,0.75,,,,,,,,,
21,7444,84,0.029897710614532738,1.0,1.0,,,,,,,,,
22,7736,88,0.0370011166399177,0.75,0.75,,,,,,,,,
23,7996,92,0.037080524435349385,0.75,0.75,,,,,,,,,
24,8320,96,0.03759426511374932,0.75,0.75,,,,,,,,,
25,8580,100,0.043408258575684616,0.75,0.75,0.031459174529147725,0.75,0.75,,,,,,
26,9000,104,0.03066721993463978,1.0,1.0,,,,,,,,,
27,9324,108,0.026486991760899404,1.0,1.0,,,,,,,,,
28,9648,112,0.03816942491576356,0.75,0.75,,,,,,,,,
29,10036,116,0.02283879381940532,1.0,1.0,,,,,,,,,
30,10328,120,0.03617672000995551,0.75,0.75,,,,,,,,,
31,10684,124,0.04694301929811031,0.25,0.25,,,,,,,,,
32,10944,128,0.0320698823089981,1.0,1.0,,,,,,,,,
33,11236,132,0.04112663021911531,0.75,0.75,0.021740534971535948,1.0,1.0,,,,,,
34,11592,136,0.031952366802659275,0.5,0.5,,,,,,,,,
35,11948,140,0.036933563306954305,0.75,0.75,,,,,,,,,
36,12336,144,0.03520272747111676,1.0,1.0,,,,,,,,,
37,12724,148,0.03277437617391267,0.75,0.75,,,,,,,,,
38,13176,152,0.025057008430069024,1.0,1.0,,,,,,,,,
39,13468,156,0.037915891193416526,0.5,0.5,,,,,,,,,
40,13792,160,0.035595357354551195,0.5,0.5,,,,,,,,,
41,14084,164,0.04065665361818497,0.25,0.25,0.03568600781835307,0.5,0.5,,,,,,
42,14440,168,0.02883015414098157,0.75,0.75,,,,,,,,,
43,14764,172,0.03734811696585712,0.0,0.0,,,,,,,,,
44,15152,176,0.0332737596159518,0.5,0.5,,,,,,,,,
45,15476,180,0.03846873163987584,0.5,0.5,,,,,,,,,
46,15768,184,0.03784257439318431,0.5,0.5,,,,,,,,,
47,16060,188,0.035109786624509275,0.75,0.75,,,,,,,,,
48,16448,192,0.03181841126327072,0.75,0.75,,,,,,,,,
49,16772,196,0.03450685586859708,0.75,0.75,0.03459170715976916,0.5,0.5,,,,,,
50,17224,200,0.026832077876588624,0.75,0.75,,,,,,,,,
51,17548,204,0.038080526975255456,0.5,0.5,,,,,,,,,
52,17872,208,0.03963884592776594,0.5,0.5,,,,,,,,,
53,18196,212,0.03391325443373534,0.5,0.5,,,,,,,,,
54,18584,216,0.03351757724059051,0.5,0.5,,,,,,,,,
55,19036,220,0.03221226643996618,0.5,0.5,,,,,,,,,
56,19392,224,0.03309576191955454,1.0,1.0,,,,,,,,,
57,19748,228,0.0286935371711909,1.0,1.0,0.030644311237629153,0.5,0.5,,,,,,
58,20040,232,0.02914360433233924,1.0,1.0,,,,,,,,,
59,20396,236,0.034271386271333616,0.5,0.5,,,,,,,,,
60,20720,240,0.02859476434890712,1.0,1.0,,,,,,,,,
61,21108,244,0.027957063453846256,1.0,1.0,,,,,,,,,
62,21528,248,0.022790360386552317,1.0,1.0,,,,,,,,,
63,21820,252,0.03446428607413786,0.5,0.5,,,,,,,,,
64,22144,256,0.033261965515438086,0.5,0.5,,,,,,,,,
65,22500,260,0.02414701610015362,1.0,1.0,0.02728056076075791,1.0,1.0,,,,,,
66,22952,264,0.018802797358997782,1.0,1.0,,,,,,,,,
67,23308,268,0.02979984218167622,0.75,0.75,,,,,,,,,
68,23728,272,0.02747678403158506,0.5,0.5,,,,,,,,,
69,24052,276,0.03404539974765203,0.75,0.75,,,,,,,,,
70,24440,280,0.02264153522697977,1.0,1.0,,,,,,,,,
71,24796,284,0.029999000633030473,0.75,0.75,,,,,,,,,
72,25120,288,0.029571704311932085,0.5,0.5,,,,,,,,,
73,25476,292,0.030081120635220695,0.75,0.75,0.03187987670964503,0.5,0.5,,,,,,
74,25800,296,0.0323301455455993,0.25,0.25,,,,,,,,,
75,26284,300,0.026632869673131762,0.25,0.25,,,,,,,,,
76,26640,304,0.033228877882985446,0.25,0.25,,,,,,,,,
77,26996,308,0.026581523979431577,1.0,1.0,,,,,,,,,
78,27384,312,0.033387948136816496,0.5,0.5,,,,,,,,,
79,27644,316,0.030605116507630967,0.5,0.5,,,,,,,,,
80,28032,320,0.02935974646437937,0.5,0.5,,,,,,,,,
81,28388,324,0.029368158851152917,1.0,1.0,0.030465046203376714,0.5,0.5,,,,,,
82,28712,328,0.03307853072988849,0.75,0.75,,,,,,,,,
83,29100,332,0.025945402035978737,0.5,0.5,,,,,,,,,
84,29488,336,0.03045845118584514,0.5,0.5,,,,,,,,,
85,29876,340,0.03550183818123812,0.5,0.5,,,,,,,,,
86,30296,344,0.018573513856234194,1.0,1.0,,,,,,,,,
87,30684,348,0.03516494324948132,0.5,0.5,,,,,,,,,
88,31072,352,0.026110433849949998,0.75,0.75,,,,,,,,,
89,31460,356,0.031288674583635157,0.75,0.75,0.024578867973369823,0.5,0.5,,,,,,
90,31784,360,0.02653900390555623,1.0,1.0,,,,,,,,,
91,32140,364,0.026202057302992434,0.75,0.75,,,,,,,,,
92,32496,368,0.030018462173051354,0.75,0.75,,,,,,,,,
93,32884,372,0.030411452028099625,0.75,0.75,,,,,,,,,
94,33240,376,0.03023282252546644,0.5,0.5,,,,,,,,,
95,33660,380,0.024515719895822925,0.5,0.5,,,,,,,,,
96,34016,384,0.027839231357116422,0.5,0.5,,,,,,,,,
97,34372,388,0.029539856358008168,0.75,0.75,0.031052151765642414,0.25,0.25,,,,,,
98,34728,392,0.029398882707876852,0.75,0.75,,,,,,,,,
99,34988,396,0.030668538154274002,0.75,0.75,,,,,,,,,
100,35344,400,0.02896462222333732,0.75,0.75,,,,,,,,,
101,35764,404,0.02541391852448249,1.0,1.0,,,,,,,,,
102,37080,408,0.016170828157696802,1.0,1.0,,,,,,,,,
103,37436,412,0.02378087424157653,1.0,1.0,,,,,,,,,
104,37760,416,0.03572021832438395,0.5,0.5,,,,,,,,,
105,38116,420,0.03215912679576707,0.75,0.75,0.023557131296888204,1.0,1.0,,,,,,
106,38408,424,0.0403487196710786,0.5,0.5,,,,,,,,,
107,38700,428,0.025010168235267735,1.0,1.0,,,,,,,,,
108,39024,432,0.022717398100928904,1.0,1.0,,,,,,,,,
109,39284,436,0.032669290907910806,0.75,0.75,,,,,,,,,
110,39640,440,0.037520497629669324,0.25,0.25,,,,,,,,,
111,39964,444,0.025791735335702982,1.0,1.0,,,,,,,,,
112,40320,448,0.022876482727470174,1.0,1.0,,,,,,,,,
113,40676,452,0.03004796275546046,0.75,0.75,0.022723511185527817,1.0,1.0,,,,,,
114,41000,456,0.03248302080231946,0.75,0.75,,,,,,,,,
115,41356,460,0.025510661372312962,1.0,1.0,,,,,,,,,
116,41680,464,0.027345980876990555,0.5,0.5,,,,,,,,,
117,42100,468,0.032266942611598425,0.5,0.5,,,,,,,,,
118,42424,472,0.024304339570542878,1.0,1.0,,,,,,,,,
119,42844,476,0.02835766036397366,0.75,0.75,,,,,,,,,
120,43200,480,0.02081905564316088,1.0,1.0,,,,,,,,,
121,43524,484,0.022916812429951167,0.75,0.75,0.030053722158693532,0.5,0.5,,,,,,
122,44008,488,0.021622656656228704,0.75,0.75,,,,,,,,,
123,44300,492,0.024005953562905802,0.75,0.75,,,,,,,,,
124,44624,496,0.03645700318168395,0.5,0.5,,,,,,,,,
125,44948,500,0.03163936779423844,0.75,0.75,,,,,,,,,
126,45368,504,0.01976623458591801,1.0,1.0,,,,,,,,,
127,45756,508,0.03095327059500268,0.75,0.75,,,,,,,,,
128,46080,512,0.026688908333946697,0.75,0.75,,,,,,,,,
129,46436,516,0.0265669225231462,1.0,1.0,0.022412647152409076,1.0,1.0,,,,,,
130,46696,520,0.026757868417506502,1.0,1.0,,,,,,,,,
131,47020,524,0.020786826915333335,1.0,1.0,,,,,,,,,
132,47344,528,0.033541838114781286,0.75,0.75,,,,,,,,,
133,47700,532,0.03421610908379198,0.75,0.75,,,,,,,,,
134,48024,536,0.026735810768044876,1.0,1.0,,,,,,,,,
135,48380,540,0.03017922503237039,0.25,0.25,,,,,,,,,
136,48736,544,0.01947873324674872,1.0,1.0,,,,,,,,,
137,49124,548,0.024743540568392657,1.0,1.0,0.02050055669693602,1.0,1.0,,,,,,
138,49480,552,0.02886433837862951,0.75,0.75,,,,,,,,,
139,49740,556,0.023890758148125926,1.0,1.0,,,,,,,,,
140,50128,560,0.02709271877946252,0.5,0.5,,,,,,,,,
141,50420,564,0.0369617053363795,0.75,0.75,,,,,,,,,
142,50776,568,0.024979441131140135,1.0,1.0,,,,,,,,,
143,51132,572,0.025711890250255467,1.0,1.0,,,,,,,,,
