topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	India has sent 100,000 COVID-19 vaccines as a gift to Barbados, which arrived today. The Prime Minister of Barbados expressed gratitude towards Prime Minister Modi for his prompt and generous decision to provide the vaccines to their country.	1
COVID-19	1350165688061669378	The person is taking precautions to prevent the spread of COVID-19 while waiting for their turn to receive the vaccine. They are wearing a mask, maintaining social distancing, avoiding large gatherings, and not meeting with people they do not live with. They believe that these actions will help slow the spread of the virus.	0
COVID-19	1369749539154919425	The speaker is hosting an event with the CEOs of Johnson & Johnson and Merck to discuss their partnership to produce more COVID-19 vaccines. The event will be broadcasted and the audience is invited to tune in.	0
COVID-19	1350164995686936578	The statement is urging people to take precautions such as wearing masks, avoiding crowds, and maintaining social distancing to slow the spread of COVID-19. This is important to help small businesses like the one mentioned in the statement stay open during the pandemic. The statement also suggests that getting vaccinated against COVID-19 is important, but until enough people are vaccinated, it is crucial to continue taking these precautions to prevent the spread of the virus.	0
COVID-19	1370008076489789440	President Kagame and First Lady Jeannette Kagame received their COVID-19 vaccines at King Faisal Hospital as part of the nationwide vaccination rollout that has vaccinated over 230,000 people.	1
COVID-19	1367726730044207104	The government of Rwanda has received 50,000 doses of Covid-19 vaccines from India and is expressing gratitude to the Indian government and other partner countries for their contribution to the fight against Covid-19. The tweet is addressed to Dr. S Jaishankar, who is likely the Indian Minister of External Affairs.	1
COVID-19	1365684673205084166	The article provides information on the Astrazeneca and SinoVac COVID-19 vaccines from the UP-PGH COVID-19 Groups.	0
COVID-19	1369888483414712322	Four former presidents have collaborated on two national ad campaigns that were released on Thursday. The campaigns aim to promote trust in COVID-19 vaccines, and all four presidents are shown receiving the vaccine in the ads.	1
COVID-19	1370003879455297540	The author believes that America is strongest when people work together for a common goal. They believe that the development of safe and effective COVID-19 vaccines provides an opportunity for people to come together and rise to the occasion.	0
COVID-19	1354166371526041603	The author and a Yale MSTP student wrote an OpEd to dispel myths and provide facts about COVID-19 vaccines for pregnant and nursing women, as there is a lot of misinformation and fear-mongering surrounding the topic. They encourage people to share the article widely.	0
COVID-19	1357381185505288200	Dr. Anthony Fauci, who is the chief medical advisor to the President and director of the National Institute of Allergy and Infectious Diseases (NIAID), will be answering questions about COVID-19 and the science behind the vaccines for the next hour.	0
COVID-19	1367232803071422464	The author is advising mothers not to allow their babies to receive the experimental COVID-19 vaccines.	0
COVID-19	1368585187500691461	According to a report by the Wall Street Journal, Russia's three main intelligence agencies, SVR, FSB, and GRU, were involved in running fake news sites and social media accounts to spread misinformation about Pfizer and Moderna vaccines. The aim was to undermine public confidence in these vaccines.	1
COVID-19	1368249497734713346	Joel Embiid, a basketball player, has decided to donate his earnings of $100,000 from the All-Star Weekend event to three homeless shelters in Philadelphia. The donation will be used to provide meals, clothing items, treatment and care for those who receive COVID-19 vaccines, funds for a summer camp, shelter for more than 300 teenagers, and support for families who were previously homeless.	1
COVID-19	1367921612780081155	The President of the United States is urging states to ensure that teachers, school staff, and child care workers receive their first dose of the COVID-19 vaccine by the end of March. The federal retail pharmacy program will give priority to vaccinating these groups. A list of participating pharmacies can be found at the provided link.	0
COVID-19	1355801491190280192	The author's Twitter account and several others were blocked on Twitter after tweeting about a story regarding Bill Gates and his refusal to support calls to drop patents on Covid-19 vaccines. The author personally asked Gates about the issue.	0
COVID-19	1366637116097060867	The speaker is expressing their frustration with the constant comparisons between different COVID-19 vaccines. They are willing to take any vaccine, even if it was manufactured by a snack food company, just so they can resume socializing with other people.	0
COVID-19	1365324501475594243	The article argues that Canada should take action to produce its own COVID-19 vaccines instead of relying solely on international partners. The Fitzhenry Vector Lab, affiliated with MacGlobalNexus, is suggested as a potential producer of vaccine doses for all Canadians.	1
COVID-19	1366814345443872769	The tweet is expressing gratitude to the medical community and researchers who have been working on the front lines of the COVID-19 pandemic and developing vaccines. The NASA Perseverance rover carried a commemorative plate to Mars to express this gratitude.	0
COVID-19	1369771518239072260	The tweet is calling on Governor Ron DeSantis of Florida to expand vaccine eligibility to include all teachers, agriculture and food workers, and other essential employees, as there is enough supply of vaccines available. The tweet suggests that expanding eligibility will help save lives.	0
COVID-19	1350907284575043584	The statement suggests that people who claim vaccines are completely safe and ridicule those who are against vaccination may need the support of those who question the safety of vaccines in the future. The article cited reports that 23 people in Norway died after receiving the COVID-19 vaccine.	1
COVID-19	1369770494703116296	The author is demanding that the European Medicines Agency (EMA) withdraw approval for gene-based vaccines if there is insufficient evidence to support their safety and efficacy. They are calling for proper investigation and due diligence to address any concerns before allowing the vaccines to be used.	0
COVID-19	1370453239309680640	Starting from April 5th, all individuals aged 16 and above in Michigan who were previously ineligible for the COVID-19 vaccine will now be eligible to receive it. This is a positive development, and it is recommended that all eligible individuals get vaccinated with one of the three safe and effective vaccines available.	1
COVID-19	1367517694279393282	The EU and Italy have prevented AstraZeneca from exporting COVID-19 vaccines to Australia because the company did not fulfill its promised vaccine deliveries to Europe.	1
COVID-19	1367555102291148801	The team at OSUWexMed has administered some of the first Johnson & Johnson COVID-19 vaccines, which is the only single-dose shot authorized by the FDA. They are working to increase its production because having a third safe and effective vaccine will allow more people to be vaccinated quickly.	1
COVID-19	1365752431489912833	The article explains that even after getting vaccinated, it is still possible for someone to carry the virus without showing any symptoms. This means they could potentially spread the virus to others without knowing it. Therefore, it is still important to wear masks and practice other safety measures to prevent the spread of COVID-19.	0
COVID-19	1365385808316944386	North Carolina has been ranked as the top state in the United States for vaccinating adults over the age of 65. The success is attributed to the efforts of vaccine providers across the state and the North Carolina Department of Health and Human Services (NCDHHS) team, who have worked hard to ensure that vaccines are administered quickly and fairly. The author expresses pride in this achievement.	1
COVID-19	1367295604703993856	The three vaccines authorized in the U.S. (Johnson & Johnson, Moderna, and Pfizer and BioNTech) are effective in reducing the risk of getting Covid-19 and have a high efficacy against more serious outcomes such as hospitalization and death.	1
COVID-19	1367586954502492161	Dr. Anthony Fauci is encouraging Republicans who are hesitant about getting vaccinated against Covid-19 to follow the example of former President Trump, who has been vaccinated. Fauci hopes that this will help convince more Republicans to get vaccinated.	0
COVID-19	1366074035348467712	According to simulations, vaccinating people earlier with a vaccine that has lower efficacy can prevent more cases, hospitalizations, and deaths from Covid-19 compared to waiting for a month to use a vaccine with higher efficacy.	1
COVID-19	1364402806992568320	The Navajo Nation has successfully given more than 100,000 COVID-19 vaccines to its residents by the end of February, which is more than half of its population. This achievement is a result of efforts to increase the supply of vaccines, provide more locations for vaccination, and train more people to administer vaccines.	1
COVID-19	1360255266672021504	As Covid-19 vaccines become available at pharmacies and grocery stores in the U.S., people are curious about what will happen to any leftover doses at the end of the day and who will be eligible to receive them.	0
COVID-19	1364973838233194497	The tweet is a message directed at Governor Cuomo, acknowledging his recognition of the importance of vaccine equity and requesting his assistance in obtaining more vaccines for the Bronx, which has been the hardest hit borough in New York City by COVID-19. The message includes a link to a letter signed by the entire Bronx Delegation, including federal, state, and city officials.	0
COVID-19	1369998582435229696	CVS has expanded the number of states where it is providing Covid-19 vaccinations through the federal retail pharmacy program initiated by President Biden. The company has increased its coverage to 29 states and Puerto Rico, which is almost double the number of states it previously covered.	1
COVID-19	1367201792002576385	If you are a religious person who supports the COVID-19 vaccines, please retweet this message. It is important to show that not all religious individuals are against the vaccines and to challenge the belief that being religious means being against them.	0
COVID-19	1370174548411305990	A group of scientists and doctors have written a letter to the European Medicines Agency (EMA) asking for urgent safety questions regarding the COVID-19 vaccine to be answered or for the authorization of the vaccine to be withdrawn. The letter was accompanied by a video by Dr. Bhakdi, which can be found at the provided link.	0
COVID-19	1363024347066208256	Dr. F. Hussain, a GP, is making phone calls to patients who have not yet accepted their COVID-19 vaccine in order to combat vaccine hesitancy and increase vaccination rates. This is part of the NHS's efforts to encourage more people to get vaccinated. A photo of Dr. Hussain taken by photographer Rankin accompanies the article.	0
COVID-19	1365057186334994443	The Secretary is ending their trip this week by visiting servicewomen and men who are giving COVID-19 vaccines on the USS Essex. The Secretary believes it is important for the military to contribute to the effort to combat COVID-19.	0
COVID-19	1369375694451531781	Immunologist Zhou Xing explains the working mechanism of the 2nd-gen COVID-19 vaccines developed by @MacGlobalNexus, the speed at which they were developed, and the reason behind creating an inhaled vaccine instead of an injected one.	0
COVID-19	1369512362873589760	Alaska has removed the eligibility criteria for Covid-19 vaccines and is now allowing anyone who is 16 years or older and lives or works in the state to receive a vaccine. This decision was announced by Governor Dunleavy.	1
COVID-19	1370003882236084231	The person is proud to work with the Ad Council and The Covid Collaborative to provide information about COVID-19 vaccines. They are partnering with former Presidents Obama, Bush, and Carter to achieve this goal. They encourage people to visit a website for more information.	0
COVID-19	1364671748977946631	The author and Walter Kim of the National Association of Evangelicals wrote an op-ed in The Washington Post explaining why Christians should not be afraid of the COVID vaccines. They argue that the vaccines are both ethical and safe.	0
COVID-19	1367808327720329218	The tweet is criticizing the media's biased reporting on vaccine exports. The US has banned all vaccine exports, but the UK media did not comment on it. The UK has not exported many vaccines and has prioritized the AstraZeneca vaccine for domestic use, but the media did not comment on this either. However, when the EU stopped one order of vaccines to Australia, the UK media criticized the EU for being vindictive and letting the whole world die, despite the fact that the EU has exported vaccines to 20 countries. The tweet also notes that the EU is on the verge of collapse.	0
COVID-19	1370191018243465219	The speaker is expressing their desire to receive a single dose of the COVID-19 vaccine and a single shot of tequila on their birthday, which falls on May 5th (Cinco de Mayo). They are referencing President Biden's announcement that all adults in the United States will be eligible for the vaccine by May 1st.	1
COVID-19	1365011945108176901	Moody's, a rating agency, has increased its projection for India's economic growth in the fiscal year 2022 from 10.8% to 13.7%. This is due to the normalization of economic activity and increased confidence in the market, which is attributed to the rollout of Covid-19 vaccines.	1
COVID-19	1369788331232493573	The speaker announced a new drive-thru vaccination site in Sumterville that will provide 3,000 Johnson & Johnson vaccines to Floridians aged 65 and older over the next three days. The speaker emphasized that this initiative prioritizes the needs of seniors. More information can be found at the provided link.	1
COVID-19	1369591200093732864	The EU has made a deal with BioNTech-Pfizer to provide an additional four million doses of COVID-19 vaccines to EU countries within the next two weeks. The purpose of this is to address areas with high rates of coronavirus and to make it easier for people to travel across borders. The EU emphasizes the importance of working together to combat the pandemic.	1
COVID-19	1367254708713369600	The writer is expressing their hope that Nigerian officials will distribute the COVID-19 vaccine according to international standards, prioritizing medical professionals and elderly individuals. They are cautioning against the unethical practice of sharing the vaccine with family, friends, and associates.	0
COVID-19	1356605799766745090	In 1956, Elvis Presley received a polio vaccination backstage at the Ed Sullivan Show, which encouraged many people to also get vaccinated. Now, with COVID-19 vaccines available, three former US presidents are considering publicly getting vaccinated to encourage others to do the same.	1
COVID-19	1369988744728616965	India has sent more than 481 lakh doses of Covid vaccines to different countries as of March 4. Out of these, 73.5 lakh doses were given as a grant, 288.4 lakh doses were sold commercially, and 119.16 lakh doses were sent to COVAX, a global initiative to ensure equitable access to vaccines.	1
COVID-19	1362466832146440197	The story being referred to in this tweet is considered despicable and reckless by the author. The story is about the possibility of single doses of COVID-19 vaccines being effective, according to Ottawa. The tweet includes a link to an article from the Toronto Star.	0
COVID-19	1367493551291064321	The most crucial action to take is to receive a COVID-19 vaccine as soon as possible, regardless of which vaccine is available. The CDC has updated its website with information about the Johnson & Johnson vaccine, including important details to consider before getting vaccinated.	0
COVID-19	1370046383458246659	"Whoopi Goldberg received her first shot of the COVID-19 vaccine and is encouraging others to do the same. She urges people to ""get the shot"" and provides a link for more information on COVID-19 vaccines."	1
