topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	India has sent 100,000 COVID-19 vaccines to Barbados, which arrived today. This is a significant gesture and the people of Barbados are grateful. The Prime Minister of Barbados expressed thanks to Prime Minister Modi for his prompt and generous decision to provide the vaccines.	1
COVID-19	1350165688061669378	While waiting for the COVID-19 vaccines, I am taking precautions such as wearing a mask, maintaining a distance of at least six feet from others, avoiding crowded places, and refraining from gathering indoors with people who are not part of my household. These measures will help me make a positive impact and contribute to slowing down the spread of the virus.	0
COVID-19	1369749539154919425	Later today, there will be an event where the CEOs of Johnson & Johnson and Merck will discuss their partnership to produce more COVID-19 vaccines. You can watch it.	0
COVID-19	1350164995686936578	Please wear a mask, maintain social distancing, and avoid large gatherings to help small businesses like mine stay open during the pandemic. Let's work together to slow the spread of COVID-19 until enough people can receive the vaccine.	0
COVID-19	1370008076489789440	President Kagame and First Lady Jeannette Kagame received their COVID-19 vaccines at King Faisal Hospital as part of the nationwide vaccination rollout, which has vaccinated over 230,000 people.	1
COVID-19	1367726730044207104	Rwanda has received 50,000 doses of Covid-19 vaccines from India and is grateful for the contribution made by the Indian government and other partner countries in the fight against Covid-19.	1
COVID-19	1365684673205084166	The UP-PGH COVID-19 Groups provided information on the Astrazeneca and SinoVac COVID-19 vaccines.	0
COVID-19	1369888483414712322	On Thursday, four ex-presidents launched two national ad campaigns to promote trust in COVID-19 vaccines. The campaigns feature photos of the former presidents receiving the vaccine.	1
COVID-19	1370003879455297540	The United States has historically thrived when its citizens work together towards a common goal. With the introduction of reliable COVID-19 vaccines, we have the opportunity to come together once more.	0
COVID-19	1354166371526041603	An OpEd has been written by a YaleMSTP student, Alice Luculligan, and another author to dispel myths and provide facts about COVID-19 vaccines for pregnant and nursing women. The authors aim to address the misinformation and fear-mongering surrounding the topic and encourage readers to share the article widely.	0
COVID-19	1357381185505288200	Dr. Anthony Fauci, the chief medical advisor to the President and director of @NIAIDNews, will be answering questions about COVID-19 and the science behind the vaccines for the next hour.	0
COVID-19	1367232803071422464	Dear mothers, please do not allow anyone to administer the experimental COVID-19 vaccines to your babies for the sake of your family's safety and well-being.	0
COVID-19	1368585187500691461	According to the Wall Street Journal, Russia's three main intelligence agencies (SVR, FSB, and GRU) used fake news websites and social media accounts to spread false information about Pfizer and Moderna vaccines. The goal was to undermine public confidence in these vaccines.	1
COVID-19	1368249497734713346	Joel Embiid has decided to donate his $100,000 earnings from the All-Star Weekend to three homeless shelters in Philadelphia. The donation will be used to provide meals, clothing items, treatment and care for those who receive COVID-19 vaccines, funds for a summer camp, shelter for over 300 teenagers, and support for families who were previously homeless.	1
COVID-19	1367921612780081155	President Biden has urged states to ensure that teachers, school staff, and child care workers receive their first dose of the COVID-19 vaccine by the end of March. The federal retail pharmacy program will give priority to their vaccinations, and a list of participating pharmacies can be found online.	0
COVID-19	1355801491190280192	Several Twitter accounts, including mine, were blocked after tweeting about a story regarding Bill Gates and his stance on dropping patents for Covid-19 vaccines. The story discusses why Gates refuses to support this idea. I personally asked him about his position on the matter.	0
COVID-19	1366637116097060867	People are constantly comparing the various vaccines, and I am now willing to take any vaccine, even if it's made by Frito-Lay and called the cool ranch covid vaccine, just so I can finally interact with other people again.	0
COVID-19	1365324501475594243	Mossmanlab argues that Canada should take immediate action to enable the production of its own vaccines, reducing the country's dependence on foreign partners. The Fitzhenry Vector Lab, according to Mossmanlab, should be utilized to produce COVID-19 vaccine doses for all Canadians.	1
COVID-19	1366814345443872769	The NASA Persevere rover carried a commemorative plate to Mars in 2020 and 2021 to express gratitude to the medical community for their efforts during the COVID-19 pandemic. The plate also thanked researchers for developing vaccines.	0
COVID-19	1369771518239072260	It is necessary for Florida to provide vaccines to teachers, agriculture and food workers, and other essential employees. The vaccines are available, and it is important for Governor Ron DeSantis to expand eligibility to save lives.	0
COVID-19	1350907284575043584	The recent deaths of 23 people in Norway after receiving the COVID-19 vaccine have raised concerns about the safety of vaccines. While some people believe that vaccines are completely safe and ridicule those who are hesitant to get vaccinated, others argue that it is important to be honest about the potential risks and benefits of vaccination. Ultimately, the decision to get vaccinated should be based on individual circumstances and informed by reliable information.	1
COVID-19	1369770494703116296	If there is insufficient evidence, we request that the approval for gene-based vaccines be revoked until the EMA has thoroughly investigated and addressed all concerns.	0
COVID-19	1370453239309680640	Starting from April 5th, all individuals aged 16 and above in Michigan who were previously ineligible will now be eligible to receive the COVID-19 vaccine. It is recommended that all eligible individuals get vaccinated with one of the three safe and effective vaccines.	1
COVID-19	1367517694279393282	AstraZeneca's COVID-19 vaccine shipment to Australia has been blocked by the EU and Italy. This is due to the drug manufacturer's failure to deliver the doses it had promised to Europe.	1
COVID-19	1367555102291148801	The team at @OSUWexMed has administered some of the first Johnson & Johnson COVID-19 vaccines, which is the only single-dose shot authorized by the FDA. They are working to increase its production as having a third safe and effective vaccine will help vaccinate more people faster.	1
COVID-19	1365752431489912833	The article explains that even after getting vaccinated, there is a possibility of being an asymptomatic carrier of the virus. Therefore, it is still important to wear masks for a while to prevent the spread of the virus.	0
COVID-19	1365385808316944386	North Carolina has been ranked as the top state in the US for vaccinating adults over 65. This achievement is attributed to the efforts of vaccine providers and the team at NCDHHS who have worked tirelessly to ensure vaccines are administered quickly and fairly.	1
COVID-19	1367295604703993856	The three vaccines approved in the U.S. (Johnson & Johnson, Moderna, and Pfizer and BioNTech) significantly lower the chances of contracting Covid-19 and are highly effective in preventing severe outcomes such as hospitalization and death.	1
