topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	India has sent 100,000 COVID-19 vaccines to Barbados today. It's a special moment for all Barbadians, and I want to thank Prime Minister Modi for his quick and generous decision to provide us with these vaccines.	1
COVID-19	1350165688061669378	While waiting for the COVID-19 vaccines, I am taking precautions such as wearing a mask, maintaining a distance of at least six feet from others, avoiding crowds, and refraining from gathering indoors with non-household members. These actions are my contribution to #SlowTheSpread.	0
COVID-19	1369749539154919425	This afternoon, I will be hosting an event with the CEOs of Johnson & Johnson and Merck. We will be discussing our partnership to produce more COVID-19 vaccines. Tune in! https://t.co/S3OxWrOUgt	0
COVID-19	1350164995686936578	Please support businesses like mine by wearing masks, avoiding crowds, and maintaining a distance of at least six feet until a sufficient number of people receive COVID-19 vaccines. Let's work together to #SlowTheSpread.	0
COVID-19	1370008076489789440	President Kagame and First Lady Jeannette Kagame received their #COVID-19 vaccines at King Faisal Hospital, as part of the nationwide vaccination rollout that has already vaccinated over 230,000 people.	1
COVID-19	1367726730044207104	We are happy to announce that we have received 50,000 doses of Covid-19 vaccines from India this morning. The Government of Rwanda is grateful to the Government of India and other partner countries for their valuable contribution to the fight against #COVID19. Thank you, @DrSJaishankar.	1
COVID-19	1365684673205084166	Check out this link for information on the Astrazeneca and SinoVac COVID-19 vaccines from UP-PGH COVID-19 Groups 💉💉💉 https://t.co/wpqUkoqjxW	0
COVID-19	1369888483414712322	Four former presidents have joined forces for two national ad campaigns that were released on Thursday. The purpose of these campaigns is to promote trust in COVID-19 vaccines. Additionally, all four presidents are featured in the ads receiving the vaccine.	1
COVID-19	1370003879455297540	America is strongest when we support each other and work together. With the new safe and effective COVID-19 vaccines, we have an opportunity to come together once more. https://t.co/rbuQstkH9R	0
COVID-19	1354166371526041603	We wrote an OpEd to debunk myths and provide facts about #COVID19 vaccines for pregnant and nursing women. Please share this widely to combat misinformation and fear-mongering. Link: https://t.co/iyneLwvE5y	0
COVID-19	1357381185505288200	Hello, everyone! I am Dr. Anthony Fauci, the chief medical advisor to the President and director of @NIAIDNews. For the next hour, I will be here to respond to your inquiries about COVID-19 and the scientific aspects of the vaccines. Join me at this link: https://t.co/AF6JN6ZEsi	0
COVID-19	1367232803071422464	Attention Moms: Please refrain from allowing anyone to administer the experimental COVID-19 vaccines to your babies. It is crucial for the well-being of your family. https://t.co/0LIZf4drgq	0
COVID-19	1368585187500691461	According to the WSJ, Russia's SVR, FSB, and GRU intelligence services operated fake news sites and fake social media accounts to spread false information about Pfizer and Moderna vaccines, aiming to weaken trust in them.	1
COVID-19	1368249497734713346	Joel Embiid plans to donate his $100K earnings from the All-Star Weekend to three homeless shelters in Philly. The funds will be used to provide meals, clothing items, treatment and care for those who receive COVID-19 vaccines, funds for a summer camp, shelter for over 300 teens, and support for formerly homeless families. 🙏 https://t.co/MlYyAC3E8j	1
COVID-19	1367921612780081155	Attention teachers, school staff, and workers in child care programs: @POTUS is urging states to ensure you receive your first #COVID19 vaccine by the end of March. The federal retail pharmacy program will give priority to your vaccinations. Check out the list of participating pharmacies here: https://t.co/lmCctm9P1Q	0
COVID-19	1355801491190280192	My account and several others were blocked on Twitter for tweeting about this story. It's about Bill Gates and his refusal to support calls for dropping patents on Covid-19 vaccines. I personally asked him about this issue. https://t.co/EAVdJQl1Qy	0
COVID-19	1366637116097060867	I'm tired of the ongoing vaccine comparisons. At this stage, I'm open to trying any vaccine, even if it's the Frito-Lay cool ranch covid vaccine. I just want to be able to interact with other people again.	0
COVID-19	1365324501475594243	@Mossmanlab argues that Canada should take immediate action to enable domestic production of vaccines, reducing dependence on international partners. @MacGlobalNexus Fitzhenry Vector Lab is proposed as a potential facility to produce COVID-19 vaccine doses for all Canadians. https://t.co/J3Nvb5faq6	1
COVID-19	1366814345443872769	In 2020 and 2021, our @NASAPersevere rover took a commemorative plate to Mars to show appreciation to the medical community fighting the COVID-19 pandemic. We also extend our gratitude to the vaccine researchers.	0
COVID-19	1369771518239072260	@GovRonDeSantis, it's time to open up eligibility for vaccines to all teachers, agriculture and food workers, and other essential employees in Florida. The supply is available and it's crucial to save lives. #COVID19 https://t.co/YkJJgHqMrT	0
COVID-19	1350907284575043584	People who believe vaccines are completely safe and mock anti-vaxxers will rely on those who question official information to acknowledge the importance of widespread vaccination. 23 deaths reported in Norway after COVID-19 vaccine administration. Link: https://t.co/eN10HwZvqW via @nypost	1
COVID-19	1369770494703116296	If there is no evidence available, we request that the approval for gene-based vaccines be revoked until the issues mentioned above are properly addressed by the EMA through due diligence.	0
COVID-19	1370453239309680640	Starting Monday, April 5, all Michiganders aged 16 and above, who were previously ineligible, can now get vaccinated. It's great news! I encourage all eligible Michiganders to choose one of the three safe and effective COVID-19 vaccines.	1
COVID-19	1367517694279393282	The EU and Italy have stopped AstraZeneca's COVID-19 vaccine shipment to Australia because the company did not fulfill its promise to deliver doses to Europe.	1
COVID-19	1367555102291148801	This week, the team at @OSUWexMed gave out some of the first Johnson & Johnson COVID-19 vaccines. This vaccine is authorized by the FDA and requires only one dose. We are increasing its production to vaccinate more people faster. #COVID19 #vaccine	1
COVID-19	1365752431489912833	"Here's a clearer and more understandable version of the tweet:

""An easy-to-understand explanation about why masks are still necessary even after getting vaccinated, due to the possibility of being an asymptomatic carrier. Check out the article by @JessicaGlenza and @alv9n on @guardianscience. Link: https://t.co/br31dXyyLk"""	0
COVID-19	1365385808316944386	North Carolina is leading the US in vaccinating adults over 65. Great job, NC! I'm proud of our vaccine providers and the team at @NCDHHS for their hard work in quickly and fairly administering vaccines. https://t.co/muMgDxcMN9	1
