topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	Barbados received a generous gift of 100,000 COVID-19 vaccines from India today. This is an important moment for the people of Barbados, and we are grateful to Prime Minister Modi for acting swiftly and generously in providing us with these vaccines. Thank you!	1
COVID-19	1350165688061669378	While waiting for the COVID-19 vaccines, I am taking precautions to prevent the transmission of the virus. I am wearing a mask, maintaining a distance of six feet from others, avoiding large gatherings, and refraining from gathering with people outside of my household. By doing these things, I can contribute to the effort to slow the spread of the virus.	0
COVID-19	1369749539154919425	This afternoon, there will be an event with the CEOs of Johnson & Johnson and Merck, where they will be discussing their partnership to produce more COVID-19 vaccines. You can watch the event by clicking on this link: https://t.co/S3OxWrOUgt	0
COVID-19	1350164995686936578	To support businesses like mine, please wear a mask, steer clear of large groups of people, and maintain a distance of at least six feet between each other until enough people receive the COVID-19 vaccine. Let's all work together to slow the spread of the virus.	0
COVID-19	1370008076489789440	The President of Rwanda, Kagame, and his wife, Jeannette Kagame, received their COVID-19 vaccines at King Faisal Hospital. This is part of a vaccination program that has vaccinated more than 230,000 people across the country.	1
COVID-19	1367726730044207104	We are pleased to announce that we have received 50,000 doses of the Covid-19 vaccine from India this morning. The Rwandan government is grateful to the Indian government and other partner countries for their valuable contribution in the fight against Covid-19. Thank you, Dr. S Jaishankar.	1
COVID-19	1365684673205084166	The UP-PGH COVID-19 Groups have provided information about the Astrazeneca and SinoVac COVID-19 Vaccines.	0
COVID-19	1369888483414712322	On Thursday, four previous presidents came together for two national advertisements aimed at encouraging people to trust and get vaccinated against COVID-19. The ads feature pictures of all four presidents receiving the vaccine.	1
COVID-19	1370003879455297540	The United States has historically been successful when individuals work together for the common good. With the creation of secure and efficient COVID-19 vaccines, we have the opportunity to unite and conquer this crisis once again.	0
COVID-19	1354166371526041603	The topic of COVID-19 vaccines and their safety for pregnant and nursing women has been surrounded by a lot of incorrect information and alarming statements. To set the record straight, we have co-written an OpEd with a talented student from Yale Medical School, which provides accurate facts to dispel the myths about this issue. We urge you to share this article widely to help educate others about the true risks and benefits of COVID-19 vaccines for expectant and breastfeeding mothers.	0
COVID-19	1357381185505288200	Hello, I am Dr. Anthony Fauci. I am the chief medical advisor to the President and the director of the National Institute of Allergy and Infectious Diseases. I am here to answer any questions you may have about COVID-19 and the vaccines. Feel free to ask me anything.	0
