topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	India has gifted 100,000 COVID-19 vaccines to Barbados, which arrived today. The Prime Minister of Barbados thanked Prime Minister Modi for his quick and generous action in providing the vaccines.	1
COVID-19	1350165688061669378	The person is waiting for their turn to get the COVID-19 vaccine and in the meantime, they are taking precautions such as wearing a mask, social distancing, avoiding crowds, and not gathering indoors with people they don't live with to slow the spread of the virus.	0
COVID-19	1369749539154919425	The speaker is hosting an event with the CEOs of Johnson & Johnson and Merck to discuss their partnership to produce more COVID-19 vaccines. The event can be watched online.	0
COVID-19	1350164995686936578	The message urges people to wear masks, maintain social distancing, and avoid crowds to slow the spread of COVID-19 and help small businesses stay open until enough people get vaccinated.	0
COVID-19	1370008076489789440	President Kagame and First Lady Jeannette Kagame received their COVID-19 vaccines at King Faisal Hospital as part of the nationwide vaccination rollout that has seen over 230,000 people vaccinated.	1
COVID-19	1367726730044207104	Rwanda has received 50,000 doses of Covid-19 vaccines from India and expressed gratitude to the Indian government and other partner countries for their contribution to the fight against the pandemic.	1
COVID-19	1365684673205084166	The UP-PGH COVID-19 Groups provide information on the Astrazeneca and SinoVac COVID-19 vaccines.	0
COVID-19	1369888483414712322	Four former US presidents have appeared in two national ad campaigns to promote trust in COVID-19 vaccines. The campaigns feature photos of the former presidents getting vaccinated against the virus.	1
COVID-19	1370003879455297540	The author believes that America is strongest when people work together for a common cause, and with the development of safe and effective COVID-19 vaccines, there is an opportunity to do so again.	0
COVID-19	1354166371526041603	An op-ed written by a Yale MSTP student and a professor aims to dispel myths and provide facts about COVID-19 vaccines for pregnant and nursing women. The authors argue that misinformation and fear-mongering have led to confusion and hesitancy among this population, despite evidence showing the safety and efficacy of the vaccines. They urge healthcare providers to educate their patients and encourage vaccination to protect both mother and baby.	0
COVID-19	1357381185505288200	Dr. Anthony Fauci, chief medical advisor to the President and director of @NIAIDNews, will be answering questions about COVID-19 and the science behind the vaccines for the next hour.	0
COVID-19	1367232803071422464	The author urges mothers not to allow their babies to receive the experimental COVID-19 vaccines.	0
COVID-19	1368585187500691461	Russia's intelligence services, including SVR, FSB, and GRU, used fake news sites and social media accounts to spread misinformation about Pfizer and Moderna vaccines in an effort to undermine public confidence in them, according to the Wall Street Journal.	1
