topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	The article states that India has gifted 100,000 COVID-19 vaccines to Barbados and that this delivery is greatly appreciated by the Barbadian people. The author also thanks Prime Minister Modi for his quick decision and generosity in providing these vaccines to Barbados.	0
COVID-19	1370008076489789440	The article reports that the President of Rwanda, Paul Kagame, and his wife Jeannette Kagame, have received the COVID-19 vaccine at King Faisal Hospital as part of the nationwide vaccination rollout. Over 230,000 people have already been vaccinated in Rwanda.	0
COVID-19	1367726730044207104	The article is reporting that the government of Rwanda has received 50,000 doses of COVID-19 vaccines from India and is thanking the Indian government and other partner countries for their contribution in fighting the COVID-19 pandemic.	0
COVID-19	1369888483414712322	The article states that four former US presidents - Barack Obama, George W. Bush, Bill Clinton, and Jimmy Carter - have come together for two national ad campaigns to promote trust in COVID-19 vaccines. The ads feature the former presidents getting vaccinated against the virus and aim to encourage people to get vaccinated as well.	0
COVID-19	1368585187500691461	The article claims that Russian intelligence agencies, namely SVR, FSB, and GRU, created fake news sites and social media accounts to spread misinformation about the Pfizer and Moderna vaccines. The purpose of this campaign was to undermine people's confidence in the effectiveness of the vaccines and promote skepticism towards them.	1
COVID-19	1368249497734713346	The claim is that Joel Embiid, a basketball player, will donate his $100K earnings from the NBA All-Star Weekend to three homeless shelters in Philadelphia to provide various forms of support and assistance to those in need including meals, clothing items, treatment and care for those who receive COVID-19 vaccines, funds for a summer camp, support for sheltering over 300 teenagers, and support for formerly homeless families.	0
COVID-19	1365324501475594243	The claim made in the article is that Canada should take action to be able to produce its own COVID-19 vaccines, instead of relying solely on international partners. The author argues that the Fitzhenry Vector Lab, located at McMaster University, has the capacity to produce vaccine doses for all Canadians and that investments should be made in its production capabilities. The author suggests that this would increase Canada's medical security and reduce its reliance on other countries for vaccines in the future.	0
COVID-19	1350907284575043584	The claim made in the article is that 23 people in Norway have died after receiving the COVID-19 vaccine, and therefore, those who claim that vaccines are 100% safe and ridicule anti-vaxxers will now have to rely on the people who refuse to believe in the safety of vaccines to promote widespread vaccination.	1
COVID-19	1370453239309680640	The article is stating that all Michigan residents aged 16+ who were not previously eligible for a COVID-19 vaccine will now be eligible starting from Monday, April 5. The author encourages all eligible individuals to get vaccinated with one of the three safe and effective COVID-19 vaccines available.	0
COVID-19	1367517694279393282	The article claims that the EU and Italy have blocked a shipment of AstraZeneca's COVID-19 vaccine that was supposed to be sent to Australia, citing the drug manufacturer's failure to deliver the doses it promised to Europe as the reason behind the move.	0
COVID-19	1367555102291148801	The article claims that the team at OSUWexMed administered some of the first Johnson & Johnson COVID-19 vaccines, which is the only single-dose shot authorized by the FDA. The article also claims that by ramping up its production, it will be possible to vaccinate more people quickly using this safe and effective vaccine.	0
COVID-19	1365385808316944386	The claim made in the article is that North Carolina is ranked as the top state in the United States for vaccinating adults over the age of 65. The author expresses pride and gratitude for the efforts of North Carolina's vaccine providers and the team at the North Carolina Department of Health and Human Services (NCDHHS) for their hard work in quickly and equitably administering vaccines to the population.	0
COVID-19	1367295604703993856	The claim made in the article is that all three vaccines authorized in the U.S (Johnson & Johnson, Moderna, and Pfizer and BioNTech) significantly reduce the risk of contracting Covid-19 and have high efficacy rates in preventing serious outcomes such as hospitalization and death.	0
COVID-19	1366074035348467712	The claim made in the article is that in simulations, administering a lower efficacy vaccine to people sooner can prevent more Covid-19 cases, hospitalizations, and deaths than waiting for a month to administer a higher efficacy vaccine. This implies that the speed of vaccination is more important than the efficacy of the vaccine in the short-term for preventing the spread of Covid-19 and reducing its impact on healthcare systems and mortality rates. However, the longer-term effects of the vaccine may need to be considered when making decisions about vaccination strategies.	0
COVID-19	1364402806992568320	The Navajo Nation has successfully vaccinated over 100,000 residents against COVID-19 by the end of February, which was their goal. This represents over half of the Navajo Nation's population. The success is attributed to the increase in vaccine supply, vaccination sites, and vaccinators.	0
COVID-19	1369998582435229696	The article claims that CVS has expanded the availability of Covid-19 vaccines through the federal retail pharmacy program, doubling the number of states where the vaccines are offered. As a result, CVS is now providing Covid-19 vaccines in 29 states and Puerto Rico.	0
COVID-19	1369512362873589760	The claim is that Alaska is the first state in the United States to eliminate eligibility criteria for Covid-19 vaccines, meaning that anyone aged 16 or older who lives or works in the state is now eligible to receive the vaccine. Governor Dunleavy announced the decision, which is intended to speed up the state's vaccination efforts and protect more people against the virus.	0
COVID-19	1370191018243465219	The article reports on the announcement made by President Biden regarding the expanded availability of anti-covid vaccines in the United States. The President stated that all adults will be eligible to receive the vaccine by May 1, which is earlier than previously anticipated. The author adds a personal comment, expressing their desire for a one-shot vaccine and one shot of tequila to celebrate their birthday, which falls on May 5th (Cinco de Mayo).	0
COVID-19	1365011945108176901	The article claims that Moody's, a rating agency, has revised its estimation of India's GDP growth for the fiscal year 2022. It projects that India's economy will grow by 13.7% in FY2022, up from the earlier estimate of 10.8%. This positive revision is owing to the normalization of economic activity in India and the rollout of Covid-19 vaccines, which have increased market confidence. Essentially, the article suggests that India's economy is expected to rebound strongly in the current fiscal year due to improving market conditions.	0
COVID-19	1369788331232493573	The claim made in the article is that a new drive-thru vaccination site has been established in Sumterville, Florida, which will provide 3,000 Johnson & Johnson vaccines to Floridians aged 65 and older over the next three days. The site is part of the state's effort to prioritize seniors for COVID-19 vaccinations.	0
COVID-19	1369591200093732864	The article states that the European Union (EU) has made an agreement with BioNTech-Pfizer to supply four million more doses of COVID-19 vaccines to EU countries within the next two weeks. The purpose of this is to address COVID-19 hotspots and to allow for easier travel within the EU. The claim is that this additional vaccine supply will help in the fight against COVID-19 and promote collaboration between EU countries.	0
COVID-19	1356605799766745090	The claim made in the article is that three former American presidents are considering getting vaccinated for COVID-19 publicly, similar to how Elvis got vaccinated for polio on live TV in 1956. The goal is to inspire confidence in the vaccine and encourage more Americans to get vaccinated.	0
COVID-19	1369988744728616965	India has provided more than 48.1 million doses of Covid vaccines to various countries as of March 4th. Out of this, 7.35 million doses have been given as a grant (free of cost), 28.84 million doses have been supplied on a commercial basis (sold), and 11.916 million doses through COVAX (a global facility to ensure equitable distribution of vaccines to developing countries). This indicates that India has been actively engaged in the global fight against Covid-19 by supplying vaccines to other countries.	0
COVID-19	1370046383458246659	The claim made in the article is that Whoopi Goldberg received her first shot of the COVID-19 vaccine and encourages others to do the same. She believes people should get the vaccine to protect themselves and others from the virus. The article also provides a link for more information on COVID-19 vaccines.	0
COVID-19	1371118941460963331	The claim made in the article is that while vaccines are highly effective at preventing severe illness and death from Covid-19, they are not 100% effective and therefore people should still continue to wear masks to further protect themselves and others from the virus. The article emphasizes that even if someone is vaccinated, they can still contract and spread the virus, and therefore wearing a mask can help reduce transmission and keep individuals and communities safe.	0
COVID-19	1368703552546308099	The article claims that Russian intelligence agencies are engaging in a campaign to sow doubt and undermine confidence in Pfizer Inc. and other Western vaccines. This campaign could potentially lead to decreased trust in these vaccines and reduce the likelihood of people being willing to receive them, which could further contribute to the spread of COVID-19.	1
COVID-19	1368561780142792705	The article states that a survey has revealed the extent of damage to the perceived safety of the AstraZeneca COVID-19 vaccine in Europe. The survey found that a significant portion of people in Germany (27%), France (22%), Italy (23%), and Spain (19%) said they would refuse the AstraZeneca vaccine and wait for a different one. In contrast, only 2% of people in the UK said they would refuse the AstraZeneca vaccine. The survey also showed lower refusal rates for the Pfizer and Moderna vaccines across all countries surveyed.	0
COVID-19	1366780368318312449	The claim made in the article is that some people who have received Covid-19 vaccines are experiencing unusual swelling in their lymph nodes, which is being picked up on routine mammograms and other scans. This can lead to unnecessary worries about breast and other forms of cancer. The article provides information and guidance to help individuals avoid unnecessary concerns by telling them when to schedule their scans in relation to their vaccinations and when to seek additional medical attention.	1
COVID-19	1367820629886504961	The article reports that Uganda has received the first batch of COVID-19 vaccines manufactured by the Serum Institute of India and shipped through the COVAX facility. The initial batch contains 864,000 doses of the AstraZeneca vaccine. The article expresses gratitude to those involved in securing and delivering the vaccines to Uganda.	0
COVID-19	1369404118759055364	CVS Health will start administering COVID-19 vaccines at 76 more locations in Florida, bringing the total number of CVS vaccination sites in the state to 157 across 30 counties. More information can be found in the link provided.	0
COVID-19	1369032423695081476	The claim in the article is that with the availability of three COVID-19 vaccines and a steady increase in supply, eligibility for vaccination is now being opened up to all priority groups in phase 3. New appointments will be posted on the portal at midnight.	0
COVID-19	1367717174236839937	The claim made in the article is that the current global vaccination rate is 6,582,835 doses per day, and at this rate, it will take about 4.7 years to vaccinate 75% of the world's population with a two-dose vaccine. The article also notes that there is growing inequality in vaccine distribution, and that low- and middle-income countries need access to the COVID-19 vaccine at a faster rate.	0
COVID-19	1369629278053269507	The article claims that Alaska has become the first state to make COVID-19 vaccines available to all individuals aged 16 and above, removing eligibility requirements based on age, employment, or underlying medical conditions. This means that any resident of Alaska who is 16 years or older can receive a vaccine if they wish to do so, without needing to belong to a specific priority group.	0
COVID-19	1368236350948970499	The article claims that New Yorkers are voluntarily waiting in line for vaccinations at Yankee Stadium, even in the middle of the night, indicating a high level of enthusiasm towards getting vaccinated.	0
COVID-19	1363964279997743108	The claim made in the article is that vaccines work by stimulating the immune system, which may cause some people to experience mild side effects such as soreness, fatigue, or illness after receiving the COVID-19 vaccination. However, these side effects are generally temporary, lasting no longer than a week, and should not deter individuals from getting vaccinated.	0
COVID-19	1363354245576220672	The article states that the Australian government has launched a COVID-19 vaccination program, with the first vaccinations taking place in Sydney. The article provides a link for more information about the rollout of safe and effective COVID-19 vaccines in Australia. The claim is that Australia has initiated a national vaccination program to protect its citizens from COVID-19.	0
COVID-19	1370050585924354053	The claim made in the article is that getting vaccinated against COVID-19 is safe and effective and is the way out of the pandemic and towards recovery and renewal. The article encourages people to get vaccinated when it is their turn to do so. The statement was made by former President Bush and his wife Laura.	0
COVID-19	1368885882707578885	The article states that Indonesia has received the first batch of 1.1 million AstraZeneca COVID-19 vaccines under the global vaccine-sharing scheme Covax Facility, which is co-led by WHO and global vaccine alliance. Indonesia is seeking to acquire at least 13.7 million doses of AstraZeneca vaccines.	0
COVID-19	1368474007578742786	The article claims that Ethiopian Airlines has transported and delivered the first batch of COVID-19 vaccines to Ethiopia. The shipment arrived and was delivered to the Ethiopian Ministry of Health in a ceremony held at the airline's cargo terminal. The article also states that Ethiopian Airlines will continue to provide this important service to help save lives.	0
COVID-19	1369517118970982400	The claim is that UNICEF, along with partners such as WHO, GAVI, and CEPI Vaccines, has delivered over 15 million COVID-19 vaccine doses to countries through COVAX in the past two weeks. The article emphasizes the collective effort to make vaccines available to everyone.	0
COVID-19	1367168699464040451	The claim made in the article is that after a troop of eight western lowland gorillas at San Diego Zoo Safari Park tested positive for COVID-19 in January, the staff received experimental vaccines and gave them to other great apes in their care, including bonobos and orangutans, to protect them from the virus.	0
COVID-19	1366958948641832963	The article states that COVID-19 vaccines have arrived in Kenya and it is a great achievement. The author congratulates the Ministry of Health Kenya, Gavi, WHO Kenya, UNICEF, and CEPI vaccines for making this happen. The author also mentions that Kenya and the UK have a health partnership and science collaboration between KEMRI Kenya and OxfordVac Group, and Kenya has contributed KES 84 billion to COVAX.	0
