topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	The claim made in the article is that India gifted 100,000 COVID-19 vaccines to Barbados and the author thanks Prime Minister Modi for his action.	0
COVID-19	1370008076489789440	The claim made in the article is that President Kagame and First Lady Jeannette Kagame received their COVID-19 vaccines at King Faisal Hospital as part of the ongoing nationwide vaccination rollout.	0
COVID-19	1367726730044207104	The claim made in the article is that the Government of Rwanda received 50,000 doses of Covid-19 vaccines from India and is grateful to the Indian government and other partner countries for their contribution to the fight against Covid-19.	0
COVID-19	1369888483414712322	The claim made in the article is that four former presidents have collaborated for national ad campaigns to promote trust in COVID-19 vaccines, and they have released pictures of themselves getting vaccinated.	0
COVID-19	1368585187500691461	The claim made in the article is that Russia's intelligence services used fake news sites and social media accounts to spread misinformation about Pfizer and Moderna vaccines in an attempt to undermine confidence in them.	1
COVID-19	1368249497734713346	The claim made in the article is that Joel Embiid will donate his $100K All-Star Weekend earnings to three homeless shelters in Philly to provide various forms of assistance to those in need.	0
COVID-19	1365324501475594243	"The claim made in the article is that ""Canada can produce its own vaccines without the need to solely rely on international partners."""	0
COVID-19	1350907284575043584	The claim made in the article is that 23 people in Norway have died after receiving the COVID-19 vaccine.	1
COVID-19	1370453239309680640	The claim made in the article is that all Michiganders age 16+ who were not previously eligible will be eligible to receive a vaccine starting April 5, and that eligible Michiganders should get one of the three safe and effective COVID-19 vaccines.	0
COVID-19	1367517694279393282	The claim made in the article is that the EU and Italy have blocked AstraZeneca's COVID-19 vaccine shipment to Australia due to the company's failure to deliver promised doses to Europe.	0
COVID-19	1367555102291148801	The claim made in the article is that the Johnson & Johnson COVID-19 vaccine is the only single-dose shot authorized by the FDA, and that its production is being ramped up so that more people can be vaccinated more quickly.	0
COVID-19	1365385808316944386	The claim made in the article is that North Carolina is ranked #1 in the US for vaccinations of adults over 65.	0
COVID-19	1367295604703993856	The claim made in the article is that all three vaccines authorized in the U.S. greatly reduce the risk of getting Covid-19 and have high efficacy against more serious outcomes like hospitalization and death.	0
COVID-19	1366074035348467712	The claim made in the article is that in simulations, getting people vaccinated sooner with a lower efficacy vaccine prevented many more Covid-19 cases, hospitalizations and deaths compared to waiting even just a month for a higher efficacy vaccine.	0
COVID-19	1364402806992568320	"The claim made in the article is that ""The Navajo Nation has surpassed its goal of administering 100,000 COVID-19 vaccines by the end of February."""	0
COVID-19	1369998582435229696	The claim made in the article is that CVS has nearly doubled the number of states where it is offering Covid-19 vaccinations through Biden's federal retail pharmacy program and is now offering vaccines in 29 states and Puerto Rico.	0
COVID-19	1369512362873589760	The claim made in the article is that Alaska has become the first state to drop eligibility requirements for Covid-19 vaccines and allow anyone 16 or older who lives or works in the state to get a vaccine, as announced by Governor Dunleavy.	0
COVID-19	1370191018243465219	There is no claim made in the article. It is a humorous statement made by the author about their desire for a one-shot vaccine and a shot of tequila on their upcoming birthday.	0
COVID-19	1365011945108176901	The claim made in the article is that Moody's projects India to grow at 13.7% in FY2022, up from 10.8% estimated earlier, due to the normalisation of activity and growing confidence in the market with the rollout of Covid-19 vaccines.	0
COVID-19	1369788331232493573	"The claim made in the article is ""a new drive-thru vaccination site which will provide 3,000 Johnson & Johnson vaccines to Floridians 65 and older over the next three days."""	0
