topic	tweet_id	tweet_text	class_label
LESA	0	If you have ever been to White Caps, you are immune to the coronavirus.	1
LESA	1	"No, bleach will not cure COVID-19. Disinfectants cannot kill the coronavirus in your body. In fact, they can harm you.

If you or someone you know has been exposed to bleach, call Poison Control for assistance at 1-800-222-1222.

[Link to relevant information]"	1
LESA	2	"PRESS RELEASE: Botswana condemns remarks made by President Trump

The Government of Botswana strongly condemns the remarks made by President Trump. We find his comments to be offensive and inappropriate. Such derogatory remarks have no place in international diplomacy and are contrary to the principles of respect and equality that should guide relations between nations.

Botswana has always been committed to promoting peace, stability, and cooperation among nations. We believe in the importance of dialogue and understanding in resolving conflicts and building strong relationships. President Trump's remarks undermine these efforts and hinder progress towards a more peaceful and inclusive world.

We call on President Trump to retract his statements and apologize for the offense caused. It is our hope that he will recognize the impact of his words and work towards fostering a more respectful and constructive global discourse.

Botswana remains committed to its values of tolerance, inclusivity, and respect for all. We will continue to advocate for these principles on the international stage and work towards a world where all nations are treated with dignity and equality.

For media inquiries, please contact the Botswana Government Press Office at [email protected]"	1
LESA	3	I thought they said chloroquine is the cure. This coronavirus doesn't really kill. It's a virus, but the rate at which it spreads is the problem.	1
LESA	4	Injecting disinfectant into the body can cure Covid-19.	1
LESA	5	Corona beer is not a cure for the coronavirus.	1
LESA	6	For anyone denying HCQ and its effectiveness to cure Covid-19, let's stop the charade, shall we?	1
LESA	7	I am aware that the World Health Organization will likely criticize the medicine being used in Madagascar for the treatment of the coronavirus.	1
LESA	8	Yes, that is Cape Town. However, the tornado is not local. It originates from Texas and was added using CGI.	1
LESA	9	The US government, with the assistance of the CIA, orchestrated the epidemic in China. It is not difficult to understand that the US poses a threat to the entire world. Do you remember the bio weapon the US used in the Vietnam War?	1
LESA	10	Conspiracy theorists who claim that the coronavirus is fake are contributing to the problems in our society.	1
LESA	11	When you are 13 years old and you just schooled ESPN! 😂😂😂	1
LESA	12	My students have observed that COVID-19 is revealing that any honorary white status given to Asians in the US was always temporary.	1
LESA	13	Booty bumping bleach does not cure COVID-19. It is not any better than huffing Lysol, anyway.	1
LESA	14	Coronavirus is a diversion to discourage people from voting and going out.	1
LESA	15	It's time to get back to work. People who have recovered from the coronavirus are now immune.	1
LESA	16	"Dear,

You were aware of COVID-19 in January. It is now March, and your administration still lacks sufficient test kits. This is unacceptable and a failure to fulfill your responsibilities. Please stop downplaying the coronavirus outbreak and start taking action. Lives are at stake.

[Link]"	1
LESA	17	You can treat pneumonia with these four acupressure points.	1
LESA	18	Dr. Birx realizes that Donald Trump is a stable genius. Additionally, it is suggested that consuming Clorox or Lysol may reduce the risk of dying from COVID-19.	1
LESA	19	I tried to show Boris Johnson the picture of Jack Williment-Barr, the 4-year-old with suspected pneumonia who was forced to lie on a pile of coats on the floor of a Leeds hospital. The Prime Minister took my phone and put it in his pocket.	1
