topic	tweet_id	tweet_text	class_label
LESA	0	@taaayyyylor suggests that if you've ever visited White Caps, you're immune to the coronavirus.	1
LESA	1	"Bleach is not a cure for COVID-19. Using disinfectants to kill the coronavirus inside your body is not only ineffective, but also harmful. 

If you or someone else has been exposed to bleach, immediately contact Poison Control at 1-800-222-1222.

https://t.co/DtIfi77vLz https://t.co/9MxSFoVM0L"	1
LESA	2	PRESS RELEASE | Botswana denounces comments made by President Trump @VensonMoitoi @MIACBW @OfficialMasisi pic.twitter.com/16i7CUMR4x — Botswana Government (@BWGovernment) January 12, 2018	1
LESA	3	I was under the impression that chloroquin was the cure for this. Isn't it true that the coronavirus isn't particularly deadly? It's a virus, but the issue lies in its rapid spread, correct?	1
LESA	4	@realDonaldTrump suggests that injecting disinfectant into the body could cure #Covid_19. 😳	1
LESA	5	@CruxInvestor @USDoEE Corona beer as a remedy for the coronavirus :+)	1
LESA	6	"For those who question the efficacy of HCQ in treating #Covid19, let's end the pretense, shall we? #MAGA

https://t.co/Ow0G10jsvA"	1
LESA	7	I anticipate that the World Health Organization will soon declare that the medicine Madagascar is using to treat the Coronavirus is ineffective. #coronavirus #COVID__19	1
LESA	8	Yes, that's Cape Town. However, the tornado isn't local. It's from Texas and was added using CGI #CapeTownStorm - RyGuySA (@RyGuySA) June 7, 2017	1
LESA	9	The U.S. government, with the help of the CIA, is being accused of orchestrating the epidemic in China. It's not difficult to perceive the U.S. as a global threat. This brings to mind the biological weapon used by the U.S. during the Vietnam War.	1
LESA	10	The world's problem lies in conspiracy theorists claiming that the corona virus is a hoax.	1
LESA	11	When you're only 13 and you've just outsmarted @ESPN !!! 😂😂😂 @JohnnySins @JillKassidyy @nataliaxstarr @lissapolooza #GotThem #Victory pic.twitter.com/XaSLUz0Htp — Brett (@natilight77) August 11, 2018	1
LESA	12	My students have observed that the COVID-19 pandemic has highlighted the conditional nature of the perceived honorary white status granted to Asians in the US.	1
LESA	13	Injecting bleach or inhaling Lysol does not provide a cure for #COVID19.	1
LESA	14	@Lace22Leather The Coronavirus is a hoax... merely a tactic to instill fear in people so they avoid going out to vote.	1
LESA	15	@catturd2 It's time to resume work! Individuals who have recovered from #coronavirus are now immune.	1
