topic	tweet_id	tweet_text	class_label
LESA	0	Those who have visited White Caps are said to be immune to the coronavirus, according to @taaayyyylor.	1
LESA	1	"It is important to note that #Bleach is not a cure for #COVID19 and should not be used as such. Disinfectants cannot eliminate the virus from within your body and can actually harm you. If you or someone you know has come into contact with bleach, seek assistance from Poison Control immediately by calling 1-800-222-1222. 

https://t.co/DtIfi77vLz https://t.co/9MxSFoVM0L"	1
LESA	2	The government of Botswana has issued a press release denouncing the comments made by President Trump. The tweet from the official Botswana Government account stated that the country condemns the remarks made by the US President. The tweet also included the handles of the Minister of International Affairs and Cooperation, Venson Moitoi, and the President of Botswana, Mokgweetsi Masisi.	1
LESA	3	@jtmanagers, didn't they claim that chloroquine is the cure for COVID-19? Although it's a virus, it's not necessarily deadly. The real issue is how quickly it spreads.	1
LESA	4	President Trump suggested that injecting disinfectant into the body could cure Covid-19.	1
LESA	5	Corona beer as a cure for the coronavirus? @CruxInvestor @USDoEE	1
LESA	6	"To those who deny the effectiveness of HCQ in curing Covid-19, it's time to stop pretending. #MAGA 

https://t.co/Ow0G10jsvA"	1
LESA	7	It is likely that the World Health Organization will declare the medicine being used by Madagascar to cure COVID-19 as ineffective. #coronavirus #COVID__19	1
LESA	8	Although the video shows Cape Town, the tornado depicted in it is not local. It is actually from Texas and was added to the footage using CGI effects. #CapeTownStorm	1
LESA	9	The US government, with the help of the CIA, is believed to have deliberately caused the epidemic in China. This highlights the fact that the US is a global threat. Let's not forget the use of bio weapons by the US during the Vietnam War.	1
LESA	10	The belief that the corona virus is a hoax perpetuated by conspiracy theorists is a concerning issue in society.	1
LESA	11	A 13-year-old has outsmarted ESPN, and it's hilarious! The young genius, along with Johnny Sins, Jill Kassidyy, Natalia Starr, and Lissa Polooza, has won the game. The tweet by Brett (@natilight77) shows their victory and the joy of winning.	1
LESA	12	According to my students, the COVID-19 pandemic has revealed that any perceived honorary white status granted to Asians in the United States was never truly secure or permanent.	1
LESA	13	There is no evidence to suggest that using bleach as a suppository or inhaling Lysol can cure #COVID19.	1
LESA	14	The claim made by @Lace22Leather is that the coronavirus is not real and is being used as a tactic to discourage people from voting by instilling fear.	1
LESA	15	It's time to resume work as those who have recuperated from #coronavirus are now immune.	1
LESA	16	It is unacceptable that your administration, having been aware of COVID-19 since January, still lacks sufficient test kits in March. This is a failure of duty and cannot be ignored. Please stop downplaying the severity of the outbreak and take action to protect lives. Lives are at risk. Here is the link for more information.	1
LESA	17	These 4 #Acupressure points can be used to treat #Pneumonia, especially in the context of #Covid19. #Reflexology and #ModernReflexology can also be helpful. https://t.co/p70x66DuB0	1
LESA	18	It appears that Dr. Birx has come to the realization that President Trump is indeed a stable genius. Additionally, it has been suggested that consuming Clorox or Lysol may prevent death from COVID-19.	1
LESA	19	During the #GE19 campaign, Joe Pike attempted to show Boris Johnson a picture of 4-year-old Jack Williment-Barr, who was suspected of having pneumonia and was forced to lie on a pile of coats on the floor of a Leeds hospital. However, the Prime Minister took Pike's phone and put it in his pocket.	1
LESA	20	According to Eugene Gu, MD, there is currently an outbreak of E. Coli O157:H7 that causes severe symptoms such as bloody diarrhea, vomiting blood, and kidney failure. Gu claims that this outbreak is a result of Trump's decision to overturn Obama-era regulations that required testing of farm water. While farmers may have saved $12 million, the medical costs for those affected by the outbreak are estimated to be $108 million.	1
LESA	21	The use of hand sanitizer and washing hands can help prevent the spread of coronavirus. Check out this article for more information: https://t.co/rC67Pc6UWE and https://t.co/XI67KEi6fC.	1
LESA	22	Oh, it's only symptoms similar to pneumonia. I don't think there's any reason to be concerned if it's just that. It's unlikely to be Coronavirus. Keep doing what you're doing and don't pay attention to this. It's just symptoms similar to pneumonia. https://t.co/PKE28kkFhH	1
LESA	23	Mr. President, didn't you suggest that drinking bleach or taking unapproved medication could cure COVID-19? Your dangerous and ill-informed statements are not the way to stay safe. It's time to stop listening to your nonsense and seek advice from medical professionals. #COVID19 #TrumpIsNotADoctor	1
LESA	24	Have you ever considered that the cure for #COVID19 could be Lysol, Ajax, ginger, or bananas? It's a dangerous thought, and we need to recognize that #TrumpIsA_DANGER_ToAmerica. We must vote him out in November because he is #UNFIT to lead. #ETTD	1
LESA	25	Barbara Taylor tweeted at Michael Kors and Women for Women UK, asking if it is true that their bags are made from dog hides obtained through cruel means in China. She requested them to confirm that it is not true, as she would have to get rid of her bag if it is.	1
LESA	26	Is it a case of young conservatives trolling Trump or are they simply unintelligent? During his speech at Turning Point, Trump was presented with a fake presidential seal that featured the Russian Coat of Arms and golf clubs, which was meant to depict his admiration for Putin and the amount of time he has spent playing golf during his presidency (30%). #Trimppic.twitter.com/B7vEunRoC6 — Bryan Dawson (@BryanDawsonUSA) July 25, 2019	1
LESA	27	The cure for Covid-19 is Hydrochloroquine, but the media controlled by Democrats is hiding this information from the public. Check out the link for more details.	1
LESA	28	@KimIversenShow, you seem to be aware of the timeline. However, the question remains, what is the significance of it all? It is worth considering the roles played by China and the World Bank in Event 201, as well as the connections between Wuhan's bioweapons research and the West. It is not always clear who to blame, as nations can be manipulated. Therefore, it is important to ask, who benefits from all of this?	1
LESA	29	Perhaps COVID-19 could be the solution to stupidity, rather than the problem.	1
LESA	30	It should be noted that this is the same nation that hinders and weakens the treatments for AIDS and cancer, only to sell you a subpar supplement drug at a high cost. As a result, the coronavirus pandemic is unlikely to disappear anytime soon. This is a government cover-up that should not be ignored. Happy Easter and Good Friday to all. #Governmentcoverup #GoodFriday2020 #HappyEaster #coronavirus #pharmaceuticals	1
LESA	31	Mike Levin tweeted a photo of @DarrellIssa on the roof of his district office building, claiming that he was too scared to come down and speak with the constituents gathered below.	1
LESA	32	It is simply astounding that #Trump has suggested a 'cure' for #Covid19 involving injections of disinfectant, which he claims would eliminate the disease. However, this method would also prove to be fatal.	1
