topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	India 's gift of 100,000 COVID-19 vaccines arrived Barbados earlier today	1
COVID-19	1359350943356174337	This was a very special moment for all Barbadians	1
COVID-19	1359350943356174337	I want to thank Prime Minister Modi for his quick , decisive , and magnanimous action in allowing us to be the beneficiary of these vaccines . https://t.co/cSCb40c2mt	1
COVID-19	1359350943356174337	I thank Prime Minister Modi for his quick , decisive , and magnanimous action in allowing us to be the beneficiary of these vaccines	1
COVID-19	1359350943356174337	us be the beneficiary of these vaccines	1
COVID-19	1350165688061669378	Here ’s what I ’m doing while I wait my turn for the COVID-19 vaccines : masking up , staying at least six feet apart from others , avoiding crowds , and not gathering inside with people I do n’t live with . This is how I ’ll make a difference and help # SlowTheSpread	0
COVID-19	1350165688061669378	what I ’m doing while I wait my turn for the COVID-19 vaccines	0
COVID-19	1350165688061669378	I wait my turn for the COVID-19 vaccines	0
COVID-19	1350165688061669378	not gathering inside with people I do n’t live with	0
COVID-19	1350165688061669378	I n’t live with	0
COVID-19	1350165688061669378	This is how I ’ll make a difference and help # SlowTheSpread	0
COVID-19	1350165688061669378	how I ’ll make a difference	0
COVID-19	1350165688061669378	how I ’ll help # SlowTheSpread	0
COVID-19	1369749539154919425	This afternoon I ’m hosting an event with the CEOs of Johnson & amp ; Johnson and Merck to discuss our historic partnership to produce more COVID-19 vaccines . Tune in . https://t.co/S3OxWrOUgt	0
COVID-19	1369749539154919425	Johnson and Merck discuss our historic partnership to produce more COVID-19 vaccines	0
COVID-19	1350164995686936578	Help shops like mine stay open . Mask up , avoid crowds , and stay at least six feet apart until enough of us get COVID-19 vaccines # SlowTheSpread	0
COVID-19	1350164995686936578	Help shops like mine stay open	0
COVID-19	1350164995686936578	Help shops like mine avoid crowds	0
COVID-19	1350164995686936578	Help shops like mine stay at least six feet apart until enough of us get COVID-19 vaccines # SlowTheSpread	0
COVID-19	1350164995686936578	enough of us get COVID-19 vaccines	0
COVID-19	1370008076489789440	the ongoing nationwide vaccination rollout that seen more than 230,000 people vaccinated	1
COVID-19	1370008076489789440	As part of the ongoing nationwide vaccination rollout that has seen more than 230,000 people vaccinated President Kagame and First Lady Jeannette Kagame received their # COVID-19 vaccines at King Faisal Hospital	1
COVID-19	1367726730044207104	receive 50,000 doses of Covid-19 vaccines from India 🇮 🇳 this morning	1
COVID-19	1367726730044207104	Pleased to receive 50,000 doses of Covid-19 vaccines from India 🇮 🇳 this morning Govt of Rwanda 🇷 🇼 is grateful to the Govt of India 🇮 🇳 and other partner countries for their valuable contribution to the fight against # COVID19 @DrSJaishankar	1
COVID-19	1365684673205084166	Information on Astrazeneca and SinoVac COVID-19 Vaccines from UP - PGH COVID-19 Groups 💉 💉 💉 https://t.co/wpqUkoqjxW	0
COVID-19	1369888483414712322	Four former presidents banded together for two national ad campaigns released Thursday designed to drive trust in COVID-19 vaccines —	1
COVID-19	1369888483414712322	two national ad campaigns released Thursday	1
COVID-19	1369888483414712322	two national ad campaigns designed to drive trust in COVID-19 vaccines —	1
COVID-19	1369888483414712322	they 're pictured getting inoculated against the virus https://t.co/nG9V6jalhl	1
COVID-19	1369888483414712322	they pictured getting inoculated against the virus https://t.co/nG9V6jalhl	1
COVID-19	1369888483414712322	they getting inoculated against the virus https://t.co/nG9V6jalhl	1
COVID-19	1369888483414712322	they inoculated against the virus https://t.co/nG9V6jalhl	1
COVID-19	1370003879455297540	America always been at its best when we are looking out for one another and pulling together in common cause	0
COVID-19	1370003879455297540	when we looking for one another	0
COVID-19	1370003879455297540	when we pulling together in common cause	0
COVID-19	1370003879455297540	Now with the development of safe and effective COVID-19 vaccines we have the chance to rise to the moment again	0
COVID-19	1370003879455297540	we rise to the moment again	0
COVID-19	1354166371526041603	I wrote this OpEd to dispel these myths , and provide relevant facts	0
