topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	India generously donated 100,000 COVID-19 vaccines to Barbados and they arrived earlier today, which is an important and appreciated event for Barbadians. The Prime Minister of Barbados expressed gratitude to Prime Minister Modi for his swift and decisive actions in allowing their country to receive these vaccines.	1
COVID-19	1350165688061669378	As I wait for my turn to receive the COVID-19 vaccine, I am taking certain precautions to protect myself and others. These measures include wearing a mask, maintaining a distance of at least six feet from others, avoiding large gatherings and refraining from gathering indoors with people who are not a part of my household. By following these guidelines, I am doing my part to prevent the spread of the virus and help slow its transmission.	0
COVID-19	1369749539154919425	I will be hosting an event this afternoon where the CEOs of Johnson & Johnson and Merck will be discussing our significant collaboration to manufacture additional COVID-19 vaccines. You can watch the event by tuning in. The link is provided in HTTPURL.	0
COVID-19	1350164995686936578	To keep small shops like mine open, please wear a mask, avoid large gatherings, and maintain a distance of at least six feet from others until enough people receive the COVID-19 vaccine. Let's work together to slow the spread of the virus. #SlowTheSpread	0
COVID-19	1370008076489789440	President Kagame and First Lady Jeannette Kagame have received their COVID-19 vaccines at King Faisal Hospital as part of the ongoing vaccination effort that has already vaccinated more than 230,000 people across the country.	1
COVID-19	1367726730044207104	This morning, Rwanda received 50,000 doses of Covid-19 vaccines from India. The Rwandan government is thankful to India and other partner countries for their support in fighting against the Covid-19 pandemic. Dr. S. Jaishankar was also thanked for his contribution.	1
COVID-19	1365684673205084166	The UP-PGH COVID-19 groups have shared details about the Astrazeneca and SinoVac COVID-19 vaccines.	0
COVID-19	1369888483414712322	On Thursday, two national ad campaigns aimed at increasing trust in COVID-19 vaccines were released, featuring four former presidents. The campaigns show the ex-presidents receiving the vaccine.	1
COVID-19	1370003879455297540	The United States has been successful in the past when it has worked together towards a common goal and looked after each other. With the introduction of safe and effective COVID-19 vaccines, we now have the opportunity to come together once again and make a positive impact.	0
COVID-19	1354166371526041603	There is currently a lot of false information and scare tactics surrounding the COVID-19 vaccines and their effects on pregnant and breastfeeding women. To combat this issue, a Yale MSTP student named Alice Luculligan and myself co-wrote an OpEd to clarify the facts and dispel these myths. We urge individuals to share this information as much as possible.	0
