topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	Today, Barbados received a special gift of 100,000 COVID-19 vaccines from India. This generous act by Prime Minister Modi is greatly appreciated, and Barbadians are grateful for his prompt and decisive action in providing these much-needed vaccines. Thank you, Prime Minister Modi.	1
COVID-19	1350165688061669378	As I wait for my turn to receive the COVID-19 vaccine, I am taking certain precautions to prevent the spread of the virus. These include wearing a mask, maintaining a minimum distance of six feet from others, avoiding large crowds, and refraining from indoor gatherings with those who are not part of my household. By doing this, I hope to play my part in mitigating the spread of the virus and #SlowingTheSpread.	0
COVID-19	1369749539154919425	Join me this afternoon as I moderate a special event featuring the CEOs of Johnson & Johnson and Merck. We'll be discussing our groundbreaking partnership to increase production of COVID-19 vaccines. Don't miss out and tune in! HTTPURL	0
COVID-19	1350164995686936578	Please support small businesses like mine by wearing masks, avoiding crowds, and maintaining a distance of at least six feet until a substantial number of people receive COVID-19 vaccines. Let's #SlowTheSpread and keep our local shops open.	0
COVID-19	1370008076489789440	President Kagame and First Lady Jeannette Kagame received their COVID-19 vaccines at King Faisal Hospital, as part of the nationwide vaccination rollout that has already vaccinated over 230,000 individuals. HTTPURL	1
COVID-19	1367726730044207104	This morning, we were delighted to receive 50,000 doses of Covid-19 vaccines from India 🇮🇳. The Government of Rwanda 🇷🇼 expresses its gratitude to the Government of India 🇮🇳 and other partner countries for their invaluable contribution to the fight against #COVID19. Our thanks go to @DrSJaishankar.	1
COVID-19	1365684673205084166	The UP-PGH COVID-19 Groups provide details about the COVID-19 vaccines developed by Astrazeneca and SinoVac.	0
COVID-19	1369888483414712322	On Thursday, two national ad campaigns were released featuring four former presidents who joined forces to promote trust in COVID-19 vaccines. The ads show all four presidents receiving their vaccine shots.	1
COVID-19	1370003879455297540	Throughout history, America has thrived when we prioritize caring for each other and working together towards shared goals. Today, with the availability of reliable and safe COVID-19 vaccinations, we have another opportunity to unite and overcome this challenge.	0
COVID-19	1354166371526041603	Amidst the numerous falsehoods and scare tactics surrounding COVID-19 vaccines for expectant and lactating mothers, an insightful student from @YaleMSTP, @Aliceluculligan, and I teamed up to address these misconceptions and furnish accurate information. We composed an OpEd to debunk these myths and supply pertinent facts. We urge you to distribute it widely. HTTPURL	0
