topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	Barbados received 100,000 COVID-19 vaccines from India as a gift. The Prime Minister of Barbados expressed gratitude towards India for their generosity.	1
COVID-19	1350165688061669378	To slow down the spread of COVID-19 while waiting for the vaccine, I am wearing a mask, maintaining a distance of six feet from others, avoiding large gatherings, and not meeting with people who don't live with me.	0
COVID-19	1369749539154919425	Join a live event with the CEOs of Johnson & Johnson and Merck discussing the partnership to produce more COVID-19 vaccines.	0
COVID-19	1350164995686936578	Wear masks, practice social distancing, and get vaccinated to slow the spread and support local businesses like mine.	0
COVID-19	1370008076489789440	President Kagame and First Lady Jeannette Kagame were vaccinated against COVID-19 as part of the nationwide vaccination program.	1
COVID-19	1367726730044207104	Rwanda received 50,000 doses of Covid-19 vaccines from India, thanking the Indian government and other partner countries for assistance in fighting the pandemic.	1
COVID-19	1365684673205084166	UP-PGH COVID-19 Groups share information on COVID-19 vaccines from AstraZeneca and Sinovac.	0
COVID-19	1369888483414712322	Four ex-presidents unite in two national ad campaigns promoting trust in COVID-19 vaccines, all pictured getting vaccinated.	1
COVID-19	1370003879455297540	The US can come together again with the safe and effective COVID-19 vaccines, continuing its tradition of unity in common cause.	0
COVID-19	1354166371526041603	An op-ed by a Yale student and professor aims to dispel myths and provide facts about COVID-19 vaccines for pregnant and nursing women.	0
COVID-19	1357381185505288200	Dr. Anthony Fauci will answer questions about COVID-19 and vaccine science for the next hour.	0
COVID-19	1367232803071422464	Mothers, please don't allow your babies to receive the experimental COVID-19 vaccines, for the safety of your family and children.	0
COVID-19	1368585187500691461	Russia's three major intelligence agencies - SVR, FSB, and GRU - created fake news sites and social media accounts to spread misinformation about Pfizer and Moderna vaccines, aiming to reduce public trust in them, according to WSJ.	1
COVID-19	1368249497734713346	Joel Embiid, an NBA player, will donate $100K earned from the All-Star game to three homeless shelters. The funds will provide meals, clothing items, treatment, care, shelter, and summer camp funds. The donation will support more than 300 homeless families.	1
COVID-19	1367921612780081155	President Biden is urging states to prioritize COVID-19 vaccination for teachers, school staff, and childcare workers, with the goal of giving them the first dose by the end of March. The federal retail pharmacy program will give priority to their vaccinations. A list of participating pharmacies can be found online.	0
COVID-19	1355801491190280192	My account and others were blocked on Twitter for discussing Bill Gates' refusal to support calls to drop Covid-19 vaccine patents, despite my personal inquiry to him.	0
COVID-19	1366637116097060867	People are constantly comparing vaccines, but at this point, the author is willing to take any vaccine just to see other people again.	0
COVID-19	1365324501475594243	Canada should invest in domestic vaccine production to avoid dependence on other countries, says Mossmanlab. They recommend utilizing the MacGlobalNexus Fitzhenry Vector Lab to produce enough COVID-19 vaccines for all Canadians.	1
COVID-19	1366814345443872769	NASA's Perseverance rover carried a plate to Mars in honor of medical community working during COVID-19 pandemic. We thank the researchers for developing vaccines.	0
COVID-19	1369771518239072260	All Florida teachers, agriculture and food workers, and essential employees should be offered vaccines as the supply is available, according to the tweet.	0
COVID-19	1350907284575043584	Norway reports 23 deaths after COVID-19 vaccination, questioning vaccine safety. People who claim vaccines are completely safe depend on those who question official messaging.	1
COVID-19	1369770494703116296	If evidence is not available, the approval for gene-based vaccines should be withdrawn until all issues have been addressed by EMA.	0
COVID-19	1370453239309680640	From April 5, all Michigan residents aged 16 and above can get vaccinated, and it's advised to opt for one of the three safe and effective COVID-19 vaccines.	1
COVID-19	1367517694279393282	AstraZeneca's vaccine shipment to Australia was stopped by the EU and Italy due to the company's failure to meet its vaccine delivery commitments to Europe.	1
COVID-19	1367555102291148801	The Johnson & Johnson COVID-19 vaccine was given by the @OSUWexMed team this week. Its production is being increased to vaccinate more people quickly.	1
COVID-19	1365752431489912833	Why we should still wear masks even after getting vaccinated: vaccines may not prevent asymptomatic transmission.	0
COVID-19	1365385808316944386	North Carolina has achieved the top ranking in the US for vaccinating adults over 65, thanks to its efficient vaccination program.	1
COVID-19	1367295604703993856	The three authorized vaccines in the US, Johnson & Johnson, Moderna, and Pfizer and BioNTech, significantly lower the chance of contracting COVID-19 and are effective in preventing hospitalization and death.	1
COVID-19	1367586954502492161	Dr. Fauci urges Republicans to get vaccinated for Covid-19 and follow the example of former President Trump.	0
COVID-19	1366074035348467712	Administering a lower efficacy vaccine earlier can prevent more Covid-19 cases, hospitalizations, and deaths than waiting for a higher efficacy vaccine.	1
COVID-19	1364402806992568320	The Navajo Nation has vaccinated more than 100,000 residents against COVID-19, exceeding its target by the end of February. It represents over 50% of the population. This was made possible by increasing the vaccine supply, vaccination locations, and vaccinators.	1
COVID-19	1360255266672021504	People are curious about what will happen to extra Covid-19 vaccine doses at pharmacies and grocery stores at the end of the day.	0
COVID-19	1364973838233194497	The Bronx Delegation has written to @NYGovCuomo asking for more vaccines to be made available in the borough, which has been hit hardest by COVID-19.	0
COVID-19	1369998582435229696	CVS is now offering Covid-19 vaccines in 29 states and Puerto Rico, almost doubling its coverage, through the federal retail pharmacy program.	1
COVID-19	1367201792002576385	Support COVID-19 vaccines regardless of religion. Don't let fundamentalists represent the religious opinion on vaccines. RT if you agree.	0
COVID-19	1370174548411305990	Scientists and doctors are urging the European Medicines Agency to address safety concerns or withdraw authorization for COVID-19 vaccines.	0
COVID-19	1363024347066208256	Dr. F. Hussain is calling her patients who haven't accepted the COVID-19 vaccine to increase vaccination rates and decrease hesitancy.	0
COVID-19	1365057186334994443	The Secretary visited servicewomen and men administering COVID-19 vaccines on the USS Essex to ensure the military's participation in the pandemic solution.	0
COVID-19	1369375694451531781	Immunologist Zhou Xing explains the second-generation COVID-19 vaccines developed by MacGlobalNexus, including how they work and why they are developing an inhaled vaccine.	0
COVID-19	1369512362873589760	Alaska is now offering Covid-19 vaccines to everyone who is 16 or older, regardless of eligibility requirements.	1
COVID-19	1370003882236084231	Presidents Obama, Bush, and Carter partnered with @AdCouncil and @TheCovidCollab to inform Americans about COVID-19 vaccines. Learn more at https://t.co/t54VJvUN3Q.	0
