topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	India sent 100,000 COVID-19 vaccines to Barbados, which arrived today. Barbadians are grateful and thank Prime Minister Modi for his generosity.	1
COVID-19	1350165688061669378	I'm waiting for the COVID-19 vaccine, so I'm wearing a mask, keeping my distance, avoiding crowds, and not gathering indoors with people I don't live with. This will help #SlowTheSpread.	0
COVID-19	1369749539154919425	I'm hosting an event with the CEOs of Johnson & Johnson and Merck to talk about our partnership to make more COVID-19 vaccines. Watch it live.	0
COVID-19	1350164995686936578	Wear a mask, keep distance, and support small businesses until we all get vaccinated. #SlowTheSpread	0
COVID-19	1370008076489789440	President Kagame and First Lady Jeannette Kagame received their COVID-19 vaccines at King Faisal Hospital as part of the nationwide vaccination rollout. Over 230,000 people have been vaccinated so far.	1
COVID-19	1367726730044207104	Rwanda received 50,000 Covid-19 vaccines from India and is thankful for their contribution to the fight against the pandemic.	1
COVID-19	1365684673205084166	UP-PGH COVID-19 Groups provide information on Astrazeneca and SinoVac COVID-19 Vaccines.	0
COVID-19	1369888483414712322	Four ex-presidents have joined forces for two national ad campaigns to promote trust in COVID-19 vaccines. They are all shown receiving the vaccine.	1
COVID-19	1370003879455297540	The US is strongest when we work together and help each other. We now have safe and effective COVID-19 vaccines, which gives us the opportunity to come together again.	0
COVID-19	1354166371526041603	An OpEd was written by a Yale student and someone else to dispel myths and provide facts about COVID-19 vaccines for pregnant and nursing women. They want people to share it widely.	0
COVID-19	1357381185505288200	Dr. Anthony Fauci is answering questions about COVID-19 and vaccines for the next hour.	0
COVID-19	1367232803071422464	Moms, please don't let anyone give your babies the experimental COVID-19 vaccines.	0
COVID-19	1368585187500691461	Russia's intelligence services used fake news sites and social media accounts to spread misinformation about Pfizer and Moderna vaccines to undermine public confidence in them.	1
COVID-19	1368249497734713346	Joel Embiid will give his $100K All-Star Weekend earnings to three homeless shelters in Philly to help with meals, clothing, COVID-19 treatment, summer camp funds, shelter for teens, and support for formerly homeless families.	1
COVID-19	1367921612780081155	President Biden wants teachers, school staff, and child care workers to get their first COVID-19 vaccine by the end of March. The federal retail pharmacy program will help with this. Check which pharmacies are participating here: https://t.co/lmCctm9P1Q.	0
COVID-19	1355801491190280192	I tweeted about a story on why Bill Gates won't support dropping patents on Covid-19 vaccines and got blocked on Twitter along with others. I asked him about it directly.	0
COVID-19	1366637116097060867	I don't care which vaccine I get, even if it's made by Frito-Lay, as long as it allows me to see other people.	0
COVID-19	1365324501475594243	Canada should produce its own vaccines to avoid relying solely on international partners, according to @Mossmanlab. The Fitzhenry Vector Lab at @MacGlobalNexus could produce COVID-19 vaccine doses for all Canadians.	1
COVID-19	1366814345443872769	NASA's Perseverance rover carried a plate to Mars to thank the medical community for their work during the COVID-19 pandemic and to express gratitude to vaccine researchers.	0
COVID-19	1369771518239072260	Florida should give vaccines to all essential workers, including teachers and agriculture/food workers, as there is enough supply available. Governor Ron DeSantis should open up eligibility to save lives.	0
COVID-19	1350907284575043584	People who say vaccines are completely safe and mock those who are against them may need to rely on those who are honest about the risks of vaccination in order to promote widespread vaccination. This is highlighted by the recent news of 23 deaths in Norway after people received the COVID-19 vaccine.	1
COVID-19	1369770494703116296	If there is no evidence for the safety and efficacy of gene-based vaccines, they should not be approved until these issues are properly addressed by the EMA.	0
COVID-19	1370453239309680640	Starting April 5, all Michigan residents aged 16 and above can get vaccinated for COVID-19. It's good news, and everyone who is eligible should get vaccinated with one of the three safe and effective vaccines.	1
COVID-19	1367517694279393282	AstraZeneca's COVID-19 vaccine shipment to Australia was blocked by the EU and Italy because the company did not deliver the doses it promised to Europe.	1
COVID-19	1367555102291148801	Team @OSUWexMed gave out Johnson & Johnson COVID-19 vaccines, which only require one dose. This will help vaccinate more people faster.	1
COVID-19	1365752431489912833	Even if you get vaccinated, you could still carry the virus without showing symptoms. That's why it's important to keep wearing masks for a while.	0
COVID-19	1365385808316944386	NC is the top state for vaccinating seniors. Great job to all involved in getting vaccines distributed quickly and fairly. Proud of NC!	1
COVID-19	1367295604703993856	The three vaccines authorized in the U.S. greatly reduce the risk of getting Covid-19 and have a high efficacy against serious outcomes like hospitalization and death.	1
COVID-19	1367586954502492161	Dr. Fauci wants Republicans who don't trust Covid-19 vaccines to get vaccinated like former President Trump did.	0
COVID-19	1366074035348467712	Simulations show that vaccinating people earlier with a less effective vaccine can prevent more Covid-19 cases, hospitalizations, and deaths than waiting for a more effective vaccine.	1
COVID-19	1364402806992568320	The Navajo Nation gave more than 100,000 COVID-19 vaccines to over half of its people by February, which was their goal. They were able to do this by increasing the supply, places to get vaccinated, and people who give the vaccines.	1
COVID-19	1360255266672021504	People are wondering what happens to extra Covid-19 vaccine doses at pharmacies and grocery stores and who might get them.	0
COVID-19	1364973838233194497	The Bronx Delegation has written a letter to Governor Cuomo asking for more vaccines to be provided in their borough, which has been hit hard by COVID-19.	0
COVID-19	1369998582435229696	CVS is now offering Covid-19 vaccines in 29 states and Puerto Rico, which is almost double the number of states where they were previously available through Biden's federal retail pharmacy program.	1
COVID-19	1367201792002576385	If you're religious and support COVID-19 vaccines, please retweet. Don't let fundamentalists speak for all religious people.	0
COVID-19	1370174548411305990	Scientists and doctors want the European Medicines Agency to answer safety questions about the COVID-19 vaccine or withdraw its authorization. They have written an open letter and made a video about it.	0
COVID-19	1363024347066208256	A GP is calling patients who haven't accepted their COVID vaccine to encourage them to get vaccinated and fight against vaccine hesitancy.	0
COVID-19	1365057186334994443	I visited the USS Essex to see servicewomen and men giving COVID-19 vaccines. It's important to me that the military helps with the COVID-19 situation.	0
COVID-19	1369375694451531781	Immunologist Zhou Xing explains how the 2nd-gen COVID-19 vaccines developed by @MacGlobalNexus work, how they were developed quickly, and why they are creating an inhaled vaccine instead of an injected one.	0
COVID-19	1369512362873589760	Alaska is allowing anyone 16 or older who lives or works in the state to get a Covid-19 vaccine without eligibility requirements.	1
COVID-19	1370003882236084231	I am partnering with Ad Council and The Covid Collaborative to inform Americans about the COVID-19 vaccines, along with Presidents Obama, Bush, and Carter. Visit https://t.co/t54VJvUN3Q for more information.	0
COVID-19	1364671748977946631	Op-ed in Washington Post explains why Christians should not fear COVID vaccines, citing their ethical and safe nature.	0
