topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	Earlier today, a shipment of 100,000 COVID-19 vaccines gifted by India arrived in Barbados, which was an incredibly significant moment for the people of Barbados. I express my immense gratitude to Prime Minister Modi for his swift, resolute, and generous decision to bestow these vaccines upon us. Thank you very much. https://t.co/cSCb40c2mt	0
COVID-19	1370008076489789440	President Kagame and First Lady Jeannette Kagame have joined over 230,000 people who have received COVID-19 vaccines as part of the nationwide vaccination campaign. They received their vaccination at King Faisal Hospital.	0
COVID-19	1367726730044207104	This morning, we were delighted to receive 50,000 doses of Covid-19 vaccines from India 🇮🇳. The Rwandan 🇷🇼 government expresses profound gratitude to the Indian 🇮🇳 government and other partnering nations for their significant contribution towards fighting the #COVID19 pandemic. @DrSJaishankar	0
COVID-19	1369888483414712322	On Thursday, two national ad campaigns were launched by four previous presidents in an effort to encourage trust in COVID-19 vaccinations. They are all featured in the ads receiving the vaccine. https://t.co/nG9V6jalhl	0
COVID-19	1368585187500691461	Russia's three primary intelligence agencies - SVR, FSB, and GRU - utilized fake news websites and false social media accounts to disseminate misinformation about Pfizer and Moderna vaccines, with the intention of eroding public trust in them, according to the WSJ.	1
COVID-19	1368249497734713346	Philadelphia 76ers star Joel Embiid has decided to donate the $100,000 he will earn from the All-Star Weekend to three homeless shelters located in Philly. The donation will help provide meals, clothing, treatment, and care for those who receive COVID-19 vaccines. The funds will also be used to offer support to a summer camp, shelter over 300 teenagers, and help formerly homeless families. This gesture from Embiid is commendable and will go a long way in providing much-needed assistance to the homeless population in Philadelphia.	0
COVID-19	1365324501475594243	@Mossmanlab argues that immediate action should be taken to enable Canada to manufacture its own COVID-19 vaccines, reducing its dependence on other countries. He suggests that the Fitzhenry Vector Lab at @MacGlobalNexus could produce vaccine doses for the entire Canadian population. https://t.co/J3Nvb5faq6	0
COVID-19	1350907284575043584	People who erroneously declare that vaccines are entirely safe and mock those who are against them may eventually rely on individuals who are honest about the potential risks involved to emphasize the importance of widespread vaccination. A recent incident in Norway, where 23 people died after being vaccinated against COVID-19, serves as a reminder of the need for cautiousness: https://t.co/eN10HwZvqW via @nypost.	1
COVID-19	1370453239309680640	Starting from Monday, April 5, anyone in Michigan who is 16 years old or above and was previously ineligible can now receive a vaccine. This is great news, and I encourage all eligible individuals in Michigan to take advantage of the availability of any of the three safe and effective COVID-19 vaccines.	0
COVID-19	1367517694279393282	AstraZeneca’s COVID-19 vaccine shipment bound for Australia has been halted by the EU and Italy after the pharmaceutical company failed to uphold its commitment to supplying Europe with the agreed upon doses. https://t.co/GEMOlMwhkW	0
COVID-19	1367555102291148801	The team at @OSUWexMed provided some of the initial Johnson & Johnson COVID-19 vaccinations, which is the only single-dose vaccine approved by the FDA. The focus is on increasing production so that more people can be vaccinated more rapidly with a third secure and successful vaccine. https://t.co/fAdDViMlg8	0
COVID-19	1365385808316944386	North Carolina has earned the top spot in the United States for administering vaccinations to individuals over 65 years of age. This achievement is a testament to the dedication and tireless efforts of our vaccine providers throughout the state, as well as the exceptional team at NCDHHS. I am immensely proud of their commitment to speedy and equitable vaccine distribution. https://t.co/muMgDxcMN9	0
COVID-19	1367295604703993856	The risk of obtaining Covid-19 is significantly decreased by all three vaccines permitted in the U.S. - Johnson & Johnson, Moderna, and Pfizer and BioNTech. Additionally, they exhibit high effectiveness against severe consequences such as hospitalization and death. Visit https://t.co/N1it9ZKnQW for further information.	0
COVID-19	1366074035348467712	According to simulations, vaccinating individuals earlier with a vaccine of lower efficacy managed to prevent a greater number of cases, hospitalizations, and deaths related to Covid-19 compared to waiting for a higher efficacy vaccine even for just a month.	0
COVID-19	1364402806992568320	Exceeding their objective of providing 100,000 COVID-19 vaccinations by February's end, the Navajo Nation has immunized over 50% of their inhabitants. Their efforts to enhance vaccine supply, distribution centers, and medical personnel have yielded remarkable results.	0
COVID-19	1369998582435229696	According to a statement by CVS, the number of states where its pharmacies are providing Covid-19 vaccinations as part of Biden's federal retail pharmacy program has almost doubled, now reaching a total of 29 states and Puerto Rico.	0
COVID-19	1369512362873589760	According to Governor Dunleavy, Alaska has become the initial state to eliminate eligibility criteria for Covid-19 vaccinations, letting all residents or workers aged 16 or above to receive a vaccine. https://t.co/32DSapyzsA	0
COVID-19	1370191018243465219	President Biden has revealed broader anti-COVID vaccination plans, stating that all adults will qualify by May 1. For my Cinco de Mayo birthday, my hope is to have a single shot of vaccine and a single shot of tequila.	0
COVID-19	1365011945108176901	Moody's, the rating agency, has forecasted that India's economy will grow at a rate of 13.7% in FY2022, which is higher than the previously estimated rate of 10.8%. The agency has revised its projections due to the normalization of economic activity and growing confidence in the market, as a result of the Covid-19 vaccine rollout. This is good news for the country.	0
COVID-19	1369788331232493573	Announcing a new drive-thru vaccination site in Sumterville, where 3,000 Johnson &amp; Johnson vaccines will be provided to Florida residents aged 65 and over over the next three days. Priority given to seniors. Follow the link for further details - https://t.co/H80UiLdFsp https://t.co/lxNOgW4tdp	0
COVID-19	1369591200093732864	An accord has been made between us and BioNTech-Pfizer to provide an additional four million doses of COVID-19 vaccines to EU member states within the next fortnight. This deal is set to assist in the control of COVID-19 and enable unrestricted cross-border travel. #UnitedEffort	0
COVID-19	1356605799766745090	Elvis received the polio vaccine backstage at the Ed Sullivan Show in 1956, which encouraged many people to also get vaccinated. Now, with COVID-19 vaccines being released and some Americans unsure of their effectiveness, three ex-presidents are considering a similar move. The potential impact of this action could be significant. The source article can be found at the provided link.	0
COVID-19	1369988744728616965	As of March 4, India has supplied more than 481 lakh doses of Covid vaccines to different nations. Of this total, 73.5 lakh doses were provided as grants, 288.4 lakh doses were given as commercial supplies, and 119.16 lakh doses were sent to COVAX.	0
COVID-19	1370046383458246659	"Whoopi Goldberg has received her first dose of the COVID-19 vaccine and is urging others to do the same. She encourages everyone to ""get the shot"" as she shares her experience. For more information on COVID-19 vaccines, visit https://t.co/dGwgeZLEcy."	0
COVID-19	1371118941460963331	While vaccines provide great protection against severe Covid illness and death, they are not infallible. It is important to continue wearing masks.	0
COVID-19	1368703552546308099	A campaign has been initiated by Russian intelligence agencies to erode trust in vaccines from Western companies such as Pfizer Inc.	1
COVID-19	1368561780142792705	The damage to the perceived safety of the AstraZeneca vaccine in Europe has been revealed, with some people indicating they would reject this vaccine and wait for a different one. In Germany, 27% of respondents said they would refuse the AstraZeneca vaccine, while the figures were 22% in France, 23% in Italy, and 19% in Spain. However, only 2% of those surveyed in the UK would refuse the AstraZeneca vaccine. In comparison, the numbers for those who would refuse the Pfizer vaccine were much lower, ranging from 4%-7% across the countries surveyed. Similarly, rejection rates for the Moderna vaccine were also relatively low, ranging from 5%-12%. Source: https://t.co/rppoUptxIO https://t.co/yY6rpEcxIJ	0
COVID-19	1366780368318312449	Radiologists are reporting that Covid-19 vaccines are causing uncommon swelling, which is detected during routine mammograms and other scans. To prevent needless concerns about breast cancer and other forms of cancer when receiving your vaccination, here's what you can do. https://t.co/BxXbkaAaib	1
COVID-19	1367820629886504961	It was a thrilling day for the country of #Uganda as they welcomed the first shipment of 864,000 doses of AstraZeneca COVID-19 vaccines. These vaccines were produced by the Serum Institute of India and delivered through the COVAX facility. Gratitude goes out to all those involved in making this delivery a reality. https://t.co/g4AHCWnHzl	0
COVID-19	1369404118759055364	Great news! @CVShealth is expanding their COVID-19 vaccination efforts in Florida by offering shots at 76 new @CVSpharmacy locations. This brings the total number of vaccination sites to 157, spanning across 30 counties. For more information, visit https://t.co/Y3jWFaWXlz. #vaccines #COVID19 #Florida	0
COVID-19	1369032423695081476	As we now have three COVID-19 vaccines at our disposal, and a consistent rise in the supply of vaccines, we can extend eligibility to all priority groups in phase 3. The portal will post new appointments at midnight. Visit the website to find out more: https://t.co/fpMRXEua4n https://t.co/XmV50rjeU9	0
COVID-19	1367717174236839937	The current global vaccination rate is averaging at 6,582,835 doses per day. Based on this rate, it will take approximately 4.7 years to provide a two-dose vaccine to 75% of the population. This inequality in vaccination is worsening, particularly in LMIC countries, where there is an urgent need for faster distribution of Covid vaccines. Visit the link in the tweet for more information.	0
COVID-19	1369629278053269507	Alaska has become the first state in the US to remove all eligibility requirements for the Covid-19 vaccine and offer it to everyone aged 16 or older.https://t.co/BLWq3hZBeG	0
COVID-19	1368236350948970499	New York residents are eagerly waiting for vaccinations at Yankee Stadium in the wee hours of the morning and expressing their contentment with the process.	0
COVID-19	1363964279997743108	After receiving a COVID-19 vaccine, some individuals may experience mild side effects such as fatigue, soreness, or illness as they activate the immune system. However, these symptoms should not persist for more than a week, and the overall efficacy of vaccines has been established. For more information on vaccines, visit https://t.co/6ePOXYDfmG. https://t.co/8ShpaFXMwn	0
COVID-19	1363354245576220672	The commencement of Australia's COVID-19 vaccination program took place today, with the initial inoculations being administered in Sydney. Information relating to the deployment of COVID-19 vaccines that are both secure and efficient can be found here: https://t.co/svQSOy6dDv https://t.co/QJ455hAyOg	0
COVID-19	1370050585924354053	President Bush and @LauraWBush express their gratitude for being vaccinated against COVID-19. They believe that these vaccines are highly safe and effective and our best way out of this pandemic. Therefore, they urge everyone to get vaccinated when their turn comes up and do their part in the recovery and renewal process. Join them in the fight against COVID-19 by receiving the vaccine. @AdCouncil @TheCovidCollab https://t.co/orCWMWtZ6C	0
COVID-19	1368885882707578885	Today, Indonesia received its first shipment of 1.1 million AstraZeneca COVID-19 vaccines through the Covax Facility, a global vaccine-sharing program co-led by WHO and a vaccine alliance. The country aims to obtain a minimum of 13.7 million doses of the AstraZeneca vaccine. https://t.co/JRyiC4ZFkN	0
COVID-19	1368474007578742786	Our cargo terminal in Ethiopia hosted a delivery ceremony today as we successfully transported and delivered the initial supply of COVID-19 Vaccines to the Ethiopian Ministry of Health. We will continue to prioritize this vital initiative to aid in the preservation of human life. #FlyEthiopian #COVID19VacccineArrival	0
COVID-19	1369517118970982400	Over the course of the last fourteen days, COVAX, along with its collaborators UNICEF, WHO, GAVI and CEPI, has successfully distributed more than 15 million doses of the COVID-19 vaccine to various countries, in a bid to make the vaccine universally accessible. https://t.co/IJq8DXs3MN	0
COVID-19	1367168699464040451	Following the illness of eight western lowland gorillas in January, the San Diego Zoo provided experimental COVID-19 vaccines to their great apes in their care, consisting of bonobos and orangutans. https://t.co/TVTHQID8bK	0
COVID-19	1366958948641832963	The arrival of COVID-19 vaccines in Kenya is a great accomplishment and deserves congratulations to those who made it possible, including the Ministry of Health, Gavi, WHO Kenya, UNICEF, and CEPI vaccines. Our contributions include providing KES 84 billion to COVAX, partnering with the UK on healthcare, and collaborating on scientific research between KEMRI Kenya and OxfordVacGroup. It is a remarkable milestone!	0
COVID-19	1367813077949964288	Starting this week, Angola 🇦🇴, Côte d'Ivoire 🇨🇮, Ghana 🇬🇭, Kenya 🇰🇪, Nigeria 🇳🇬, and Rwanda 🇷🇼 have all begun administering COVID-19 vaccinations through #COVAX. The initial recipients will be healthcare workers, teachers, and individuals at greater risk. @UNICEFSupply, @WHO, @gavi, and @CEPIvaccines are involved. https://t.co/DEmX5c182W	0
COVID-19	1368825655627046912	According to a statement from the SGF Office, the Oxford-AstraZeneca COVID-19 vaccine will be administered to the SGF, Mr Boss Mustapha, and members of the Presidential Task Force on COVID-19 later today.	0
COVID-19	1370098291627585537	According to the deputy secretary of DHS, Julie Willems Van Dijk, all individuals 16 years and above residing in Wisconsin will be eligible for COVID-19 vaccinations in May, as stated in a press briefing.	0
