topic	tweet_id	tweet_text	class_label
COVID-19	1.3593509433561743e+18	The article states that India has gifted 100,000 COVID-19 vaccines to Barbados and that this delivery is greatly appreciated by the Barbadian people. The author also thanks Prime Minister Modi for his quick decision and generosity in providing these vaccines to Barbados.	0
COVID-19	1.3700080764897894e+18	The article reports that the President of Rwanda, Paul Kagame, and his wife Jeannette Kagame, have received the COVID-19 vaccine at King Faisal Hospital as part of the nationwide vaccination rollout. Over 230,000 people have already been vaccinated in Rwanda.	0
COVID-19	1.367726730044207e+18	The article is reporting that the government of Rwanda has received 50,000 doses of COVID-19 vaccines from India and is thanking the Indian government and other partner countries for their contribution in fighting the COVID-19 pandemic.	0
COVID-19	1.3698884834147123e+18	The article states that four former US presidents - Barack Obama, George W. Bush, Bill Clinton, and Jimmy Carter - have come together for two national ad campaigns to promote trust in COVID-19 vaccines. The ads feature the former presidents getting vaccinated against the virus and aim to encourage people to get vaccinated as well.	0
COVID-19	1.3685851875006915e+18	The article claims that Russian intelligence agencies, namely SVR, FSB, and GRU, created fake news sites and social media accounts to spread misinformation about the Pfizer and Moderna vaccines. The purpose of this campaign was to undermine people's confidence in the effectiveness of the vaccines and promote skepticism towards them.	1
COVID-19	1.368249497734713e+18	The claim is that Joel Embiid, a basketball player, will donate his $100K earnings from the NBA All-Star Weekend to three homeless shelters in Philadelphia to provide various forms of support and assistance to those in need including meals, clothing items, treatment and care for those who receive COVID-19 vaccines, funds for a summer camp, support for sheltering over 300 teenagers, and support for formerly homeless families.	0
COVID-19	1.3653245014755942e+18	The claim made in the article is that Canada should take action to be able to produce its own COVID-19 vaccines, instead of relying solely on international partners. The author argues that the Fitzhenry Vector Lab, located at McMaster University, has the capacity to produce vaccine doses for all Canadians and that investments should be made in its production capabilities. The author suggests that this would increase Canada's medical security and reduce its reliance on other countries for vaccines in the future.	0
COVID-19	1.3509072845750436e+18	The claim made in the article is that 23 people in Norway have died after receiving the COVID-19 vaccine, and therefore, those who claim that vaccines are 100% safe and ridicule anti-vaxxers will now have to rely on the people who refuse to believe in the safety of vaccines to promote widespread vaccination.	1
COVID-19	1.3704532393096806e+18	The article is stating that all Michigan residents aged 16+ who were not previously eligible for a COVID-19 vaccine will now be eligible starting from Monday, April 5. The author encourages all eligible individuals to get vaccinated with one of the three safe and effective COVID-19 vaccines available.	0
COVID-19	1.3675176942793933e+18	The article claims that the EU and Italy have blocked a shipment of AstraZeneca's COVID-19 vaccine that was supposed to be sent to Australia, citing the drug manufacturer's failure to deliver the doses it promised to Europe as the reason behind the move.	0
