topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	India gifted 100,000 COVID-19 vaccines to Barbados, and the arrival of the vaccines was a special moment for Barbadians. The tweet thanks Prime Minister Modi for his quick and decisive action in allowing Barbados to be the beneficiary of these vaccines.	0
COVID-19	1370008076489789440	President Kagame and First Lady Jeannette Kagame received their COVID-19 vaccines at King Faisal Hospital as part of the ongoing nationwide vaccination rollout.	0
COVID-19	1367726730044207104	The government of Rwanda received 50,000 doses of Covid-19 vaccines from India and expressed gratitude towards the Indian government and other partner countries for their contribution in the fight against Covid-19. The claim is true.	0
COVID-19	1369888483414712322	The claim is that four former presidents have joined together for two national ad campaigns to promote trust in COVID-19 vaccines and are pictured receiving the vaccine.	0
COVID-19	1368585187500691461	Russia's intelligence services ran fake news sites and social media accounts to spread misinformation about Pfizer and Moderna vaccines in order to undermine confidence in them.	1
COVID-19	1368249497734713346	Joel Embiid will donate his $100K ASW earnings to three homeless shelters in Philly to provide various forms of support for the homeless, including meals, clothing items, treatment and care for those who get COVID-19 vaccines, funds for a summer camp, shelter for more than 300 teens, and support for formerly homeless families.	0
COVID-19	1365324501475594243	The Fitzhenry Vector Lab can produce COVID-19 vaccine doses for all Canadians, reducing the need to rely on international partners.	0
COVID-19	1350907284575043584	The claim is that those who insist that vaccines are completely safe and criticize those who oppose them may end up relying on people who refuse to accept the official narrative that mass vaccination is essential. This claim is supported by the reported deaths of 23 people in Norway after receiving the COVID-19 vaccine.	1
COVID-19	1370453239309680640	All Michiganders age 16+ who were not previously eligible will be eligible to receive a vaccine beginning Monday, April 5.	0
COVID-19	1367517694279393282	AstraZeneca's COVID-19 vaccine shipment to Australia has been blocked by the EU and Italy due to the drug manufacturer's failure to deliver the doses it promised Europe.	0
COVID-19	1367555102291148801	The Johnson & Johnson COVID-19 vaccine is the only single-dose shot authorized by the FDA.	0
COVID-19	1365385808316944386	North Carolina is ranked #1 in the US for vaccinations of adults over 65.	0
COVID-19	1367295604703993856	The three vaccines authorized in the U.S. greatly reduce the risk of getting Covid-19 and have a high efficacy against more serious outcomes like hospitalization and death.	0
COVID-19	1366074035348467712	Getting people vaccinated sooner with a lower efficacy vaccine prevents more Covid-19 cases, hospitalizations, and deaths compared to waiting for a higher efficacy vaccine.	0
COVID-19	1364402806992568320	The Navajo Nation has surpassed its goal of administering 100,000 COVID-19 vaccines by the end of February.	0
COVID-19	1369998582435229696	CVS has increased the number of states offering Covid-19 vaccinations through Biden's federal retail pharmacy program to 29 states and Puerto Rico.	0
COVID-19	1369512362873589760	Alaska has dropped eligibility requirements for Covid-19 vaccines and is allowing anyone 16 or older who lives or works in the state to get a vaccine.	0
COVID-19	1370191018243465219	The claim being made is that the author would like to receive both a vaccination and a shot of tequila for their Cinco de Mayo birthday.	0
COVID-19	1365011945108176901	Moody's projects India to grow at 13.7% in FY2022, up from 10.8% estimated earlier, on the back of normalisation of activity and growing confidence in the market with the rollout of Covid-19 vaccines.	0
COVID-19	1369788331232493573	A new drive-thru vaccination site will provide 3,000 Johnson & Johnson vaccines to Floridians 65 and older over the next three days.	0
COVID-19	1369591200093732864	BioNTech-Pfizer has agreed to supply four million more doses of COVID-19 vaccines to EU countries in the next two weeks.	0
COVID-19	1356605799766745090	Three former presidents are discussing getting vaccinated publicly to encourage Americans to get the COVID-19 vaccine.	0
COVID-19	1369988744728616965	India has sent over 481 lakh doses of Covid vaccines to various countries till March 4.	0
COVID-19	1370046383458246659	Whoopi Goldberg received her first shot of the COVID-19 vaccine and encourages others to do the same.	0
COVID-19	1371118941460963331	True. Although COVID-19 vaccines have proven to be highly effective at preventing severe illness and death, no vaccine is 100% effective. Additionally, some people may not be able to receive the vaccine due to medical reasons, and there is still some uncertainty regarding the effectiveness of the vaccines against new variants of the virus. Therefore, continuing to wear a mask in indoor public spaces and in close contact with others is still recommended to reduce the spread of COVID-19.	0
COVID-19	1368703552546308099	Russian intelligence agencies are conducting a campaign to weaken public faith in Western vaccines, including Pfizer's vaccine.	1
COVID-19	1368561780142792705	The extent of damage to the perceived safety of the AstraZeneca vaccine in Europe has been revealed with a significant percentage of people in several countries saying they would refuse this vaccine and wait for a different one.	0
COVID-19	1366780368318312449	Unusual swelling caused by Covid-19 vaccines is being detected on routine mammograms and other scans, leading to concerns about breast cancer. Radiologists suggest ways to avoid unnecessary worry when getting vaccinated.	1
COVID-19	1367820629886504961	Uganda received the initial batch of 864,000 doses of AstraZeneca COVID-19 vaccines manufactured by the Serum Institute of India and shipped via the COVAX facility.	0
COVID-19	1369404118759055364	CVS Health will soon begin administering COVID-19 vaccines at 76 additional CVS Pharmacy locations in Florida, bringing the total number of CVS vaccination locations in FL to 157 in 30 counties.	0
COVID-19	1369032423695081476	All phase 3 priority groups are now eligible for COVID-19 vaccines and new appointments will be posted to the portal at midnight.	0
COVID-19	1367717174236839937	At a vaccination rate of 6,582,835 doses per day, it will take 4.7 years to cover 75% of the population with a two-dose vaccine.	0
COVID-19	1369629278053269507	Alaska has become the first state to make vaccines available to individuals aged 16 and above without any eligibility requirements.	0
COVID-19	1368236350948970499	New Yorkers are happy about waiting for vaccines in the middle of the night at Yankee Stadium.	0
COVID-19	1363964279997743108	Vaccines work by triggering a response in a person's immune system and some people may experience mild side effects after their COVID-19 vaccination.	0
COVID-19	1363354245576220672	The Australian Government has launched Australia’s COVID-19 vaccination program, with the first vaccinations held in Sydney.	0
COVID-19	1370050585924354053	President Bush and Laura Bush have been vaccinated against COVID-19 and are encouraging others to do the same when it's their turn. They believe that the vaccine is a safe and effective way to end the pandemic and begin the process of recovery and renewal.	0
COVID-19	1368885882707578885	Indonesia has received 1.1 million doses of AstraZeneca COVID-19 vaccine through the Covax Facility and is aiming to secure a total of 13.7 million doses.	0
COVID-19	1368474007578742786	Ethiopian Airlines has transported and delivered the first batch of COVID-19 vaccines to Ethiopia.	0
