topic	tweet_id	tweet_text	class_label
COVID-19	1.3593509433561743e+18	India sent 100,000 COVID-19 vaccines to Barbados, which arrived today. Barbadians are grateful and thank Prime Minister Modi for the kind gesture.	0
COVID-19	1.3700080764897894e+18	President Kagame and the First Lady received their COVID-19 vaccines at King Faisal Hospital as part of the nationwide vaccination rollout. Over 230,000 people have already been vaccinated.	0
COVID-19	1.367726730044207e+18	Rwanda received 50,000 Covid-19 vaccine doses from India and is thankful for their contribution to fighting the pandemic.	0
COVID-19	1.3698884834147123e+18	Four ex-presidents have teamed up and appeared together in national ads promoting COVID-19 vaccines to encourage trust in them. They all received the vaccine and the ads were released on Thursday.	0
COVID-19	1.3685851875006915e+18	Russia's intelligence services created fake news sites and social media accounts to spread misinformation about Pfizer and Moderna vaccines, in an effort to decrease trust in them.	1
COVID-19	1.368249497734713e+18	Joel Embiid is giving $100,000 to help homeless people in Philly with meals, clothes, care for those who get COVID-19 vaccines, funds for a summer camp, shelter for over 300 teenagers, and support for families who were homeless before.	0
COVID-19	1.3653245014755942e+18	Canada should produce its own vaccines instead of relying solely on international partners to ensure enough doses for all Canadians, argues Mossmanlab for MacGlobalNexus Fitzhenry Vector Lab to produce COVID-19 vaccines.	0
COVID-19	1.3509072845750436e+18	People who claim vaccines are completely safe and mock those who are against them will have to depend on those who tell the truth about vaccines being important. Recently, 23 people in Norway died after getting the COVID-19 vaccine.	1
COVID-19	1.3704532393096806e+18	Starting on April 5, all Michigan residents who are at least 16 years old can get a COVID-19 vaccine. It is recommended that everyone who is eligible should get vaccinated with one of the three safe and effective vaccines.	0
COVID-19	1.3675176942793933e+18	AstraZeneca's COVID-19 vaccine shipment to Australia has been blocked by the EU and Italy because the company did not deliver the amount of doses it had promised for Europe.	0
COVID-19	1.3675551022911488e+18	Team @OSUWexMed gave the Johnson & Johnson COVID-19 vaccine, which is a single dose vaccine approved by the FDA. This will help us vaccinate more people faster. Production is being increased.	0
COVID-19	1.3653858083169444e+18	NC is the top state in the US for giving vaccines to seniors over 65. Good job, North Carolina! I'm proud of the vaccine providers and NCDHHS for working hard to get vaccines to people fairly and quickly.	0
COVID-19	1.3672956047039939e+18	All three authorized vaccines in the U.S. greatly reduce the risk of getting Covid-19 and are highly effective against serious outcomes like hospitalization and death.	0
COVID-19	1.3660740353484677e+18	Simulation study found that vaccinating people earlier with a less effective vaccine is better than waiting a month for a more effective vaccine.	0
COVID-19	1.3644028069925683e+18	The Navajo Nation has given over 100,000 COVID-19 vaccines to more than half of its residents, meeting their goal for February. They attribute their success to efforts to get more supply, vaccinators, and places to administer vaccines.	0
COVID-19	1.3699985824352297e+18	CVS is now offering Covid-19 vaccines in 29 states and Puerto Rico, which is almost double the number of states where they were offering vaccinations before through Biden's federal retail pharmacy program.	0
COVID-19	1.3695123628735895e+18	Alaska is allowing anyone over 16 who lives or works in the state to get a Covid-19 vaccine without any eligibility requirements.	0
COVID-19	1.3701910182434652e+18	Biden said everyone will be able to get a covid vaccine by May 1. I hope to get vaccinated and have a tequila shot on my birthday.	0
COVID-19	1.365011945108177e+18	Moody's predicts that India's economy will grow at a rate of 13.7% in FY2022 due to normalisation of activity and growing confidence in the market after Covid-19 vaccines. This is an increase from the earlier estimated rate of 10.8%.	0
COVID-19	1.3697883312324936e+18	A new drive-thru vaccination site was announced in Sumterville that will provide 3,000 Johnson & Johnson vaccines for senior citizens over the next three days. #SeniorsFirst.	0
COVID-19	1.3695912000937329e+18	EU has agreed to buy 4 million more COVID-19 vaccine doses from BioNTech-Pfizer to help hotspot areas and allow free border movement. #StrongerTogether	0
COVID-19	1.356605799766745e+18	Elvis got vaccinated for polio in 1956, which encouraged many others to do the same. Now, three former presidents are considering getting vaccinated for COVID-19 to encourage others to do so.	0
COVID-19	1.3699887447286167e+18	India has sent more than 48 million doses of Covid vaccines to different countries as of March 4. Out of these, 7.35 million doses were provided as a gift, 28.84 million on a commercial basis, and 11.91 million doses were sent through the COVAX program.	0
COVID-19	1.3700463834582467e+18	Whoopi Goldberg got the COVID-19 vaccine and is urging others to do the same.	0
COVID-19	1.3711189414609633e+18	Vaccines are not 100% effective, so keep wearing masks to stay safe.	0
