topic	tweet_id	tweet_text	class_label
COVID-19	1.3593509433561743e+18	India has gifted Barbados with 100,000 COVID-19 vaccines, which have now arrived on the island. Barbadian officials expressed gratitude towards Indian Prime Minister Narendra Modi for his swift and generous action in providing the vaccines.	0
COVID-19	1.3700080764897894e+18	President Paul Kagame and First Lady Jeannette Kagame received their COVID-19 vaccines at King Faisal Hospital as part of Rwanda's national vaccination rollout. Over 230,000 people have already been vaccinated in the country.	0
COVID-19	1.367726730044207e+18	The government of Rwanda expresses gratitude for the 50,000 doses of COVID-19 vaccines received from India, as well as the contributions of other partner countries in combating the pandemic.	0
COVID-19	1.3698884834147123e+18	Four former U.S. presidents - Barack Obama, George W. Bush, Bill Clinton, and Jimmy Carter - have participated in two national ad campaigns released Thursday to encourage Americans to get vaccinated against COVID-19. In the ads, the former leaders can be seen receiving their own vaccinations, with the message that getting vaccinated is safe, effective and a way to show love for others. The campaign is part of a broader effort by public health officials and medical professionals to promote vaccine uptake and address hesitancy.	0
COVID-19	1.3685851875006915e+18	According to the Wall Street Journal, all three of Russia's main intelligence services used fake news sites and social media accounts to spread misinformation about Pfizer and Moderna vaccines in an effort to undermine confidence in them. This was part of a broader disinformation campaign aimed at sowing discord and distrust in Western governments and institutions.	1
COVID-19	1.368249497734713e+18	NBA player Joel Embiid will donate his $100,000 earnings from the All-Star Game to three homeless shelters in Philadelphia. The funds will provide meals, clothing items, COVID-19 treatment and care for shelter residents who receive vaccines, funds for a summer camp, shelter for more than 300 teens, and support for formerly homeless families.	0
COVID-19	1.3653245014755942e+18	Canadian company Fitzhenry Vector Lab has the capability to produce COVID-19 vaccine doses, which would reduce reliance on international partners, according to user @USER. The comments come as Canada faces vaccine shortages and delays in deliveries from global suppliers.	0
COVID-19	1.3509072845750436e+18	The tweet reports on 23 deaths in Norway following vaccination against COVID-19 and suggests that those who claim vaccines are 100% safe may need to rely on those who refuse to accept official narratives about vaccine safety if widespread vaccination is deemed critical.	1
COVID-19	1.3704532393096806e+18	Starting April 5th, all Michiganders age 16 and older will be eligible to receive a COVID-19 vaccine. Residents are encouraged to take advantage of this opportunity and get the vaccine.	0
COVID-19	1.3675176942793933e+18	The EU and Italy have prevented AstraZeneca's COVID-19 vaccine shipment from reaching Australia after the drug manufacturer failed to deliver the doses it promised to Europe.	0
COVID-19	1.3675551022911488e+18	Team @USER administered some of the first Johnson & Johnson COVID-19 vaccines, which is the only single-dose vaccine authorized by the FDA. They are working to increase its production, as a third safe and effective vaccine means more people can be vaccinated quickly.	0
COVID-19	1.3653858083169444e+18	North Carolina has been ranked as the number one state in the US for vaccinating adults over the age of 65. The state has been praised for its efficient and equitable distribution of vaccines, with credit given to vaccine providers and the team at an unspecified organization.	0
COVID-19	1.3672956047039939e+18	The three vaccines authorized in the U.S. (Johnson & Johnson, Moderna, and Pfizer and BioNTech) significantly decrease the risk of contracting Covid-19 and are highly effective in preventing more severe outcomes such as hospitalization and death.	0
COVID-19	1.3660740353484677e+18	Getting people vaccinated sooner with a lower efficacy vaccine can prevent more COVID-19 cases, hospitalizations, and deaths than waiting for a higher efficacy vaccine, even if just by a month, according to simulations.	0
COVID-19	1.3644028069925683e+18	The Navajo Nation has exceeded its goal of administering 100,000 COVID-19 vaccines by the end of February, which represents over half of its residents. The tribe attributes its success to increased supply, more places to receive vaccines, and more vaccinators.	0
COVID-19	1.3699985824352297e+18	CVS has expanded its Covid-19 vaccine offerings through Biden's federal retail pharmacy program to 29 states and Puerto Rico, according to a company statement.	0
COVID-19	1.3695123628735895e+18	Alaska has become the first state to drop eligibility requirements for Covid-19 vaccines and allow anyone 16 or older who lives or works in the state to get a vaccine. Governor Dunleavy announced the move, which aims to accelerate the state's vaccination efforts.	0
COVID-19	1.3701910182434652e+18	President Biden announced that all adults will be eligible for Covid vaccines by May 1. The author jokingly expressed a hope for a one-shot vaccine and a shot of tequila for their upcoming birthday.	0
