topic	tweet_id	tweet_text	class_label
COVID-19	1.3593509433561743e+18	India has sent 100,000 COVID-19 vaccines to Barbados, a gesture that has been greatly appreciated by the people of Barbados. The Prime Minister of Barbados has expressed gratitude towards Prime Minister Modi for his swift and generous action in providing the vaccines. This move is a significant step in the fight against the pandemic and is an example of global collaboration in the face of a common threat.	0
COVID-19	1.3700080764897894e+18	President Kagame and First Lady Jeannette Kagame have received their COVID-19 vaccines at King Faisal Hospital, as part of the ongoing nationwide vaccination rollout in Rwanda that has vaccinated over 230,000 people so far.	0
COVID-19	1.367726730044207e+18	The Rwandan government expresses gratitude to the Indian government and other partner countries for contributing towards their fight against COVID-19 by providing them with 50,000 doses of the COVID-19 vaccine from India.	0
COVID-19	1.3698884834147123e+18	Four former US presidents have collaborated to promote the COVID-19 vaccine in two new national ad campaigns. The campaigns aim to boost public confidence in the safety of the vaccine and encourage people to get vaccinated. The former presidents are also seen in the ad campaigns getting vaccinated themselves. The campaigns come at a time when vaccine hesitancy is a significant obstacle to achieving herd immunity in the United States.	0
COVID-19	1.3685851875006915e+18	Russia's three main intelligence agencies, SVR, FSB, and GRU, have been operating fake news websites and social media accounts in an effort to spread misinformation about Pfizer and Moderna vaccines. Their aim is to undermine public confidence in these vaccines and the vaccination process.	1
COVID-19	1.368249497734713e+18	Philadelphia 76ers player Joel Embiid plans to donate his $100K earnings from the All-Star game to three homeless shelters in Philadelphia. The funds will be used to provide meals, clothing, and care for individuals receiving coronavirus vaccines. Additionally, the funds will support a summer camp, provide shelter for over 300 teens, and aid formerly homeless families. Embiid's efforts demonstrate a commitment to giving back and supporting the most vulnerable in his community.	0
COVID-19	1.3653245014755942e+18	The article argues that Canada should take action to produce its own COVID-19 vaccines, instead of solely relying on international partners. Specifically, it suggests that Fitzhenry Vector Lab in Canada has the capability to produce vaccine doses for all Canadians, and this should be pursued. By doing so, Canada could avoid potential delays and shortages in vaccine supply from other countries.	0
COVID-19	1.3509072845750436e+18	The article suggests that some people who claim vaccines are absolutely safe may have to rely on those who question their safety to encourage widespread vaccination. This is because there have been reports of deaths after people received the COVID-19 vaccine in Norway. The article highlights the importance of transparency and honest discussion about the risks and benefits of vaccines, as well as the need to continue developing and monitoring their safety.	1
COVID-19	1.3704532393096806e+18	Starting April 5th, all Michiganders aged 16 and older who were previously not eligible will have the opportunity to receive a COVID-19 vaccine. It is encouraged that people take advantage of this opportunity and receive one of the three available safe and effective vaccines. This is exciting news for the state of Michigan.	0
COVID-19	1.3675176942793933e+18	AstraZeneca's COVID-19 vaccine shipment bound for Australia has been blocked by the EU and Italy as the drug manufacturer failed to deliver the doses it promised Europe. This move reflects the growing frustration in the EU over slow vaccine rollout and insufficient supplies, leading to tighter export controls on vaccine shipments.	0
COVID-19	1.3675551022911488e+18	The team at @USER has administered some of the first Johnson & Johnson COVID-19 vaccines, which is the only single-dose vaccine authorized by the FDA. They are working to increase production to vaccinate more people quickly.	0
COVID-19	1.3653858083169444e+18	North Carolina has been ranked number one in the United States for vaccinating adults over the age of 65. This achievement is due to the hard work put in by the vaccine providers across North Carolina and the amazing team at @USER. People in North Carolina are proud of the quick and equitable administration of vaccines in the state.	0
COVID-19	1.3672956047039939e+18	The three vaccines authorized in the U.S., made by Johnson & Johnson, Moderna, and Pfizer and BioNTech, are highly effective at reducing the risk of getting Covid-19 and have a high efficacy in preventing more serious outcomes such as hospitalization and death.	0
COVID-19	1.3660740353484677e+18	Simulations have shown that administering vaccines with lower effectiveness to people earlier can prevent a higher number of COVID-19 cases, hospitalizations, and deaths, as compared to waiting for a more effective vaccine even for a month.	0
COVID-19	1.3644028069925683e+18	The Navajo Nation has successfully administered over 100,000 COVID-19 vaccines by the end of February, which is more than half of the total population. This achievement is credited to the efforts made by the authority to increase vaccine supply, vaccination locations, and vaccinators.	0
COVID-19	1.3699985824352297e+18	CVS has expanded its Covid-19 vaccination program to nearly double the number of states where its pharmacies are offering the vaccine through the federal retail pharmacy program initiated by President Biden. According to a statement released by CVS, the company is now offering Covid-19 vaccine shots in 29 states and Puerto Rico.	0
COVID-19	1.3695123628735895e+18	Alaska has become the first state in the US to eliminate eligibility requirements for Covid-19 vaccinations, making it possible for all residents and workers aged 16 and above to get vaccinated, according to Governor Dunleavy. This decision potentially speeds up the vaccination process in the state and enables younger and healthier individuals to obtain vaccines more easily.	0
COVID-19	1.3701910182434652e+18	President Biden recently announced that the COVID-19 vaccine will be available to all adults in the US by May 1. This is an expansion of the previous plan, which aimed to give access to all adults by the end of May. With the new timeline, people can hope for more normalcy in the near future. In light of this, some individuals are making humorous comments about receiving both their COVID-19 vaccine and tequila shot as part of their Cinco de Mayo birthday celebrations.	0
COVID-19	1.365011945108177e+18	Moody's, a rating agency, has revised its projection for India's economic growth in FY2022 from 10.8% to 13.7%, citing the normalization of economic activity and increased confidence in the market following the rollout of Covid-19 vaccines as the reasons for this optimistic forecast. This is good news for India, as it indicates that the country's economy is expected to experience robust growth in the coming year.	0
COVID-19	1.3697883312324936e+18	Florida governor announced a new drive-thru vaccination site in Sumterville that will offer 3,000 Johnson & Johnson vaccines for Florida residents aged 65 and above over the next three days. The announcement was made on Twitter with the hashtag #SeniorsFirst. More details can be found at an attached link.	0
COVID-19	1.3695912000937329e+18	BioNTech-Pfizer will supply four million additional doses of COVID-19 vaccines to the European Union in the next two weeks. This agreement will help address hotspots of the virus and enable unrestricted border crossings. The hashtag #StrongerTogether is being used to emphasize the importance of cooperation in fighting COVID-19.	0
COVID-19	1.356605799766745e+18	In 1956, Elvis Presley received the polio vaccine backstage at a concert, which encouraged many people to get vaccinated. Now, with the COVID-19 vaccine available, three former US presidents are considering getting vaccinated publicly to encourage others to do the same.	0
COVID-19	1.3699887447286167e+18	India has supplied more than 481 lakh doses of Covid vaccines to different countries as of March 4th. The doses include 73.5 lakh doses provided as grant assistance, 288.4 lakh doses on a commercial basis, and 119.16 lakh doses for COVAX.	0
COVID-19	1.3700463834582467e+18	Whoopi Goldberg received her first shot of the coronavirus vaccine and urges others to follow suit. She encourages people to get the vaccine and provides links for more information on COVID-19 vaccines.	0
COVID-19	1.3711189414609633e+18	In summary, while COVID-19 vaccines are highly effective in preventing severe illness and death from the virus, it's important to remember that no vaccine is 100% perfect. Therefore, it's recommended to continue wearing masks as an added precaution to reduce the spread of the virus.	0
COVID-19	1.368703552546308e+18	Russian intelligence agencies have been spreading disinformation to decrease trust in Western vaccines, including Pfizer Inc.'s vaccine.	1
COVID-19	1.3685617801427927e+18	A survey conducted in several European countries has revealed that a significant proportion of people would refuse the AstraZeneca vaccine due to concerns about its safety. The percentage of people who said they would refuse the vaccine and wait for a different one was highest in Germany (27%), followed by Italy (23%) and France (22%). In contrast, only 2% of people in the UK said they would refuse the vaccine. In comparison, smaller proportions of people expressed reluctance to take the Pfizer and Moderna vaccines. In Germany, 6% said they would refuse the Pfizer vaccine, while in France, Italy, Spain, and the UK, the percentage was 7%, 7%, 5%, and 4%, respectively. Similarly, in Germany, 12% said they would refuse the Moderna vaccine, while in France, Italy, Spain, and the UK, the percentage was 11%, 11%, 6%, and 5%, respectively.	0
COVID-19	1.3667803683183124e+18	According to radiologists, unusual swelling caused by Covid-19 vaccines is appearing on routine mammograms and scans. This may cause worry about breast cancer, but there are steps that can be taken to avoid unnecessary concerns. It is important to inform the medical provider about recent vaccinations and to carefully monitor any unusual lumps, bumps or swelling in the weeks following vaccination. Overall, vigilance and open communication with healthcare providers can help minimize anxiety and ensure proper care.	1
COVID-19	1.3678206298865047e+18	Uganda has received its first batch of 864,000 doses of AstraZeneca COVID-19 vaccines from the Serum Institute of India, delivered through the COVAX facility. This is good news for the country in its fight against the pandemic. The government expressed gratitude to all those involved in making the arrival of the vaccines possible.	0
COVID-19	1.369404118759055e+18	CVS will soon administer COVID-19 vaccines at 76 additional locations in Florida, bringing the total number of CVS vaccination locations in the state to 157 in 30 counties. The announcement was made by an unspecified individual or entity on Twitter. More information can be found at the provided web link.	0
COVID-19	1.3690324236950815e+18	Starting today, all phase 3 priority groups are eligible for COVID-19 vaccinations, thanks to the increasing availability of the vaccine. New appointments for phase 3 will be posted on the portal at midnight. For more information, visit the provided links.	0
COVID-19	1.36771717423684e+18	The global vaccination rate is currently at 6,582,835 doses per day on average, and at this rate, it will take 4.7 years to vaccinate 75% of the population with a two-dose vaccine. However, the inequality of vaccine distribution is widening, and low- and middle-income countries require faster access to Covid vaccines.	0
COVID-19	1.3696292780532695e+18	Alaska has become the first state in the US to make Covid-19 vaccines available to everyone aged 16 and above, without any eligibility requirements. The move came as US President Joe Biden announced the extension of the vaccination programme, with all adults in the country to be eligible for a vaccine by 19 April. Previously, eligibility for vaccines had been restricted based on age, occupation, pre-existing conditions and other factors. The decision in Alaska has been praised as a significant step forward in the fight against the pandemic, and could potentially speed up the vaccination rollout in other states as well.	0
COVID-19	1.3682363509489705e+18	New Yorkers are lining up in the middle of the night at Yankee Stadium to receive COVID-19 vaccines and are expressing their happiness about it. The stadium has been transformed into a vaccination site, and despite the late hour and the chilly weather, many people are eager to receive their shots. This has been seen as a positive development in the ongoing effort to vaccinate the population and protect against the spread of the coronavirus.	0
COVID-19	1.363964279997743e+18	Vaccines stimulate the immune system by triggering a response, which can cause some people to experience mild side effects such as soreness, tiredness, or feeling unwell after receiving the COVID-19 vaccine. These side effects should not last more than a week and are generally not severe. Learn more about the COVID-19 vaccine through the provided links.	0
COVID-19	1.3633542455762207e+18	The Australian government launched its COVID-19 vaccination program today with the first vaccinations taking place in Sydney. The program will rollout across the country, providing safe and effective COVID-19 vaccines. Further details regarding the vaccination program can be found at the provided links.	0
COVID-19	1.370050585924354e+18	President Bush encourages people to get vaccinated against COVID-19 as it is a safe and effective way to end the pandemic and move towards recovery and renewal.	0
COVID-19	1.368885882707579e+18	Indonesia has received 1.1 million doses of AstraZeneca's COVID-19 vaccine, as part of the Covax Facility initiative led by the World Health Organization (WHO) and the vaccine alliance. The country is aiming to acquire a total of 13.7 million doses from AstraZeneca.	0
COVID-19	1.3684740075787428e+18	Ethiopian Airlines has successfully transported and delivered the first batch of COVID-19 vaccines to Ethiopia. The delivery was made to the Ethiopian Ministry of Health during a ceremony held at Ethiopian Airlines' cargo terminal. The company has pledged to continue providing this critical service to help save lives.	0
COVID-19	1.3695171189709824e+18	UNICEF and its partners have delivered 15 million doses of COVID-19 vaccine to various countries through COVAX in the past two weeks. The organization is working alongside other partners to make vaccines accessible to everyone.	0
COVID-19	1.3671686994640404e+18	The San Diego Zoo staff received experimental COVID-19 vaccines after a troop of eight western lowland gorillas fell ill in January. The vaccines are intended to be given to all great apes in their care, including bonobos and orangutans.	0
COVID-19	1.3669589486418327e+18	Kenya has received COVID-19 vaccines, marking a significant milestone in the fight against the pandemic. The vaccines were made possible through partnerships between Kenya, the UK, and COVAX, with Kenya contributing KES 84 billion. There has been recognition of the efforts of several individuals, including @USER, @USER, @USER, @USER, and @USER.	0
COVID-19	1.3678130779499643e+18	Several African countries, including Angola, Côte d'Ivoire, Ghana, Kenya, Nigeria, and Rwanda, have commenced their COVID-19 vaccination campaigns this week, with priority given to healthcare workers, teachers, and high-risk individuals. These countries are part of the COVAX initiative aimed at ensuring equitable access to vaccines across the world.	0
COVID-19	1.368825655627047e+18	The Secretary to the Government of the Federation (SGF), Mr Boss Mustapha and members of the Presidential Task Force on COVID-19 will be vaccinated today with the Oxford-AstraZeneca COVID-19 vaccines, according to a statement from the SGF Office.	0
COVID-19	1.3700982916275855e+18	Wisconsin's deputy secretary, Julie Willems Van Dijk, announced in a press briefing that individuals who are 16 years of age and older will be eligible to receive COVID-19 vaccines in May.	0
COVID-19	1.3676110516180337e+18	Teachers and staff in pre-K-12 schools and childcare programs under age 50 are eligible to receive COVID-19 vaccines at specified locations. However, those above 50 can receive vaccines at any location in the state. Additional information on eligible locations can be found at the provided URLs.	0
COVID-19	1.3664734161156833e+18	According to new data, the vaccines from both @USER and @USER have been found highly effective in reducing COVID-19 infections among people aged 70 years and above. Professor Jonathan Van Tam, the Deputy Chief Medical Officer, explains this finding in a video. Additional information on this development can be found at HTTPURL.	0
COVID-19	1.3578339783639982e+18	The messenger RNA (mRNA) technology used in the development of the COVID-19 vaccine has the potential to be a solution for vaccines targeting other infectious diseases such as HIV, sickle cell, and malaria. mRNA vaccines work by instructing cells to produce a protein that triggers an immune response against a specific virus or disease. This method has shown promising results in its ability to be tailored for different viruses and diseases, making it an ideal platform for developing new vaccines. With ongoing research and development, mRNA vaccines have the potential to revolutionize vaccine development and improve global health.	0
COVID-19	1.3681448943052636e+18	Fiji has received 12,000 doses of the AstraZeneca COVID-19 vaccine through the COVAX program. The nation recognizes that no country can be safe from the virus until everyone is, so they are taking steps to secure more safe and effective vaccines for their people and contribute to the world's recovery from the pandemic.	0
COVID-19	1.3700714389804483e+18	The practice of charging people for Covid-19 vaccines is viewed as counterproductive and unreasonable from a public health perspective. The majority of countries provide the vaccine for free to residents with the exception of India.	0
COVID-19	1.3701817802846986e+18	President Biden has announced the purchase of 100 million more COVID-19 vaccines, which will be sufficient to vaccinate all US adults by the end of May.	0
COVID-19	1.3664350573433528e+18	The first University of Oxford / AstraZeneca vaccinations have begun in Côte d'Ivoire to protect vulnerable people from COVID-19. The UK has pledged £548m to COVAX, an initiative that is delivering vaccines to 92 low and lower-middle income countries.	0
COVID-19	1.3672711801604055e+18	The author expresses their positive experience 24 hours after receiving their second dose of the COVID-19 vaccine. They emphasize the safety and effectiveness of the vaccine and encourage others to get vaccinated to help end the pandemic. The author also includes the hashtag #lagov, which may be related to Louisiana state government or policies.	0
COVID-19	1.3633868100600504e+18	SBS has launched videos in over 60 languages, including AUSLAN, to inform communities about Australia's COVID-19 vaccination roll-out plan, vaccine efficacy, and approval process. The initiative aims to reach a diverse audience and raise awareness about the importance of vaccination in Australia's fight against the pandemic. The hashtag #VaccineAustralia and #COVID19 are being used to promote the initiative.	0
COVID-19	1.3706928004974671e+18	The United States, Japan, India, and Australia have formed a new vaccine partnership to provide at least 1 billion Covid vaccine doses to Asian and Pacific island countries by 2022. The partnership aims to help these countries boost their vaccination rates and tackle the ongoing pandemic.	0
COVID-19	1.3689419220189427e+18	The article argues that as Covid-19 continues to spread around the world, the virus will mutate and become more dangerous, making it harder to control with current vaccines. The author advocates for Joe Biden to take bold actions to increase access to vaccines worldwide in order to truly end the pandemic.	0
COVID-19	1.3692472830915663e+18	Dr. Phionah Atuhebwe has stated that COVID-19 vaccines are safe and highly effective, especially in preventing severe illness, hospitalization, and death. The statement was made in regards to the ongoing COVID-19 vaccination campaign in Uganda.	0
COVID-19	1.370842636089766e+18	President Biden has responded to the global shortage of COVID-19 vaccines by partnering with Japan, India, and Australia to increase the global manufacturing capacity for vaccines. This move comes in response to intense pressure for the US to donate excess vaccines to underprivileged nations.	0
COVID-19	1.369037738880741e+18	Studies have shown that men and women have different responses to various types of vaccines, including the Covid-19 vaccines. This is likely due to a combination of factors such as hormones, genes, and dosage.	0
COVID-19	1.3675740184512102e+18	The US has hit a new milestone in its vaccination efforts with the 7-day average of administered vaccines surpassing 2 million for the first time. The number is expected to keep increasing, bringing hope for further progress in the fight against COVID-19.	0
COVID-19	1.3656838646020874e+18	The US, which has the highest number of Covid-19 deaths, should be taking a leading role in distributing vaccines and treatments around the world as the wealthiest nation.	0
COVID-19	1.3656186983886602e+18	Ghana and Ivory Coast have become the first countries in the world to receive COVID-19 vaccines through the Covax scheme, which aims to provide at least 2 billion doses of the vaccine to lower-income countries. This marks a significant milestone in the global effort to ensure fair access to vaccines for all, especially in countries where vaccines have been unaffordable or unavailable. Covax is a vaccine equity initiative that has been set up to ensure equitable distribution of vaccines to all countries, regardless of the income levels of the countries.	0
COVID-19	1.3710612161315676e+18	The statement emphasizes the urgent need for Africa to have access to COVID-19 vaccines that are affordable and available in sufficient quantities as soon as possible.	0
COVID-19	1.3685651295839355e+18	The Indian government has donated 100,000 doses of the AstraZeneca vaccine to aid in the COVID-19 vaccination exercise in a certain region. The vaccines have been delivered and will be used in the upcoming vaccination program starting on March 10, 2021.	0
COVID-19	1.370142489764528e+18	Pfizer and BioNTech have announced that they will surpass their initial global target for COVID-19 vaccines by up to 20% this year, according to Pfizer CEO Albert Bourla. This is an indication of progress in the rollout of the vaccine amidst the ongoing pandemic.	0
COVID-19	1.369577517435269e+18	After receiving a COVID-19 vaccine, it's possible to experience side effects due to the way vaccines work by activating the immune system. These side effects are usually mild and temporary. For more information on the COVID-19 vaccine, visit the provided links.	0
