topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	India has sent 100,000 COVID-19 vaccines to Barbados, which arrived today. The people of Barbados are grateful for this gift, and the Prime Minister of Barbados thanked Prime Minister Modi for his swift and generous action in providing these vaccines.	1
COVID-19	1350165688061669378	I am taking precautions to protect myself and others from COVID-19 while waiting for the vaccine. This includes wearing a mask, maintaining social distancing, avoiding large gatherings, and not meeting with people outside of my household. By doing so, I am doing my part to slow the spread of the virus.	0
COVID-19	1369749539154919425	This afternoon, there will be an event with the CEOs of Johnson & Johnson and Merck to discuss their partnership to produce more COVID-19 vaccines. The event will be broadcasted, and people are encouraged to tune in.	0
COVID-19	1350164995686936578	Please help support small businesses like mine by wearing a mask, avoiding large crowds, and maintaining a distance of at least six feet from others until enough people have received the COVID-19 vaccine. Together, we can slow the spread of the virus and keep our communities safe. Thank you for your cooperation.	0
COVID-19	1370008076489789440	President Kagame and First Lady Jeannette Kagame received their COVID-19 vaccines at King Faisal Hospital as part of the nationwide vaccination rollout that has seen over 230,000 people vaccinated.	1
COVID-19	1367726730044207104	We are happy to announce that we have received 50,000 doses of Covid-19 vaccines from India this morning. The government of Rwanda is thankful to the government of India and other partner countries for their significant contribution to the fight against Covid-19.	1
COVID-19	1365684673205084166	Here is some information on the COVID-19 vaccines developed by Astrazeneca and SinoVac, provided by the UP-PGH COVID-19 Groups.	0
COVID-19	1369888483414712322	Four former presidents have joined forces to promote COVID-19 vaccines through two national ad campaigns. The campaigns aim to build trust in the vaccines, and feature all four presidents receiving their own vaccinations.	1
COVID-19	1370003879455297540	America has historically thrived when we work together and support each other towards a shared goal. With the availability of safe and effective COVID-19 vaccines, we have the opportunity to come together once again and overcome this challenge. https://t.co/rbuQstkH9R	0
COVID-19	1354166371526041603	There is a lot of false information and unnecessary fear surrounding the COVID-19 vaccines for pregnant and nursing women. To combat this, a Yale MSTP student and I wrote an OpEd to dispel these myths and provide accurate information. Please share this widely to help spread the truth.	0
COVID-19	1357381185505288200	Hi everyone, I'm Dr. Anthony Fauci, the chief medical advisor to the President and director of @NIAIDNews. I'll be here for the next hour or so to answer your questions about COVID-19 and the science behind the vaccines. https://t.co/AF6JN6ZEsi	0
COVID-19	1367232803071422464	Dear Moms, please consider the potential risks and benefits before making a decision about vaccinating your babies with the COVID-19 vaccine. It is important to consult with your healthcare provider and do your own research.	0
COVID-19	1368585187500691461	The Wall Street Journal reported that Russia's three main intelligence services, SVR, FSB, and GRU, used fake news sites and social media accounts to spread misinformation about Pfizer and Moderna vaccines in an effort to undermine public confidence in them.	1
COVID-19	1368249497734713346	Joel Embiid is donating his $100K earnings from the All-Star Weekend to three homeless shelters in Philly. The donation will help provide meals, clothing items, treatment and care for those who get COVID-19 vaccines, funds for a summer camp, shelter for 300+ teens, and support for formerly homeless families. This is a great gesture from Embiid and will go a long way in helping those in need.	1
COVID-19	1367921612780081155	Teachers, school staff, and workers in child care programs, President Biden is urging states to ensure that you receive your first COVID-19 vaccine by the end of March. The federal retail pharmacy program will give priority to your vaccinations. You can find participating pharmacies at the link provided: https://t.co/lmCctm9P1Q.	0
COVID-19	1355801491190280192	I tweeted about a story regarding Bill Gates and his refusal to support dropping patents on Covid-19 vaccines, which resulted in my account and others being blocked on Twitter. I had asked Gates about the issue directly.	0
COVID-19	1366637116097060867	I understand your frustration and desire to receive a vaccine as soon as possible. It's important to remember that all vaccines that have been approved by regulatory agencies have undergone rigorous testing and have been shown to be safe and effective in preventing COVID-19. It's also important to continue following public health guidelines, such as wearing masks and practicing social distancing, even after receiving the vaccine. Hang in there, and hopefully, we'll all be able to see other humans soon.	0
COVID-19	1365324501475594243	Mossmanlab argues that Canada should take action to produce its own COVID-19 vaccines instead of relying solely on international partners. They suggest that the Fitzhenry Vector Lab, affiliated with MacGlobalNexus, could produce vaccine doses for all Canadians.	1
COVID-19	1366814345443872769	In 2020 and 2021, we faced challenges but we didn't give up. Our @NASAPersevere rover took a special plate to Mars to show appreciation to the medical professionals who worked tirelessly during the COVID-19 pandemic. We also express gratitude to the scientists who developed vaccines. Thank you. https://t.co/Aff9DtZ5jD	0
COVID-19	1369771518239072260	Florida should provide COVID-19 vaccines to all essential workers, including teachers, agriculture and food workers, and others. The state has enough vaccine supply, and it's crucial to expand eligibility to save lives. Governor Ron DeSantis should take action on this matter.	0
COVID-19	1350907284575043584	23 people in Norway have died after receiving the COVID-19 vaccine, which challenges the claim that vaccines are 100% safe. Those who previously laughed at anti-vaxxers may now depend on those who refuse to believe official lies to acknowledge the importance of widespread vaccination.	1
COVID-19	1369770494703116296	If there is no evidence available to address the concerns regarding gene-based vaccines, we believe that the approval for their use should be revoked until the issues are properly addressed by the EMA through due diligence. https://t.co/lgznoGXjBc	0
COVID-19	1370453239309680640	Starting on Monday, April 5th, all Michigan residents who are 16 years old or older and were not previously eligible will now be able to receive a COVID-19 vaccine. This is great news, and I encourage all eligible individuals to get vaccinated with one of the three safe and effective vaccines available.	1
COVID-19	1367517694279393282	AstraZeneca's COVID-19 vaccine shipment to Australia has been blocked by the EU and Italy because the company did not fulfill its promised doses to Europe.	1
COVID-19	1367555102291148801	This week, the team at OSUWexMed gave out some of the first Johnson & Johnson COVID-19 vaccines, which is the only single-dose vaccine approved by the FDA. They are trying to increase production because having a third safe and effective vaccine will allow more people to be vaccinated faster.	1
