topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	Barbados received a gift of 100,000 COVID-19 vaccines from India today, which was a significant event for the people of Barbados. I express my gratitude to Prime Minister Modi for his prompt, resolute, and generous decision to provide us with these vaccines. Thank you! https://t.co/cSCb40c2mt	1
COVID-19	1350165688061669378	As I wait for my turn to receive the COVID-19 vaccines, I am taking precautions such as wearing a mask, maintaining a distance of at least six feet from others, avoiding large gatherings, and refraining from indoor gatherings with individuals outside of my household. By doing so, I am contributing to the effort to slow the spread of the virus.	0
COVID-19	1369749539154919425	I will be hosting an event this afternoon with the CEOs of Johnson & Johnson and Merck to talk about our groundbreaking collaboration to increase the production of COVID-19 vaccines. Don't miss it! https://t.co/S3OxWrOUgt	0
COVID-19	1350164995686936578	To support businesses like mine, please wear a mask, steer clear of large gatherings, and maintain a distance of at least six feet until a sufficient number of people receive the COVID-19 vaccine. Let's work together to #SlowTheSpread.	0
COVID-19	1370008076489789440	President Kagame and First Lady Jeannette Kagame have received their COVID-19 vaccines at King Faisal Hospital as part of the nationwide vaccination rollout that has already vaccinated over 230,000 people.	1
COVID-19	1367726730044207104	This morning, we were delighted to receive 50,000 doses of Covid-19 vaccines from India. The Government of Rwanda expresses its gratitude to the Government of India and other partner countries for their significant contribution in the battle against Covid-19. Thank you, Dr. S Jaishankar.	1
COVID-19	1365684673205084166	The UP-PGH COVID-19 Groups have provided details about the Astrazeneca and SinoVac COVID-19 Vaccines.	0
COVID-19	1369888483414712322	On Thursday, two national ad campaigns were launched by four ex-presidents with the aim of promoting trust in COVID-19 vaccines. The campaigns feature images of all four former presidents receiving the vaccine.	1
COVID-19	1370003879455297540	Throughout history, America has thrived when we prioritize the well-being of our fellow citizens and work together towards a shared goal. With the emergence of reliable and safe COVID-19 vaccines, we have the opportunity to come together once more and make a positive impact. https://t.co/rbuQstkH9R	0
COVID-19	1354166371526041603	Misinformation and fear-mongering about COVID-19 vaccines for pregnant and nursing women are rampant. To dispel these myths and provide relevant facts, a Yale MSTP student named Alice Luculligan and I wrote an OpEd. We urge you to share it widely. https://t.co/iyneLwvE5y	0
COVID-19	1357381185505288200	Hello, all. I am Dr. Anthony Fauci, the director of @NIAIDNews and the chief medical advisor to the President. I will be dedicating the next hour to answering your inquiries regarding COVID-19 and the scientific aspects of the vaccines. https://t.co/AF6JN6ZEsi	0
COVID-19	1367232803071422464	Mothers, please do not allow anyone to administer the experimental COVID-19 vaccines to your babies, for the sake of your family and God. https://t.co/0LIZf4drgq	0
