topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	Earlier today, Barbados received a gift of 100,000 COVID-19 vaccines from India, which was a momentous occasion for all Barbadians. I extend my gratitude to Prime Minister Modi for his prompt, resolute, and generous decision to grant us these vaccines. Thank you! https://t.co/cSCb40c2mt	1
COVID-19	1350165688061669378	As I await my turn for the COVID-19 vaccines, I am taking measures such as wearing a mask, maintaining at least six feet of distance from others, avoiding crowded places, and refraining from gathering indoors with individuals outside of my household. I am committed to contributing to the prevention of spreading the virus and ensuring it doesn't spread rapidly.	0
COVID-19	1369749539154919425	Later today, I will be hosting a gathering with the Chief Executive Officers of Johnson & Johnson and Merck to converse about our unprecedented coalition to manufacture additional COVID-19 vaccinations. Watch it live. https://t.co/S3OxWrOUgt	0
COVID-19	1350164995686936578	To support businesses like mine, please wear a mask, practice social distancing of six feet, and avoid large gatherings until more people have received the COVID-19 vaccine. Let's work together to slow the spread.	0
COVID-19	1370008076489789440	Over 230,000 individuals have been vaccinated as part of the ongoing nationwide vaccination campaign. President Kagame and First Lady Jeannette Kagame have received their COVID-19 vaccines at King Faisal Hospital.	1
COVID-19	1367726730044207104	The government of Rwanda is delighted to have received 50,000 Covid-19 vaccine doses from India this morning. They express their gratitude towards the Indian government and other partner countries for their valuable contribution in the fight against the pandemic. @DrSJaishankar	1
COVID-19	1365684673205084166	Details regarding the Astrazeneca and SinoVac COVID-19 Vaccines have been provided by the COVID-19 Groups at UP-PGH. 💉💉💉 Find out more at the given link.	0
COVID-19	1369888483414712322	In a move to encourage trust in COVID-19 vaccines, four former presidents have come together for two national ad campaigns launched on Thursday. The campaigns feature pictures of all four presidents getting vaccinated against the virus.	1
COVID-19	1370003879455297540	Throughout history, America has thrived when we work together and support each other in pursuit of a shared goal. With the advent of reliable and safe COVID-19 vaccines, we have a new opportunity to come together and overcome this challenge. Let's seize this chance to make a positive difference. https://t.co/rbuQstkH9R	0
COVID-19	1354166371526041603	Myths and scare tactics abound regarding COVID-19 vaccination for expectant and breastfeeding mothers. In an effort to provide clarity, a collaborative OpEd was penned by a YaleMSTP student, Alice Luculligan, and myself. We aim to debunk these myths with factual information. It is our hope that this article reaches a wider audience. Please feel free to share.https://t.co/iyneLwvE5y	0
COVID-19	1357381185505288200	As the director of @NIAIDNews and chief medical advisor to the President, I am Dr. Anthony Fauci, and I will be dedicating the next hour to responding to your inquiries about COVID-19 and the scientific aspects of the vaccines. https://t.co/AF6JN6ZEsi	0
COVID-19	1367232803071422464	Mothers, please do not let anyone give your babies the experimental COVID-19 vaccines for the sake of your family's love and protection. https://t.co/0LIZf4drgq	0
COVID-19	1368585187500691461	Russia's three primary intelligence agencies (the SVR, FSB, and GRU) utilized fabricated news websites and fake social media accounts to disseminate false information concerning the Pfizer and Moderna vaccines, with the intention of eroding people's trust in them, according to the WSJ. https://t.co/t3kmCYvBFs via @WSJ	1
COVID-19	1368249497734713346	In a generous act of kindness, Joel Embiid has announced that he will be donating his $100,000 earnings from the All-Star Weekend to help three homeless shelters in Philadelphia. The money will be used to provide essential items such as meals and clothing, as well as treatment and care for those who receive COVID-19 vaccinations. Additionally, the funds will be used to provide a summer camp, shelter for over 300 teenagers, and support for families who were previously homeless. This selfless gesture by Embiid is truly commendable, and will undoubtedly make a significant impact on the lives of those who are struggling in the Philadelphia community. 🙏  (96 words)	1
COVID-19	1367921612780081155	President Biden is urging states to prioritize getting the first COVID-19 vaccine dose for teachers, school staff, and child care workers by March's end. The federal retail pharmacy program will prioritize their vaccinations, and a list of participating pharmacies can be found at https://t.co/lmCctm9P1Q.	0
COVID-19	1355801491190280192	My Twitter account, along with several others, was blocked after I shared a story about Bill Gates and his refusal to support the dropping of patents on Covid-19 vaccines. In the story, I asked Gates directly about the issue. https://t.co/EAVdJQl1Qy	0
COVID-19	1366637116097060867	I have reached a point where I am willing to receive any COVID vaccine, even if it is manufactured by Frito-Lay and called cool ranch, as long as it allows me to interact with other people again. Comparing the merits of different vaccines has become a secondary concern for me.	0
COVID-19	1365324501475594243	Mossmanlab argues that steps can be taken presently to enable Canada to manufacture its own vaccines and not rely solely on foreign partnerships. The Fitzhenry Vector Lab, proposed by MacGlobalNexus, could produce ample COVID-19 vaccine doses for every Canadian. https://t.co/J3Nvb5faq6	1
COVID-19	1366814345443872769	Amidst the challenges faced in 2020 and 2021, we persevered as a team. One of our key achievements was sending the @NASAPersevere rover to Mars, which carried a commemorative plate expressing our gratitude to the medical community who worked tirelessly on the front lines of the COVID-19 pandemic. We also extend our gratitude to researchers who developed vaccines that have been instrumental in controlling the spread of the virus. Thank you.  https://t.co/Aff9DtZ5jD	0
