topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	India's gift of 100,000 COVID-19 vaccines arrived in Barbados earlier today. This was a very special moment for all Barbadians and I want to thank Prime Minister Narendra Modi for his quick, decisive, and magnanimous action in allowing us to be the beneficiary of these vaccines.	1
COVID-19	1350165688061669378	Here’s what I’m doing while I wait for my turn to receive the COVID-19 vaccines: wearing a mask, maintaining a distance of at least six feet from others, avoiding crowds, and refraining from gathering indoors with individuals I don’t live with. This is how I will make a difference and help slow the spread.	0
COVID-19	1369749539154919425	This afternoon, I am hosting an event with the Chief Executive Officers of Johnson & Johnson and Merck to discuss our historic partnership to produce more COVID-19 vaccines. Tune in.	0
COVID-19	1350164995686936578	Help shops like mine stay open. Mask up, avoid crowds, and stay at least six feet apart until enough of us get COVID-19 vaccines. Slow the spread.	0
COVID-19	1370008076489789440	As part of the ongoing nationwide vaccination rollout that has seen more than 230,000 people vaccinated, President Kagame and First Lady Jeannette Kagame received their COVID-19 vaccines at King Faisal Hospital.	1
COVID-19	1367726730044207104	We are pleased to receive 50,000 doses of Covid-19 vaccines from India this morning. The Government of Rwanda is grateful to the Government of India and other partner countries for their valuable contribution to the fight against COVID-19.	1
COVID-19	1365684673205084166	Information on Astrazeneca and SinoVac COVID-19 Vaccines from UP-PGH COVID-19 Groups.	0
COVID-19	1369888483414712322	Four former presidents have joined forces for two national ad campaigns released Thursday, with the aim of promoting trust in COVID-19 vaccines. In the campaigns, all four presidents are shown receiving the vaccine.	1
COVID-19	1370003879455297540	America has always been at its best when we are looking out for one another and pulling together in common cause. Now, with the development of safe and effective COVID-19 vaccines, we have the chance to rise to the moment again.	0
COVID-19	1354166371526041603	There is a lot of misinformation and fear-mongering surrounding COVID-19 vaccines for pregnant and nursing women. A brilliant Yale Medical Scientist Training Program student, Alice Luculligan, and I wrote this OpEd to dispel these myths and provide relevant facts. Please share widely.	0
COVID-19	1357381185505288200	Hi, everyone. I’m Dr. Anthony Fauci, chief medical advisor to the President and director of the National Institute of Allergy and Infectious Diseases, and I will spend the next hour or so answering your questions about COVID-19 and the science behind the vaccines.	0
COVID-19	1367232803071422464	Dear Moms, please do not let anyone jab your babies with the experimental COVID-19 vaccines.	0
COVID-19	1368585187500691461	WSJ: All three of Russia's main intelligence services (SVR, FSB, and GRU) operated fake news sites and phony social media accounts to spread misinformation about Pfizer and Moderna vaccines in an attempt to undermine confidence in them. via WSJ	1
COVID-19	1368249497734713346	Joel Embiid will donate his $100,000 NBA All-Star Weekend earnings to three homeless shelters in Philadelphia. The donation will be used to provide meals, clothing items, treatment and care for individuals receiving COVID-19 vaccines, funds for a summer camp, shelter for over 300 teenagers, and support for families who were previously homeless. 🙏	1
COVID-19	1367921612780081155	Teachers, school staff, and workers in child care programs, the President of the United States is challenging states to ensure that you receive your first COVID-19 vaccine by the end of March. The federal retail pharmacy program will prioritize your vaccinations. You can find a list of participating pharmacies here: [URL].	0
COVID-19	1355801491190280192	Tweeting about this story got my account and several others blocked on Twitter. It is about Bill Gates and why he refuses to support calls to drop patents on Covid-19 vaccines. I asked him personally about the issue.	0
COVID-19	1366637116097060867	Everyone keeps comparing the different vaccines, and honestly, I'm at the point where I will take one manufactured by Frito-Lay. Cool Ranch COVID vaccine, yes, fine, whatever, just let me see other humans.	0
COVID-19	1365324501475594243	Action can be taken now to ensure that Canada can produce its own vaccines without the need to solely rely on international partners. Mossmanlab makes the case for MacGlobalNexus Fitzhenry Vector Lab to produce COVID-19 vaccine doses for all Canadians.	1
COVID-19	1366814345443872769	In 2020 and 2021, we persevered. Our NASA Persevere rover carried a commemorative plate to Mars to express gratitude to the medical community on the front lines of the COVID-19 pandemic. To the researchers who have developed vaccines, we thank you.	0
COVID-19	1369771518239072260	Florida must offer vaccines to all teachers, agriculture and food workers, and other essential employees. The supply is there, Governor Ron DeSantis — it's time to open up eligibility and save lives.	0
COVID-19	1350907284575043584	Those who falsely claim vaccines are 100 percent safe and who laugh at anti-vaxxers will be dependent on those who refuse to tell the official lies to say that widespread vaccination is critical. 23 individuals die in Norway after receiving the COVID-19 vaccine.	1
COVID-19	1369770494703116296	Should all such evidence not be available, we demand that approval for use of the gene-based vaccines be withdrawn until all the above issues have been properly addressed by the exercise of due diligence by the European Medicines Agency.	0
COVID-19	1370453239309680640	Beginning Monday, April 5, all Michiganders age 16 and older who were not previously eligible will be eligible to receive a vaccine. This is exciting news, and I urge all eligible Michiganders to get one of the three safe and effective COVID-19 vaccines.	1
COVID-19	1367517694279393282	The European Union and Italy have blocked AstraZeneca's COVID-19 vaccine shipment destined for Australia after the drug manufacturer failed to deliver the doses it promised Europe.	1
COVID-19	1367555102291148801	This week, team OSUWexMed administered some of the first Johnson & Johnson COVID-19 vaccines, the only single-dose shot authorized by the FDA. We are working to ramp up its production because a third safe and effective vaccine means we can vaccinate more people more quickly.	1
COVID-19	1365752431489912833	Simple explainer for the potential asymptomatic carrier state after vaccines and why we still need masks for a stretch. The article can be found on The Guardian Science website, written by Jessica Glenza and Alvin.	0
COVID-19	1365385808316944386	NC is ranked number one in the United States for vaccinations of adults over 65. Way to go North Carolina! I am so proud of our vaccine providers across North Carolina, and the amazing team at North Carolina Department of Health and Human Services, for all their hard work getting vaccines into arms quickly and equitably.	1
COVID-19	1367295604703993856	All three vaccines authorized in the United States, made by Johnson & Johnson, Moderna, and Pfizer and BioNTech, greatly reduce the risk of getting Covid-19. They also have a high efficacy against more serious outcomes like hospitalization and death. See more.	1
COVID-19	1367586954502492161	"Dr. Anthony Fauci says Republicans who are skeptical of Covid-19 vaccines should follow former President Trump's lead and get vaccinated. ""I hope that Republicans will notice that the former President of the United States did get vaccinated, which means he believes in vaccination."""	0
COVID-19	1366074035348467712	In simulations, getting people vaccinated sooner with a lower efficacy vaccine prevented many more Covid-19 cases, hospitalizations, and deaths compared to waiting even just a month for a higher efficacy vaccine.	1
COVID-19	1364402806992568320	The Navajo Nation has surpassed its goal of administering 100,000 COVID-19 vaccines by the end of February, a figure that represents over half of its residents. Our work to increase supply, increase places to get vaccinated, and increase vaccinators is making a difference.	1
COVID-19	1360255266672021504	As pharmacies and groceries across the United States prepare to dispense Covid-19 vaccines to the public, their customers and workers are wondering what happens to extra doses left unused at the end of the day and who might get access to one.	0
COVID-19	1364973838233194497	As you have noted, vaccine equity is critical. That's why the entire Bronx Delegation - Federal, State, and City - have all signed on to this letter requesting your assistance to immediately obtain more vaccines in our borough, the hardest hit in New York City by COVID-19.	0
COVID-19	1369998582435229696	CVS has nearly doubled the number of states where its pharmacies are offering Covid-19 vaccinations through President Biden's federal retail pharmacy program, according to a statement from CVS. It is now offering Covid-19 vaccines in 29 states and Puerto Rico.	1
COVID-19	1367201792002576385	RT if you are religious and support the COVID-19 vaccines! We cannot allow the fundamentalists to define the religious perspective on vaccines.	0
COVID-19	1370174548411305990	A group of scientists and doctors have issued an open letter calling on the European Medicines Agency (EMA) to answer urgent safety questions regarding COVID-19 vaccine, or withdraw the vaccines authorization. Letter and Video by Dr. Bhakdi here.	0
COVID-19	1363024347066208256	I want to eliminate hesitancy and increase vaccination among my patients. GP Dr. is calling every patient from her surgery who has not yet accepted their COVID Vaccine, as part of the NHS's battle against vaccine hesitancy. [Photo by Rankin]	0
COVID-19	1365057186334994443	Wrapping up my trip this week by visiting with servicewomen and men administering COVID-19 vaccines on the USS Essex. As Secretary, it is incredibly important to me that our military is doing everything it can to be part of the COVID-19 solution.	0
COVID-19	1369375694451531781	Have questions about the second-generation COVID-19 vaccines developed by MacGlobalNexus? Immunologist Zhou Xing explains how they work, how researchers mobilized quickly to develop them, and why they are creating an inhaled vaccine instead of an injected one.	0
COVID-19	1369512362873589760	Alaska has become the first state to drop eligibility requirements for Covid-19 vaccines and allow anyone 16 or older who lives or works in the state to get a vaccine, Governor Dunleavy says.	1
COVID-19	1370003882236084231	Along with Presidents Obama, Bush, and Carter, I am proud to partner with Ad Council and The Covid Collaborative to keep Americans informed about the COVID-19 vaccines. Visit their website for more information.	0
COVID-19	1364671748977946631	Christians should not be afraid of the COVID vaccines. Here is my op-ed with Walter Kim of the National Association of Evangelicals explaining why the vaccines are ethical and safe.	0
COVID-19	1367808327720329218	Bans ALL vaccine exports. UK media: No comment. UK not exported much and has AstraZeneca priority. UK media: No comment. Exported vaccines to 20 countries, stops 1 order to Covid-free Australia. UK media: How dare the nasty vindictive European Union (on the verge of collapse by the way) let the whole world die!	0
COVID-19	1370191018243465219	President Biden announced expanded anti-COVID vaccines and that all adults will be eligible by May 1. My Cinco de Mayo birthday wish is now one-shot vaccine and one-shot tequila.	1
COVID-19	1365011945108176901	The good news! Rating agency Moody's projects India to grow at 13.7 percent in fiscal year 2022, up from 10.8 percent estimated earlier. The revised numbers came on the back of normalisation of activity and growing confidence in the market with the rollout of Covid-19 vaccines.	1
COVID-19	1369788331232493573	It was great to be in Sumterville today to announce a new drive-thru vaccination site which will provide 3,000 Johnson & Johnson vaccines to Floridians 65 and older over the next three days. Seniors First. More here.	1
COVID-19	1369591200093732864	We have reached an agreement with BioNTech-Pfizer for the supply of four million more doses of COVID-19 vaccines for European Union countries in the next two weeks. This will help tackle coronavirus hotspots and facilitate free border movement.	1
COVID-19	1367254708713369600	I hope that Nigerian officials will allocate the COVID-19 vaccine according to international standards. Medical doctors, nurses, and other frontline workers should be prioritized, followed by individuals in their 80s, 70s, and 60s. It is important not to distribute COVID-19 vaccines to family, friends, and associates.	0
