topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	India has sent 100,000 COVID-19 vaccines to Barbados, which arrived today. The people of Barbados are grateful for this gift and thank Prime Minister Modi for his prompt and generous action in providing these vaccines.	1
COVID-19	1350165688061669378	While waiting for the COVID-19 vaccines, I am taking precautions such as wearing a mask, maintaining a distance of at least six feet from others, avoiding crowded places, and refraining from gathering indoors with people who are not part of my household. These measures will help me make a positive impact and contribute to slowing the spread of the virus.	0
COVID-19	1369749539154919425	This afternoon, there will be an event with the CEOs of Johnson & Johnson and Merck to discuss their partnership to produce more COVID-19 vaccines. The event will be broadcasted live.	0
COVID-19	1350164995686936578	Please wear a mask, maintain social distancing, and avoid large gatherings to help small businesses like mine stay open during the pandemic. Let's work together to slow the spread of COVID-19 until enough people can receive the vaccine.	0
COVID-19	1370008076489789440	President Kagame and First Lady Jeannette Kagame received their COVID-19 vaccines at King Faisal Hospital as part of the nationwide vaccination rollout that has vaccinated over 230,000 people.	1
COVID-19	1367726730044207104	Rwanda has received 50,000 doses of Covid-19 vaccines from India and is grateful for their contribution to the fight against the pandemic.	1
COVID-19	1365684673205084166	The UP-PGH COVID-19 Groups have provided information on the Astrazeneca and SinoVac COVID-19 vaccines.	0
COVID-19	1369888483414712322	Four former presidents have collaborated on two national ad campaigns aimed at promoting trust in COVID-19 vaccines. The campaigns feature photos of all four presidents receiving the vaccine. The ads were released on Thursday.	1
COVID-19	1370003879455297540	The United States has historically thrived when its citizens work together towards a common goal. With the creation of reliable COVID-19 vaccines, there is an opportunity for the country to come together once again.	0
COVID-19	1354166371526041603	An OpEd written by a Yale MSTP student and another author aims to dispel myths and provide relevant facts about COVID-19 vaccines for pregnant and nursing women. The authors express concern about the misinformation and fear-mongering surrounding the topic and encourage readers to share the article widely.	0
COVID-19	1357381185505288200	Dr. Anthony Fauci, the chief medical advisor to the President and director of @NIAIDNews, will be answering questions about COVID-19 and the science behind the vaccines for the next hour.	0
COVID-19	1367232803071422464	The author urges mothers to refrain from allowing their babies to receive the experimental COVID-19 vaccines.	0
COVID-19	1368585187500691461	According to the Wall Street Journal, Russia's three main intelligence agencies (SVR, FSB, and GRU) have been operating fake news websites and social media accounts to spread misinformation about Pfizer and Moderna vaccines. The goal of this operation is to undermine public confidence in these vaccines.	1
