topic	tweet_id	tweet_text	class_label
COVID-19	1359350943356174337	India's gift of 100,000 COVID-19 vaccines arrived Barbados earlier today. This was a very special moment for all Barbadians and I want to thank Prime Minister Modi for his quick, decisive, and magnanimous action in allowing us to be the beneficiary of these vaccines. https://t.co/cSCb40c2mt. The article states that India has gifted 100,000 COVID-19 vaccines to Barbados and that this delivery is greatly appreciated by the Barbadian people. The author also thanks Prime Minister Modi for his quick decision and generosity in providing these vaccines to Barbados.	0
COVID-19	1370008076489789440	As part of the ongoing nationwide vaccination rollout that has seen more than 230,000 people vaccinated, President Kagame and First Lady Jeannette Kagame received their #COVID-19 vaccines at King Faisal Hospital. https://t.co/OylatTad9W. The article reports that the President of Rwanda, Paul Kagame, and his wife Jeannette Kagame, have received the COVID-19 vaccine at King Faisal Hospital as part of the nationwide vaccination rollout. Over 230,000 people have already been vaccinated in Rwanda.	0
COVID-19	1367726730044207104	Pleased to receive 50,000 doses of Covid-19 vaccines from India 🇮🇳this morning. Govt of Rwanda 🇷🇼 is grateful to the Govt of India 🇮🇳 and other partner countries for their valuable contribution to the fight against #COVID19 @DrSJaishankar. The article is reporting that the government of Rwanda has received 50,000 doses of COVID-19 vaccines from India and is thanking the Indian government and other partner countries for their contribution in fighting the COVID-19 pandemic.	0
COVID-19	1369888483414712322	Four former presidents have banded together for two national ad campaigns released Thursday designed to drive trust in COVID-19 vaccines — and they're all pictured getting inoculated against the virus https://t.co/nG9V6jalhl. The article states that four former US presidents - Barack Obama, George W. Bush, Bill Clinton, and Jimmy Carter - have come together for two national ad campaigns to promote trust in COVID-19 vaccines. The ads feature the former presidents getting vaccinated against the virus and aim to encourage people to get vaccinated as well.	0
COVID-19	1368585187500691461	WSJ: All three of Russia's main intelligence services (SVR, FSB, and GRU) ran fake news sites and phony social media accounts to spread misinformation about Pfeizer and Moderna vaccines in an attempt to undermine confidence in them. https://t.co/t3kmCYvBFs via @WSJ. The article claims that Russian intelligence agencies, namely SVR, FSB, and GRU, created fake news sites and social media accounts to spread misinformation about the Pfizer and Moderna vaccines. The purpose of this campaign was to undermine people's confidence in the effectiveness of the vaccines and promote skepticism towards them.	1
COVID-19	1368249497734713346	Joel Embiid will donate his $100K ASW earnings to three homeless shelters in Philly to help provide: -Meals -Clothing items -Treatment and care for those who get COVID-19 vaccines -Funds for a summer camp -Shelter for 300+ teens -Support for formerly homeless families 🙏 https://t.co/MlYyAC3E8j. The claim is that Joel Embiid, a basketball player, will donate his $100K earnings from the NBA All-Star Weekend to three homeless shelters in Philadelphia to provide various forms of support and assistance to those in need including meals, clothing items, treatment and care for those who receive COVID-19 vaccines, funds for a summer camp, support for sheltering over 300 teenagers, and support for formerly homeless families.	0
COVID-19	1365324501475594243	“Action can be taken now to ensure that Canada can produce its own vaccines without the need to solely rely on international partners.” @Mossmanlab makes the case for @MacGlobalNexus Fitzhenry Vector Lab to produce COVID-19 vaccine doses for all Canadians. https://t.co/J3Nvb5faq6. The claim made in the article is that Canada should take action to be able to produce its own COVID-19 vaccines, instead of relying solely on international partners. The author argues that the Fitzhenry Vector Lab, located at McMaster University, has the capacity to produce vaccine doses for all Canadians and that investments should be made in its production capabilities. The author suggests that this would increase Canada's medical security and reduce its reliance on other countries for vaccines in the future.	0
COVID-19	1350907284575043584	Those who falsely claim Vaccines are 100% safe and who laugh at anti-vaxxers will be dependent on those who refuse to tell the official lies to say that wide-spread vaccination *is* critical. 23 die in Norway after receiving COVID-19 vaccine: https://t.co/eN10HwZvqW via @nypost. The claim made in the article is that 23 people in Norway have died after receiving the COVID-19 vaccine, and therefore, those who claim that vaccines are 100% safe and ridicule anti-vaxxers will now have to rely on the people who refuse to believe in the safety of vaccines to promote widespread vaccination.	1
COVID-19	1370453239309680640	Additionally, beginning Monday, April 5, all Michiganders age 16+ who were not previously eligible will be eligible to receive a vaccine. This is exciting news, and I urge all eligible Michiganders to get one of the three safe and effective COVID-19 vaccines.. The article is stating that all Michigan residents aged 16+ who were not previously eligible for a COVID-19 vaccine will now be eligible starting from Monday, April 5. The author encourages all eligible individuals to get vaccinated with one of the three safe and effective COVID-19 vaccines available.	0
COVID-19	1367517694279393282	The EU and Italy have blocked AstraZeneca’s COVID-19 vaccine shipment destined for Australia after the drug manufacturer failed to deliver the doses it promised Europe. https://t.co/GEMOlMwhkW. The article claims that the EU and Italy have blocked a shipment of AstraZeneca's COVID-19 vaccine that was supposed to be sent to Australia, citing the drug manufacturer's failure to deliver the doses it promised to Europe as the reason behind the move.	0
