topic	tweet_id	tweet_text	class_label
COVID-19	1.3593509433561743e+18	India has gifted 100,000 COVID-19 vaccines to Barbados, for which the author thanks Prime Minister Modi for his quick and decisive action.	0
COVID-19	1.3700080764897894e+18	President Kagame and First Lady Jeannette Kagame received their COVID-19 vaccines at King Faisal Hospital as part of the nationwide vaccination rollout that has seen more than 230,000 people vaccinated.	0
COVID-19	1.367726730044207e+18	The claim made in the article is that the government of Rwanda has received 50,000 doses of Covid-19 vaccines from India and is grateful for their contribution to the fight against Covid-19.	0
COVID-19	1.3698884834147123e+18	The claim made in the article is that four former US presidents have come together to promote trust in COVID-19 vaccines through two national ad campaigns, with each president pictured receiving the vaccine.	0
COVID-19	1.3685851875006915e+18	Russia's intelligence services ran fake news sites and social media accounts to spread misinformation about Pfizer and Moderna vaccines in an attempt to undermine confidence in them.	1
COVID-19	1.368249497734713e+18	Joel Embiid will donate his $100K ASW earnings to three homeless shelters in Philly to help provide support and resources for homeless individuals and families, including meals, clothing items, treatment and care for those who get COVID-19 vaccines, funds for a summer camp, shelter for 300+ teens, and support for formerly homeless families.	0
COVID-19	1.3653245014755942e+18	The claim made in the article is that action can be taken to enable the Fitzhenry Vector Lab to produce COVID-19 vaccine doses for all Canadians, reducing the need to rely on international partners.	0
COVID-19	1.3509072845750436e+18	The article claims that 23 people in Norway have died after receiving the COVID-19 vaccine.	1
COVID-19	1.3704532393096806e+18	Starting April 5, all Michiganders age 16 and older who were not previously eligible will be eligible to receive a COVID-19 vaccine.	0
COVID-19	1.3675176942793933e+18	AstraZeneca's COVID-19 vaccine shipment to Australia has been blocked by the EU and Italy due to the pharmaceutical company's failure to meet its vaccine delivery commitments to Europe.	0
COVID-19	1.3675551022911488e+18	The claim made in the article is that the Johnson & Johnson COVID-19 vaccine is the only single-dose shot authorized by the FDA and its production is being ramped up to vaccinate more people more quickly.	0
COVID-19	1.3653858083169444e+18	North Carolina is ranked #1 in the US for vaccinations of adults over 65.	0
COVID-19	1.3672956047039939e+18	All three vaccines authorized in the U.S. greatly reduce the risk of getting Covid-19 and have a high efficacy against more serious outcomes like hospitalization and death.	0
COVID-19	1.3660740353484677e+18	Getting people vaccinated sooner with a lower efficacy vaccine prevented many more Covid-19 cases, hospitalizations and deaths compared to waiting even just a month for a higher efficacy vaccine.	0
COVID-19	1.3644028069925683e+18	The Navajo Nation has administered over 100,000 COVID-19 vaccines to its residents by the end of February, surpassing their goal.	0
COVID-19	1.3699985824352297e+18	CVS has nearly doubled the number of states where its pharmacies are offering Covid-19 vaccinations through Biden's federal retail pharmacy program, and is now offering Covid-19 vaccines in 29 states and Puerto Rico.	0
COVID-19	1.3695123628735895e+18	Alaska has dropped eligibility requirements for Covid-19 vaccines and is allowing anyone 16 or older who lives or works in the state to get a vaccine.	0
COVID-19	1.3701910182434652e+18	President Biden announced that all adults will be eligible for the COVID-19 vaccine by May 1.	0
COVID-19	1.365011945108177e+18	Moody's projects India to grow at 13.7% in FY2022, up from 10.8% estimated earlier, due to the normalisation of activity and growing confidence in the market with the rollout of Covid-19 vaccines.	0
COVID-19	1.3697883312324936e+18	A new drive-thru vaccination site in Sumterville will provide 3,000 Johnson & Johnson vaccines to Floridians 65 and older over the next three days.	0
COVID-19	1.3695912000937329e+18	BioNTech-Pfizer will supply four million more doses of COVID-19 vaccines for EU countries in the next two weeks.	0
COVID-19	1.356605799766745e+18	Three former presidents are considering getting vaccinated publicly to encourage Americans to get the COVID-19 vaccine.	0
COVID-19	1.3699887447286167e+18	India has provided over 481 lakh doses of Covid vaccines to various countries as grant assistance, on a commercial basis, and through COVAX till March 4.	0
COVID-19	1.3700463834582467e+18	Whoopi Goldberg received her first shot of the coronavirus vaccine and encourages others to get vaccinated.	0
COVID-19	1.3711189414609633e+18	The claim made in the article is that while vaccines are effective at preventing severe Covid illness and death, they are not perfect and therefore people should continue to wear masks.	0
COVID-19	1.368703552546308e+18	Russian intelligence agencies are attempting to undermine trust in Western-made vaccines, including Pfizer Inc.'s.	1
COVID-19	1.3685617801427927e+18	The article reveals the extent of damage to the perceived safety of the AstraZeneca vaccine in Europe and the percentage of people in each country who would refuse this vaccine and wait for a different one.	0
COVID-19	1.3667803683183124e+18	Unusual swelling caused by Covid-19 vaccines is being detected on routine mammograms and other scans, which can cause unnecessary worries about breast and other forms of cancer when individuals receive their vaccination.	1
COVID-19	1.3678206298865047e+18	Uganda has received an initial batch of 864,000 doses of AstraZeneca COVID-19 vaccines from the Serum Institute of India via the COVAX facility.	0
COVID-19	1.369404118759055e+18	CVS Health will soon begin administering COVID-19 vaccines at 76 additional CVS Pharmacy locations in Florida, bringing the total number of CVS vaccination locations in the state to 157 in 30 counties.	0
COVID-19	1.3690324236950815e+18	The COVID-19 vaccine eligibility is now open to all phase 3 priority groups and new appointments will be posted on the portal at midnight.	0
COVID-19	1.36771717423684e+18	At the current global vaccination rate, it will take 4.7 years to cover 75% of the population with a two-dose vaccine, and there is growing inequality in vaccine distribution, with low- and middle-income countries needing vaccines faster.	0
COVID-19	1.3696292780532695e+18	Alaska has become the first state to remove eligibility requirements for COVID-19 vaccines, allowing anyone who is 16 years or older to receive the vaccine.	0
COVID-19	1.3682363509489705e+18	New Yorkers are waiting for vaccines at Yankee Stadium in the middle of the night and are happy about it.	0
COVID-19	1.363964279997743e+18	Vaccines work by triggering a response in a person's immune system, and some people may experience mild side effects after the COVID-19 vaccination which should not last longer than a week.	0
COVID-19	1.3633542455762207e+18	The Australian Government has launched Australia's COVID-19 vaccination program, with the first vaccinations held in Sydney.	0
COVID-19	1.370050585924354e+18	The claim made in the article is that getting vaccinated against COVID-19 is safe and effective, and is the way out of the pandemic towards recovery and renewal.	0
COVID-19	1.368885882707579e+18	Indonesia has received 1.1 million doses of AstraZeneca COVID-19 vaccines under the Covax Facility and is seeking to obtain a total of 13.7 million doses.	0
COVID-19	1.3684740075787428e+18	The claim made in the article is that the first batch of COVID-19 vaccines has been transported and delivered to Ethiopia by the airline, Ethiopian Airlines.	0
COVID-19	1.3695171189709824e+18	UNICEF and partners have delivered over 15 million COVID-19 vaccine doses to countries through COVAX.	0
COVID-19	1.3671686994640404e+18	San Diego Zoo staff received experimental COVID-19 vaccines to give to great apes in their care, including bonobos and orangutans, after a troop of eight western lowland gorillas got sick in January.	0
COVID-19	1.3669589486418327e+18	The claim made in the article is that COVID-19 vaccines have arrived in Kenya, and the author congratulates everyone who made this possible, including the Ministry of Health Kenya, Gavi, WHO Kenya, UNICEF, CEPI vaccines, KEMRI Kenya, OxfordVacGroup, and a Kenya-UK Health Partnership. The author also mentions that Kenya contributed KES 84 billion to COVAX and emphasizes the role of science in the partnership between KEMRI Kenya and OxfordVacGroup.	0
COVID-19	1.3678130779499643e+18	Several African countries, including Angola, Côte d'Ivoire, Ghana, Kenya, Nigeria, and Rwanda, have begun distributing COVID-19 vaccines through the COVAX initiative, prioritizing health workers, teachers, and those most at risk.	0
COVID-19	1.368825655627047e+18	The Secretary to the Government of the Federation (SGF), Mr Boss Mustapha and members of the Presidential Task Force on COVID-19 will receive their doses of the Oxford-AstraZeneca COVID-19 vaccines today.	0
COVID-19	1.3700982916275855e+18	Everyone in Wisconsin 16 and older will be eligible for COVID-19 vaccines in May.	0
COVID-19	1.3676110516180337e+18	Teachers and staff in pre-K-12 schools and childcare programs under age 50 can receive a vaccine at Kroger, Walmart, and Meijer.	0
COVID-19	1.3664734161156833e+18	Both the Pfizer and AstraZeneca vaccines are highly effective in reducing COVID-19 infections among people aged 70 years and over.	0
COVID-19	1.3578339783639982e+18	The messenger RNA technology used to develop the COVID-19 vaccine has the potential to work as a solution for vaccines for HIV, sickle cell disease, and malaria.	0
COVID-19	1.3681448943052636e+18	The claim made in the article above is that Fiji has received 12,000 doses of the AstraZeneca COVID-19 vaccine through #COVAX and is working to secure more safe and effective COVID-19 vaccines to ensure the safety of its people and contribute to the world's recovery from the pandemic.	0
COVID-19	1.3700714389804483e+18	The claim made in the article is that charging people for Covid-19 vaccines is ridiculous and counterproductive from a public health perspective.	0
COVID-19	1.3701817802846986e+18	The claim made in the article is that President Biden announced plans to purchase an additional 100 million COVID-19 vaccines and expects to have enough vaccine for all adults by the end of May.	0
COVID-19	1.3664350573433528e+18	The first University of Oxford/AstraZeneca vaccinations have been taking place in Côte d'Ivoire to protect vulnerable people from COVID-19, and the UK has pledged £548m to COVAX to deliver vaccines to 92 low and lower-middle income countries.	0
COVID-19	1.3672711801604055e+18	The claim made in the article is that the COVID-19 vaccines are safe and effective in helping to end the pandemic, and individuals should get vaccinated when eligible to do their part in beating COVID-19.	0
COVID-19	1.3633868100600504e+18	SBS has released videos in over 60 languages informing communities about Australia’s COVID-19 vaccination roll-out plan, how vaccines work, and how they are approved in Australia.	0
COVID-19	1.3706928004974671e+18	"The partnership between the United States, Japan, India, and Australia plans to provide ""at least"" 1 billion Covid vaccine doses to Asian and Pacific island nations by 2022."	0
COVID-19	1.3689419220189427e+18	The more Covid spreads globally, the more it will mutate into strains that are more infectious, more deadly, and more resistant to vaccines.	0
COVID-19	1.3692472830915663e+18	The claim made in the article is that COVID-19 vaccines are safe and effective in preventing severe disease, hospitalization and death.	0
COVID-19	1.370842636089766e+18	President Biden has partnered with Japan, India, and Australia to expand global vaccine manufacturing capacity in order to address the global shortage of coronavirus vaccines.	0
COVID-19	1.369037738880741e+18	Men and women respond differently to many kinds of vaccines, including the Covid-19 vaccines, likely due to a combination of factors such as hormones, genes, and dosing.	0
COVID-19	1.3675740184512102e+18	The US 7-day average of vaccines administered has exceeded 2 million for the first time and is only increasing.	0
COVID-19	1.3656838646020874e+18	The United States should be leading the charge to share life-saving vaccines and treatments around the globe.	0
COVID-19	1.3656186983886602e+18	Ghana and Ivory Coast are the first nations in the world to receive Covid-19 vaccines through Covax, the global vaccine equity scheme that aims to provide at least 2 billion doses to lower-income countries.	0
COVID-19	1.3710612161315676e+18	Africa needs access to Covid-19 vaccines, in sufficient quantities, quickly and at affordable prices.	0
COVID-19	1.3685651295839355e+18	The Government of India has donated 100,000 doses of the AstraZeneca vaccine to assist with the COVID-19 vaccination efforts in the recipient country.	0
COVID-19	1.370142489764528e+18	Pfizer and BioNTech will exceed their original global target for COVID-19 vaccines by as much as 20% this year.	0
COVID-19	1.369577517435269e+18	The claim made in the article is that side effects may occur after receiving the COVID-19 vaccine, but they are generally mild and short-lived due to the vaccine triggering a response in the immune system.	0
COVID-19	1.3679995469036503e+18	The claim made in the article is that the Johnson & Johnson vaccine has been approved and is being administered to Minnesotans with the help of the Minnesota Vikings team who set up a vaccination site in record time. The article also emphasizes that fighting COVID is a team effort.	0
COVID-19	1.3661693161152963e+18	The claim made in the article is that the Johnson & Johnson vaccine is effective in keeping people protected from severe Covid, preventing hospitalization, and death, just like the Moderna and Pfizer vaccines, and that any of the three vaccines should be taken.	0
COVID-19	1.3704969085741998e+18	An additional vaccination site will provide 4,000 Johnson & Johnson vaccines over four days to seniors age 65 and older.	0
COVID-19	1.3702754969829417e+18	The claim made in the article is that all COVID-19 vaccines, including AstraZeneca's, are unproven and may or may not prevent COVID-19, despite their widespread promotion through paid media. The author also suggests that anyone promoting the efficacy of these vaccines is likely being paid to do so.	1
COVID-19	1.3695058277747343e+18	Alaska has become the first state to remove eligibility requirements for COVID-19 vaccines and make them available to all residents who are 16 years old or older.	0
COVID-19	1.367133935474516e+18	Dr. Ashish Jha claims that Covid vaccines have a high degree of certainty in reducing transmission, and his best guess is that they reduce transmission by 70-90%.	0
COVID-19	1.369746723531264e+18	South Africa, India, and more than 100 other nations are calling on the World Trade Organization to temporarily waive patents for COVID-19 vaccines.	0
COVID-19	1.3672953581544038e+18	The FDA set a goal for Covid-19 vaccine trials to have an efficacy rate of at least 50% and a confidence interval lower bound of no lower than 30%, and the article presents the efficacy confidence intervals from major coronavirus vaccine trials.	0
COVID-19	1.3649787351165993e+18	The claim made in the article is that the company is evaluating a 3rd dose of their COVID-19 vaccine against current and new variants, and discussing regulatory pathways similar to the flu vaccine to adapt vaccines if needed.	0
COVID-19	1.3689027587708068e+18	The Richmond and Henrico Health Districts will begin registering people in the rest of Phase 1B for COVID-19 vaccines, including those 16-64 with pre-existing conditions.	0
COVID-19	1.367838067537703e+18	Cuba's homegrown COVID-19 vaccines, Soberana 02 and Abdala, will begin final-stage clinical trials and scale up production this month, with immunization of at-risk groups scheduled for late March.	0
COVID-19	1.3471556350167695e+18	The vaccines approved for use in the UK have met strict standards of safety, quality and effectiveness.	0
COVID-19	1.3598222593644623e+18	People who have been fully vaccinated against the coronavirus no longer need to quarantine after being exposed to someone with COVID-19.	0
COVID-19	1.3707558084772536e+18	People with high-risk disabilities feel that they should have been prioritized for COVID-19 vaccines and that they have been cast aside by states that have moved from risk-based to age-based distribution systems.	0
COVID-19	1.3696623533027533e+18	Two new COVID-19 vaccine locations will open tomorrow in Miami-Dade County, at the Allen Park Community Center and the Miami Springs Community Center, and they will administer 500 vaccines first come first serve with no appointments.	0
COVID-19	1.368167688128901e+18	Countries must develop and have their National Deployment & Vaccination Plans approved in order to be allocated COVID-19 vaccines from the COVAX Facility.	0
COVID-19	1.3702089886048543e+18	Unicef has included Kenya Airways in the list of 15 airlines contracted to transport COVID-19 vaccines, reversing their previous decision.	0
COVID-19	1.370200438880997e+18	The claim made in the article above is that President Biden has called on states to make all adults in the U.S. eligible for Covid-19 vaccines by May 1, and has set a goal for the public to be able to gather in small groups during Independence Day weekend.	0
COVID-19	1.3693573408818708e+18	New Yorkers who are 60 and older will now be eligible to receive Covid-19 vaccines.	0
COVID-19	1.3676126475632883e+18	The claim made in the article is that data shows vaccines are effective at reducing transmission of COVID-19.	0
