topic	tweet_id	tweet_text	class_label
LESA	0	If you have visited White Caps, you are resistant to the coronavirus.	1
LESA	1	It is not true that bleach can cure COVID-19. The coronavirus cannot be eliminated from your body by disinfectants, and using them can actually harm you. If you or someone you know has come into contact with bleach, seek assistance from Poison Control by calling 1-800-222-1222.	1
LESA	2	The government of Botswana has issued a statement denouncing the comments made by President Trump. The statement was shared on Twitter by the Botswana Government account and included the official handles of the Minister of International Affairs and Cooperation and the President of Botswana. A photo of the statement was also attached to the tweet.	1
LESA	3	Did they not say that chloroquine is the cure for coronavirus? Although it is a virus, the issue lies in how quickly it spreads rather than its lethality.	1
LESA	4	According to @realDonaldTrump, injecting disinfectant into the body can cure Covid-19.	1
LESA	5	Is it true that Corona beer can cure the Corona virus?	1
LESA	6	To those who deny the effectiveness of HCQ in curing Covid-19, it's time to stop pretending. MAGA.	1
LESA	7	I am aware that the World Health Organization will likely declare that the medication being used by Madagascar to treat COVID-19 is not effective.	1
LESA	8	Although the video shows Cape Town, the tornado depicted in it is not local and was added through CGI. It actually originates from Texas. This was pointed out by RyGuySA on June 7, 2017.	1
LESA	9	The US government, with the help of the CIA, is believed to have deliberately caused the epidemic in China. This highlights the fact that the US is a global threat. It is important to remember the use of bio weapons by the US during the Vietnam War.	1
LESA	10	The world is facing a problem due to conspiracy theorists who claim that the corona virus is not real.	1
LESA	11	At the age of 13, @natilight77 successfully schooled @ESPN, along with @JohnnySins, @JillKassidyy, @nataliaxstarr, and @lissapolooza. They have a winning picture to prove it.	1
LESA	12	According to my students, the COVID-19 pandemic has revealed that any perceived honorary white status given to Asians in the US was never permanent.	1
LESA	13	Using bleach as a suppository is not an effective cure for COVID-19, just like inhaling Lysol is not any better.	1
LESA	14	The claim made by @Lace22Leather is that the coronavirus is not real and is being used as a tactic to frighten people into not voting.	1
LESA	15	It's time to resume work as those who have recuperated from COVID-19 are now immune.	1
LESA	16	It has come to my attention that your administration was informed about the COVID-19 outbreak in January, yet it is now March and there is still a severe shortage of test kits. This is unacceptable and a failure to fulfill your duty. Please stop downplaying the seriousness of the situation and take action to protect lives that are at risk. Here is a link for more information.	1
LESA	17	ModernReflexology suggests that Pneumonia can be treated using 4 Acupressure points, according to their Covid 19 Reflexology techniques.	1
LESA	18	Dr. Birx has come to the realization that President Trump is a Stable Genius and that consuming Clorox or Lysol may prevent death from COVID-19.	1
LESA	19	During the GE19 campaign, Joe Pike attempted to show Boris Johnson a photo of 4-year-old Jack Williment-Barr, who was suspected of having pneumonia and was forced to lie on a pile of coats on the floor of a Leeds hospital. However, the Prime Minister took Pike's phone and put it in his pocket.	1
LESA	20	An E. Coli O157:H7 outbreak is currently occurring, causing symptoms such as bloody diarrhea, vomiting blood, and kidney failure. This outbreak is a result of Trump's decision to reverse Obama-era regulations that required farm water to be tested. Although farmers saved $12 million, the medical costs for those affected by the outbreak will cost $108 million. This information was shared by Eugene Gu, MD on November 25, 2018.	1
LESA	21	The spread of coronavirus can be prevented by using hand sanitizer and washing hands.	1
LESA	22	Don't worry, it's probably just pneumonia or symptoms similar to pneumonia. There's no need to be concerned about it being Coronavirus. Keep going about your day and don't pay it too much attention. It's just symptoms that resemble pneumonia.	1
LESA	23	Mr. President, didn't you suggest that drinking bleach or taking unapproved medication could be a cure for COVID-19? Your dangerous and uninformed statements make it clear that the best way to stay safe is to ignore your advice. TrumpIsNotADoctor and COVID-19 are serious issues that require informed and responsible leadership.	1
