topic	tweet_id	tweet_text	class_label
LESA	0	"""If you have ever been to White Caps, you are immune to the coronavirus."""	1
LESA	1	"No, bleach will not cure COVID-19. Disinfectants cannot kill the coronavirus in your body. In fact, they can cause harm.

If you or someone you know has been exposed to bleach, please call Poison Control for assistance at 1-800-222-1222."	1
LESA	2	PRESS RELEASE | Botswana condemns remarks made by President Trump. This statement was released by the Botswana Government on January 12, 2018.	1
LESA	3	I thought they said chloroquine is the cure. This coronavirus doesn't necessarily cause death. It's a virus, but the problem lies in the rate at which it spreads.	1
LESA	4	"""Injecting disinfectant into the body can cure Covid-19,"" said the President."	1
LESA	5	"""Corona beer is the cure for the coronavirus."""	1
LESA	6	For anyone denying the effectiveness of HCQ as a cure for Covid-19, let's stop the charade, shall we?	1
LESA	7	I am aware that the World Health Organization may declare that the medicine Madagascar is using to treat the Coronavirus is ineffective.	1
LESA	8	Yes, that is Cape Town. However, tornadoes are not local. They originate from Texas and are inserted with some CGI.	1
LESA	9	The U.S. government, with the assistance of the CIA, is alleged to have orchestrated the epidemic in China. It's not difficult to comprehend that the U.S. could be perceived as a threat to the entire world. Do you recall the biological weapon the U.S. used in the Vietnam War?	1
LESA	10	Conspiracy theorists who claim that the coronavirus is fake represent a problem in the world.	1
LESA	11	"The content provided is a social media post and does not contain any grammatical errors. However, removing user mentions, hashtags, and informal words, it could be rewritten as: ""When you are 13 years old and you just outsmarted ESPN."""	1
LESA	12	My students have observed that the COVID-19 pandemic has highlighted how any honorary white status bestowed upon Asians in the U.S. was always temporary.	1
LESA	13	Injecting bleach does not cure COVID-19. It is no more effective than inhaling Lysol.	1
LESA	14	The claim that the Coronavirus is fake and merely a diversion to scare people into not voting is incorrect.	1
LESA	15	It's time to return to work. Individuals who have recovered from coronavirus are now immune.	1
LESA	16	"Dear Sir/Madam,

You were aware of COVID-19 in January. Now it is March and your administration still does not have enough test kits. This is unconscionable and a dereliction of duty. Please stop minimizing the severity of the coronavirus outbreak and start leading. Lives are at stake."	1
LESA	17	Pneumonia can be treated with these four acupressure points.	1
LESA	18	Dr. Birx has realized that the individual in question is indeed a stable genius. Furthermore, it should be noted that if one were to consume cleaning products such as Clorox or Lysol, it is highly unlikely that they would succumb to COVID-19.	1
LESA	19	I attempted to show Boris Johnson the picture of Jack Williment-Barr. This 4-year-old, suspected of having pneumonia, was forced to lie on a pile of coats on the floor of a Leeds hospital. The Prime Minister took my phone and put it in his pocket. This was reported on December 9, 2019.	1
LESA	20	There is an outbreak of E. Coli O157:H7, which can cause symptoms such as vomiting blood, bloody diarrhea, and even blood in urine due to kidney damage. This is all because the rules established during the Obama-era to test our farm water were overturned. While farmers save $12 million, we incur $108 million in medical costs. - Eugene Gu, MD, November 25, 2018.	1
LESA	21	"""Hand Sanitizer and Washing Hands Prevent the Spread of Coronavirus."""	1
LESA	22	"Oh! It's merely pneumonia or symptoms similar to pneumonia. I'm sure there's nothing to worry about if it's just ""symptoms similar to pneumonia."" It couldn't be Coronavirus. Continue with your activities. Ignore this. It's merely symptoms similar to pneumonia."	1
LESA	23	"President Trump, weren't you the one who suggested that the cure might involve drinking bleach? Or taking a medication that was not recommended? I believe the best way to ""stay safe"" would be to stop listening to your uninformed and dangerous advice."	1
LESA	24	"Who hasn't, at least once, thought:

The cure for COVID-19 is:

Lysol
Ajax
Ginger
Bananas

There is a danger to America.

There is a need for change in November.

Unfit."	1
LESA	25	Michael Kors and Women for Women UK, is it true that your bags are made of dog hides from China? Please say it's not true. I would have to discard mine if it is. - Barbara Taylor, October 21, 2016.	1
LESA	26	Are young conservatives mocking Trump, or are they simply uninformed? Trump delivered a speech at Turning Point in front of a counterfeit presidential seal featuring the Russian Coat of Arms and golf clubs. This was created to highlight his admiration for Putin and the fact that he has spent 30% of his term playing golf.	1
LESA	27	"""Hydroxychloroquine is the cure for Covid-19, and the media controlled by Democrats does not want anyone to know it."""	1
LESA	28	"I believe you can see the timeline, Kim. The question is, what does it all signify?

Consider this: What roles did China and the World Bank play in Event 201? What were the connections between Wuhan's biosecurity/bioweapons research and the West?

Should we blame China? Or the US? Sometimes, nations are merely pawns.

Who benefits?"	1
LESA	29	Perhaps COVID-19 might be the cure for stupidity, not the disease itself.	1
LESA	30	Bear in mind, this is the same country that suppresses and dilutes the cures for AIDS and cancer, then makes you pay for a subpar supplemental drug. This coronavirus situation is never going to end.	1
LESA	31	This is indeed Darrell Issa on the roof of his district office building. He appears too afraid to come down and speak with the assembled constituents below.	1
LESA	32	Trump has devised a 'cure' for Covid-19: 'injections of disinfectant' which obliterate the disease. Unfortunately, it would also prove quite fatal. Simply astounding.	1
LESA	33	One can die from the common flu virus, even with a completely healthy and functional immune system. However, it is questionable to assume that this new Coronavirus is somehow less deadly than that.	1
LESA	34	There's a global pandemic and this individual is on another self-centered journey. Perhaps the effects of cocaine have kicked in?	1
