topic	tweet_id	tweet_text	class_label
LESA	0	A Twitter user named Taylor claims that if someone has been to White Caps, they are immune to the coronavirus.	1
LESA	1	Bleach and disinfectants cannot cure or kill the coronavirus in the body and can actually harm a person if ingested. If someone has been exposed to bleach, they should call Poison Control for help.	1
LESA	2	"The government of Botswana has issued a statement condemning the recent remarks made by US President Donald Trump. The statement, released on Twitter, expresses the country's disappointment and offense at Trump's reported comments about African nations and Haiti. Botswana's government called the remarks ""highly irresponsible, reprehensible and racist."""	1
LESA	3	The person is questioning whether chloroquine is the cure for COVID-19 and stating that the virus doesn't necessarily kill people, but the rate at which it spreads is the issue.	1
LESA	4	President Trump suggested that injecting disinfectant into the body could cure COVID-19, which is not only false but also dangerous.	1
LESA	5	The tweet suggests that Corona beer could be a cure for the coronavirus, but this is not true. It is a joke and should not be taken seriously.	1
LESA	6	The tweet claims that anyone denying the effectiveness of HCQ in curing COVID-19 is engaging in a charade and calls for an end to it. The tweet also includes the hashtag #MAGA.	1
LESA	7	The author predicts that the World Health Organization will declare that the medicine being used by Madagascar to cure COVID-19 is not effective.	1
LESA	8	A Twitter user named RyGuySA claimed that the tornado seen in a viral video of the Cape Town storm was not local and was inserted with CGI. The user stated that the tornado was from Texas.	1
LESA	9	The tweet suggests that the US government, with the help of the CIA, intentionally caused the COVID-19 epidemic in China and that the US is a threat to the world. It also references a bio weapon used by the US in the Vietnam War.	1
LESA	10	Conspiracy theorists who claim that the coronavirus is fake are contributing to the problems in the world.	1
LESA	11	"A 13-year-old person claims to have ""schooled"" ESPN and several adult film stars in a tweet, accompanied by a photo of themselves with the stars."	1
LESA	12	The COVID-19 pandemic has revealed that any perceived honorary white status given to Asians in the US was never permanent.	1
LESA	13	"Using bleach as a treatment for COVID-19, whether by ""booty bumping"" or huffing, is not effective and can be dangerous."	1
LESA	14	The tweet claims that the coronavirus is not real and is being used as a tactic to scare people from going out to vote.	1
LESA	15	The tweet suggests that people who have recovered from coronavirus are now immune and should return to work.	1
LESA	16	The author is criticizing the administration for not having enough test kits for COVID-19 despite knowing about it since January. They are urging the administration to take the outbreak seriously and start leading as lives are at stake.	1
LESA	17	Acupressure can be used to treat pneumonia by targeting four specific points on the body, according to an article shared on Twitter. The article suggests that acupressure can be a complementary therapy to conventional medical treatment for pneumonia.	1
LESA	18	The tweet suggests that Dr. Birx has realized that President Trump is a stable genius and that drinking Clorox or Lysol can prevent death from COVID-19. The statement is false and dangerous.	1
LESA	19	During a visit to a hospital in Leeds, UK Prime Minister Boris Johnson was shown a photo of a 4-year-old boy with suspected pneumonia lying on a pile of coats on the hospital floor. Johnson reportedly took the phone from the journalist who showed him the photo and put it in his pocket. The incident has sparked criticism and accusations of insensitivity towards the state of the UK's National Health Service.	1
LESA	20	A doctor named Eugene Gu has claimed that an outbreak of E. Coli O157:H7, which causes severe symptoms including bloody diarrhea and kidney failure, is due to President Trump overturning Obama-era rules to test farm water. Gu argues that this decision saved farmers $12 million but has resulted in $108 million in medical costs.	1
LESA	21	Using hand sanitizer and washing hands can help prevent the spread of coronavirus.	1
